"Rank","Player","Year","Pos","Team","Draft Year","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age",""
"","Mark Sanchez","2011","QB","NYJ","2009","$14,225,000","$0","$17,228,125","0.134","$14,725,000","$10,100,000","5","$50,500,000","$41,392,500","2014","2009","22","25",""
"","Dwight Freeney","2011","OLB","IND","2002","$11,420,000","$2,500,000","$16,420,000","0.134","$11,420,000","$12,000,000","6","$72,000,000","$72,137,572","2013","2007","26","31",""
"","Larry Fitzgerald","2011","WR","ARI","2004","$2,000,000","$5,000,000","$16,250,000","0.133","$20,000,000","$16,142,857","7","$113,000,000","$73,782,500","2019","2011","27","28",""
"","Mario Williams","2011","DE","HOU","2006","$13,800,000","$0","$16,200,000","0.135","$13,800,000","$9,000,000","6","$54,000,000","$44,500,000","2012","2006","20","26",""
"","Peyton Manning","2011","QB","IND","1998","$3,400,000","$4,000,000","$16,000,000","0.130","$26,400,000","$18,000,000","5","$90,000,000","$171,732,000","2016","2011","34","35",""
"","Joe Thomas","2011","LT","CLE","2007","$8,000,000","$2,260,000","$15,960,000","0.123","$19,100,000","$11,500,000","7","$80,500,000","$57,850,000","2019","2011","26","27",""
"","Elvis Dumervil","2011","OLB","DEN","2006","$14,000,000","$500,000","$15,623,000","0.107","$19,615,000","$10,250,000","6","$61,500,000","$25,259,000","2016","2010","25","27",""
"","Michael Vick","2011","QB","PHI","2001","$10,000,000","$1,400,000","$14,400,000","0.110","$20,000,000","$16,000,000","5","$80,000,000","$86,235,000","2017","2011","30","31",""
"","Calvin Johnson","2011","WR","DET","2007","$8,875,000","$2,800,000","$14,175,000","0.117","$11,375,000","$9,250,000","6","$55,500,000","$49,554,162","2013","2007","21","26",""
"","Eli Manning","2011","QB","NYG","2004","$8,500,000","$2,600,000","$14,100,000","0.116","$9,000,000","$16,250,000","6","$97,500,000","$110,370,000","2016","2010","28","30",""
"","Philip Rivers","2011","QB","SD","2004","$8,400,000","$3,910,000","$13,510,000","0.112","$8,400,000","$15,300,000","6","$91,800,000","$83,910,000","0","2009","27","30",""
"","Matt Ryan","2011","QB","ATL","2008","$11,250,000","$2,000,000","$13,250,000","0.110","$11,250,000","$11,250,000","6","$67,500,000","$43,450,000","2014","2008","22","26",""
"","Adrian Peterson","2011","RB","MIN","2007","$8,250,000","$2,900,000","$12,955,000","0.106","$20,500,000","$14,380,000","6","$86,280,000","$40,030,000","2018","2011","25","26",""
"","Tom Brady","2011","QB","NE","2000","$5,750,000","$3,200,000","$12,950,000","0.102","$19,750,000","$18,000,000","4","$72,000,000","$110,381,840","2015","2010","32","34",""
"","Jake Long","2011","LT","MIA","2008","$11,200,000","$0","$12,800,000","0.099","$11,200,000","$11,550,000","5","$57,750,000","$41,950,000","2013","2008","22","26",""
"","Drew Brees","2011","QB","NO","2001","$7,393,500","$0","$12,574,700","0.101","$7,593,500","$10,000,000","6","$60,000,000","$70,455,000","2012","2006","26","32",""
"","Paul Soliai","2011","DT","MIA","2007","$12,476,000","$0","$12,476,000","0.097","$12,476,000","$12,476,000","1","$12,476,000","$14,611,000","2012","2011","27","28",""
"","Sam Bradford","2011","QB","STL","2010","$450,000","$3,595,000","$12,465,000","0.101","$26,845,000","$13,007,500","6","$78,045,000","$30,045,000","2016","2010","22","24",""
"","Ndamukong Suh","2011","DT","DET","2010","$1,239,706","$0","$11,904,706","0.098","$25,784,706","$12,900,400","5","$64,502,000","$28,884,706","2015","2010","22","24",""
"","Brian Urlacher","2011","LB","CHI","2000","$8,025,000","$1,200,000","$11,825,000","0.092","$10,125,000","$8,710,000","5","$43,550,000","$72,174,999","2013","2008","29","33",""
"","Jason Smith","2011","LT","STL","2009","$8,500,000","$0","$11,767,500","0.095","$8,500,000","$12,350,000","5","$61,750,000","$32,000,000","2015","2009","22","25",""
"","Jared Allen","2011","DE","MIN","2004","$8,979,438","$2,583,344","$11,762,782","0.096","$9,179,438","$12,210,012","6","$73,260,069","$56,018,674","2014","2008","25","29",""
"","Vincent Jackson","2011","WR","SD","2005","$11,424,000","$0","$11,424,000","0.095","$11,424,000","$11,424,000","1","$11,424,000","$15,515,647","2012","2011","27","28",""
"","Darrius Heyward-Bey","2011","WR","OAK","2009","$1,000,000","$0","$11,415,000","0.093","$8,785,000","$7,650,000","5","$38,250,000","$24,750,000","2014","2009","21","24",""
"","Tyson Jackson","2011","DE","KC","2009","$1,790,000","$0","$11,340,000","0.079","$8,840,000","$11,400,000","5","$57,000,000","$25,275,000","2014","2009","22","25",""
