Position,Players,Cp Dollars,% of Cap,NFL Rank,Team,Year
Running Back,5,"$12,341,919 ",6.16%,3,New England Patriots,2019
Wide Receiver,7,"$19,308,462 ",9.64%,14,New England Patriots,2019
Tight End,3,"$2,677,267 ",1.34%,30,New England Patriots,2019
Offensive Line,12,"$23,772,023 ",11.86%,29,New England Patriots,2019
Defensive Line,8,"$10,415,951 ",5.20%,30,New England Patriots,2019
Linebacker,7,"$25,002,524 ",12.48%,11,New England Patriots,2019
Secondary,14,"$47,301,861 ",23.61%,2,New England Patriots,2019
Special Teams,4,"$4,252,097 ",2.12%,17,New England Patriots,2019
Quarterback,3,"$2,721,528 ",1.29%,31,New England Patriots,2020
Running Back,6,"$11,606,628 ",5.51%,6,New England Patriots,2020
Wide Receiver,8,"$17,073,816 ",8.11%,20,New England Patriots,2020
Tight End,5,"$2,346,815 ",1.11%,32,New England Patriots,2020
Offensive Line,13,"$38,394,429 ",18.23%,8,New England Patriots,2020
Defensive Line,11,"$19,430,612 ",9.22%,29,New England Patriots,2020
Linebacker,9,"$6,587,260 ",3.13%,29,New England Patriots,2020
Secondary,15,"$53,876,057 ",25.58%,1,New England Patriots,2020
Special Teams,3,"$2,533,127 ",1.20%,27,New England Patriots,2020
Quarterback,3,"$4,645,684 ",2.26%,30,New England Patriots,2021
Running Back,5,"$5,887,768 ",2.86%,23,New England Patriots,2021
Wide Receiver,7,"$17,479,324 ",8.49%,13,New England Patriots,2021
Tight End,5,"$14,985,016 ",7.28%,2,New England Patriots,2021
Offensive Line,9,"$28,886,339 ",14.04%,18,New England Patriots,2021
Defensive Line,10,"$18,078,850 ",8.78%,25,New England Patriots,2021
Linebacker,13,"$31,476,391 ",15.29%,7,New England Patriots,2021
Secondary,15,"$41,128,398 ",19.98%,5,New England Patriots,2021
Special Teams,3,"$2,854,268 ",1.39%,25,New England Patriots,2021
Quarterback,2,"$4,666,381 ",2.24%,30,New England Patriots,2022
Running Back,5,"$4,963,798 ",2.38%,20,New England Patriots,2022
Wide Receiver,5,"$26,052,121 ",12.51%,11,New England Patriots,2022
Tight End,4,"$31,094,482 ",14.93%,1,New England Patriots,2022
Offensive Line,10,"$33,059,624 ",15.87%,23,New England Patriots,2022
Defensive Line,10,"$31,831,681 ",15.28%,19,New England Patriots,2022
Linebacker,7,"$29,800,695 ",14.31%,11,New England Patriots,2022
Secondary,11,"$34,772,837 ",16.69%,15,New England Patriots,2022
Special Teams,3,"$6,093,245 ",2.93%,13,New England Patriots,2022
Quarterback,3,"$26,595,000 ",14.00%,9,New Orleans Saints,2019
Running Back,3,"$3,620,693 ",1.91%,25,New Orleans Saints,2019
Wide Receiver,8,"$12,243,323 ",6.44%,28,New Orleans Saints,2019
Tight End,3,"$6,101,176 ",3.21%,20,New Orleans Saints,2019
Offensive Line,10,"$42,326,882 ",22.28%,4,New Orleans Saints,2019
