Position,Players,Cp Dollars,% of Cap,NFL Rank,Team,Year
Tight End,5,"$18,875,695 ",9.25%,1,Tampa Bay Buccaneers,2020
Offensive Line,10,"$39,873,976 ",19.54%,6,Tampa Bay Buccaneers,2020
Defensive Line,8,"$20,859,879 ",10.22%,26,Tampa Bay Buccaneers,2020
Linebacker,10,"$49,015,866 ",24.01%,2,Tampa Bay Buccaneers,2020
Secondary,10,"$10,416,552 ",5.10%,32,Tampa Bay Buccaneers,2020
Special Teams,3,"$4,125,000 ",2.02%,22,Tampa Bay Buccaneers,2020
Quarterback,3,"$13,552,013 ",7.44%,15,Tampa Bay Buccaneers,2021
Running Back,5,"$7,623,563 ",4.19%,13,Tampa Bay Buccaneers,2021
Wide Receiver,8,"$27,577,643 ",15.15%,5,Tampa Bay Buccaneers,2021
Tight End,5,"$10,882,722 ",5.98%,4,Tampa Bay Buccaneers,2021
Offensive Line,11,"$32,356,000 ",17.77%,11,Tampa Bay Buccaneers,2021
Defensive Line,7,"$19,934,866 ",10.95%,23,Tampa Bay Buccaneers,2021
Linebacker,9,"$33,479,894 ",18.39%,5,Tampa Bay Buccaneers,2021
Secondary,12,"$15,870,622 ",8.72%,29,Tampa Bay Buccaneers,2021
Special Teams,3,"$7,150,000 ",3.93%,4,Tampa Bay Buccaneers,2021
Quarterback,2,"$21,528,619 ",10.27%,15,Tampa Bay Buccaneers,2022
Running Back,2,"$2,192,091 ",1.05%,30,Tampa Bay Buccaneers,2022
Wide Receiver,5,"$24,487,541 ",11.68%,12,Tampa Bay Buccaneers,2022
Tight End,3,"$13,110,000 ",6.25%,6,Tampa Bay Buccaneers,2022
Offensive Line,8,"$39,643,182 ",18.91%,17,Tampa Bay Buccaneers,2022
Defensive Line,8,"$27,296,217 ",13.02%,21,Tampa Bay Buccaneers,2022
Linebacker,7,"$47,860,488 ",22.83%,4,Tampa Bay Buccaneers,2022
Secondary,9,"$15,566,216 ",7.43%,29,Tampa Bay Buccaneers,2022
Special Teams,3,"$7,605,000 ",3.63%,8,Tampa Bay Buccaneers,2022
Quarterback,2,"$26,347,000 ",12.09%,10,Tennessee Titans,2019
Running Back,3,"$7,303,206 ",3.35%,13,Tennessee Titans,2019
Wide Receiver,8,"$15,728,193 ",7.22%,21,Tennessee Titans,2019
Tight End,3,"$8,080,988 ",3.71%,11,Tennessee Titans,2019
Offensive Line,8,"$34,369,210 ",15.77%,12,Tennessee Titans,2019
Defensive Line,8,"$25,616,765 ",11.76%,17,Tennessee Titans,2019
Linebacker,11,"$19,182,325 ",8.80%,16,Tennessee Titans,2019
Secondary,12,"$38,340,756 ",17.60%,6,Tennessee Titans,2019
Special Teams,4,"$7,485,058 ",3.44%,3,Tennessee Titans,2019
Quarterback,2,"$23,110,000 ",10.49%,12,Tennessee Titans,2020
Running Back,5,"$8,263,528 ",3.75%,13,Tennessee Titans,2020
Wide Receiver,6,"$20,929,987 ",9.50%,11,Tennessee Titans,2020
Tight End,4,"$6,309,572 ",2.86%,23,Tennessee Titans,2020
Offensive Line,12,"$46,564,592 ",21.13%,4,Tennessee Titans,2020
Defensive Line,8,"$26,649,498 ",12.09%,21,Tennessee Titans,2020
Linebacker,8,"$10,136,464 ",4.60%,27,Tennessee Titans,2020
Secondary,14,"$35,915,149 ",16.30%,7,Tennessee Titans,2020
Special Teams,3,"$6,127,208 ",2.78%,10,Tennessee Titans,2020
Quarterback,2,"$11,880,000 ",6.23%,19,Tennessee Titans,2021
Running Back,6,"$16,325,658 ",8.57%,1,Tennessee Titans,2021
Wide Receiver,8,"$9,609,111 ",5.04%,27,Tennessee Titans,2021
Tight End,6,"$7,119,272 ",3.74%,18,Tennessee Titans,2021
Offensive Line,10,"$40,284,764 ",21.14%,6,Tennessee Titans,2021
Defensive Line,10,"$10,522,352 ",5.52%,32,Tennessee Titans,2021
Linebacker,12,"$20,391,323 ",10.70%,14,Tennessee Titans,2021
Secondary,11,"$29,021,098 ",15.23%,11,Tennessee Titans,2021
Special Teams,4,"$5,717,778 ",3.00%,10,Tennessee Titans,2021
Quarterback,2,"$39,565,000 ",18.74%,5,Tennessee Titans,2022
Running Back,2,"$16,224,416 ",7.69%,5,Tennessee Titans,2022
Wide Receiver,6,"$22,124,543 ",10.48%,14,Tennessee Titans,2022
Tight End,4,"$3,140,000 ",1.49%,28,Tennessee Titans,2022
Offensive Line,12,"$42,240,666 ",20.01%,11,Tennessee Titans,2022
Defensive Line,7,"$17,128,728 ",8.11%,28,Tennessee Titans,2022
Linebacker,8,"$35,757,777 ",16.94%,7,Tennessee Titans,2022
Secondary,11,"$38,326,243 ",18.16%,11,Tennessee Titans,2022
Special Teams,1,"$3,750,000 ",1.78%,24,Tennessee Titans,2022
Quarterback,1,"$2,875,000 ",1.35%,31,Washington Commanders,2022
Running Back,4,"$3,991,930 ",1.88%,24,Washington Commanders,2022
Wide Receiver,7,"$20,453,758 ",9.64%,15,Washington Commanders,2022
Tight End,4,"$9,127,270 ",4.30%,13,Washington Commanders,2022
Offensive Line,11,"$41,235,654 ",19.43%,12,Washington Commanders,2022
Defensive Line,11,"$44,457,135 ",20.94%,9,Washington Commanders,2022
Linebacker,5,"$8,579,411 ",4.04%,28,Washington Commanders,2022
Secondary,10,"$49,405,362 ",23.27%,5,Washington Commanders,2022
Special Teams,2,"$3,942,677 ",1.86%,22,Washington Commanders,2022
