"Rank","Player","Year","Pos","Team","Draft Year","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age",""
"","Andy Dalton","2019","QB","CIN","2011","$16,000,000","$0","$16,200,000","0.083","$16,212,043","$16,000,000","6","$96,000,000","$83,526,241","2021","2014","26","32",""
"","Andrew Norwell","2019","G","JAC","-99","$13,000,000","$3,000,000","$16,000,000","0.079","$13,000,000","$13,300,000","5","$66,500,000","$34,531,619","2022","2018","26","28",""
"","Allen Robinson","2019","WR","CHI","2014","$9,900,000","$2,000,000","$16,000,000","0.082","$14,015,378","$14,000,000","3","$42,000,000","$33,513,969","2021","2018","24","26",""
"","Terron Armstead","2019","LT","NO","2013","$10,700,000","$2,200,000","$15,968,750","0.084","$11,768,750","$13,000,000","5","$65,000,000","$45,396,026","2022","2016","24","28",""
"","Darius Slay","2019","CB","DET","2013","$12,550,000","$2,900,000","$15,918,750","0.082","$13,018,750","$12,037,500","4","$48,150,000","$43,939,394","2021","2016","24","28",""
"","Jimmy Smith","2019","CB","BAL","2011","$9,500,000","$2,600,000","$15,850,685","0.084","$9,505,555","$10,275,500","4","$41,102,000","$52,518,621","2020","2015","26","31",""
"","Bobby Wagner","2019","ILB","SEA","2012","$9,500,000","$6,350,000","$15,850,000","0.081","$16,500,000","$18,000,000","3","$54,000,000","$52,358,441","2023","2019","28","29",""
"","Matt Ryan","2019","QB","ATL","2008","$2,750,000","$9,300,000","$15,800,000","0.083","$44,764,610","$30,000,000","5","$150,000,000","$223,472,535","2024","2018","32","34",""
"","Tyron Smith","2019","LT","DAL","2011","$10,000,000","$0","$15,545,000","0.077","$11,760,137","$12,200,000","8","$97,600,000","$77,785,235","2024","2016","25","29",""
"","Russell Okung","2019","LT","LAC","2010","$13,000,000","$2,500,000","$15,531,250","0.083","$13,031,250","$13,250,000","4","$53,000,000","$95,487,588","2021","2017","28","31",""
"","Olivier Vernon","2019","DE","CLE","2012","$15,250,000","$0","$15,500,000","0.063","$15,507,952","$17,000,000","5","$85,000,000","$73,374,032","2021","2016","25","29",""
"","A.J. Bouye","2019","CB","JAC","-99","$13,000,000","$2,000,000","$15,437,500","0.077","$13,437,500","$13,500,000","5","$67,500,000","$43,759,704","2022","2017","25","28",""
"","Brandin Cooks","2019","WR","LAR","2014","$1,000,000","$1,400,000","$15,259,000","0.081","$27,459,000","$16,200,000","5","$81,000,000","$46,959,234","2023","2018","24","26",""
"","Trenton Brown","2019","RT","OAK","2015","$5,000,000","$0","$15,250,000","0.079","$15,250,000","$16,500,000","4","$66,000,000","$18,849,012","2023","2019","25","26",""
"","Mike Evans","2019","WR","TB","2014","$11,000,000","$0","$15,200,000","0.078","$20,000,000","$16,500,000","5","$82,500,000","$52,924,588","2024","2018","24","26",""
"","A.J. Green","2019","WR","CIN","2011","$11,976,000","$3,000,000","$15,176,000","0.077","$12,176,000","$15,000,000","4","$60,000,000","$89,864,098","2020","2015","26","31",""
"","J.J. Watt","2019","DE","HOU","2011","$13,000,000","$0","$15,000,000","0.070","$13,000,000","$16,667,571","6","$100,005,425","$85,206,498","2022","2014","24","30",""
"","T.Y. Hilton","2019","WR","IND","2012","$13,000,000","$2,000,000","$15,000,000","0.063","$13,000,000","$13,000,000","5","$65,000,000","$53,977,400","2021","2015","25","30",""
"","Cameron Heyward","2019","DT","PIT","2011","$8,750,000","$2,400,000","$14,901,250","0.072","$8,750,000","$9,866,667","6","$59,200,000","$56,482,735","2021","2015","25","30",""
"","Chandler Jones","2019","OLB","ARI","2012","$9,500,000","$3,000,000","$14,833,333","0.077","$16,514,955","$16,500,000","5","$82,500,000","$66,987,454","2022","2017","26","29",""
"","Geno Atkins","2019","DT","CIN","2010","$8,000,000","$2,600,000","$14,600,000","0.074","$12,012,291","$16,300,000","4","$65,200,000","$84,494,741","2023","2018","29","31",""
"","Calais Campbell","2019","DE","JAC","2008","$12,000,000","$1,500,000","$14,500,000","0.072","$15,000,000","$15,000,000","4","$60,000,000","$103,068,828","2021","2017","30","33",""
"","Joe Staley","2019","LT","SF","2007","$7,550,000","$500,000","$14,418,750","0.062","$13,218,750","$14,000,000","2","$28,000,000","$84,407,638","2022","2019","34","35",""
"","Dee Ford","2019","DE","SF","2014","$4,750,000","$1,600,000","$14,365,625","0.062","$20,765,625","$17,100,000","5","$85,500,000","$37,642,343","2024","2019","27","28",""
"","Josh Norman","2019","CB","WAS","2012","$10,800,000","$3,000,000","$14,237,500","0.074","$11,237,500","$15,000,000","5","$75,000,000","$65,259,448","2021","2016","28","32",""
"","David Bakhtiari","2019","LT","GB","2013","$8,500,000","$3,200,000","$14,200,000","0.072","$11,000,000","$12,000,000","4","$48,000,000","$40,879,114","2021","2016","24","28",""
"","Brandon Williams","2019","DT","BAL","2013","$9,250,000","$2,500,000","$14,170,000","0.076","$9,259,151","$10,500,000","5","$52,500,000","$37,697,061","2022","2017","27","30",""
"","Jarvis Landry","2019","WR","CLE","2014","$12,500,000","$1,500,000","$14,050,000","0.057","$12,566,078","$15,100,000","5","$75,500,000","$37,742,568","2023","2018","25","27",""
"","DeAndre Hopkins","2019","WR","HOU","2013","$12,500,000","$1,500,000","$14,000,000","0.065","$12,500,000","$16,200,000","5","$81,000,000","$56,699,009","2023","2017","24","27",""
"","Zack Martin","2019","G","DAL","2014","$10,000,000","$4,000,000","$14,000,000","0.070","$10,020,956","$14,000,000","6","$84,000,000","$40,988,756","2025","2018","27","29",""
"","Justin Houston","2019","DE","IND","2011","$1,000,000","$0","$14,000,000","0.059","$14,000,000","$12,000,000","2","$24,000,000","$85,547,248","2021","2019","29","30",""
"","Richard Sherman","2019","CB","SF","2011","$7,000,000","$1,000,000","$13,925,000","0.060","$12,925,000","$9,050,000","3","$27,150,000","$69,747,615","2021","2018","29","31",""
"","Amari Cooper","2019","WR","DAL","2015","$13,924,000","$0","$13,924,000","0.069","$13,939,062","$5,665,779","4","$22,663,116","$36,633,557","2020","2015","20","25",""
"","Desmond Trufant","2019","CB","ATL","2013","$9,500,000","$3,000,000","$13,900,000","0.073","$9,508,823","$13,750,000","5","$68,750,000","$49,774,027","2023","2017","26","29",""
"","Ryan Kerrigan","2019","OLB","WAS","2011","$10,500,000","$3,200,000","$13,887,500","0.072","$10,687,500","$11,500,000","5","$57,500,000","$61,464,970","2021","2015","26","31",""
"","Danielle Hunter","2019","DE","MIN","2015","$9,400,000","$3,000,000","$13,500,000","0.070","$10,500,000","$14,400,000","5","$72,000,000","$30,320,367","2024","2018","23","25",""
"","Devin McCourty","2019","FS","NE","2010","$9,000,000","$3,000,000","$13,435,000","0.067","$9,500,000","$9,500,000","5","$47,500,000","$60,606,162","2020","2015","27","32",""
"","Xavier Rhodes","2019","CB","MIN","2013","$10,400,000","$2,400,000","$13,400,000","0.070","$11,000,000","$14,020,000","5","$70,100,000","$49,831,452","2023","2017","26","29",""
"","Taylor Lewan","2019","LT","TEN","2014","$11,088,235","$2,200,000","$13,288,235","0.061","$11,088,235","$16,000,000","5","$80,000,000","$41,608,813","2024","2018","26","28",""
"","C.J. Mosley","2019","ILB","NYJ","2014","$1,000,000","$1,500,000","$13,000,000","0.064","$19,000,000","$17,000,000","5","$85,000,000","$36,506,002","2025","2019","26","27",""
"","Jerry Hughes","2019","DE","BUF","2010","$6,800,000","$3,500,000","$12,950,000","0.065","$14,263,513","$10,750,000","2","$21,500,000","$64,716,013","2022","2019","30","31",""
"","Malcolm Butler","2019","CB","TEN","-99","$10,500,000","$2,000,000","$12,881,250","0.059","$10,881,250","$12,250,000","5","$61,250,000","$31,009,413","2023","2018","27","29",""
"","Vic Beasley","2019","DE","ATL","2015","$12,810,000","$0","$12,810,000","0.068","$12,823,934","$3,623,807","4","$14,495,228","$27,350,024","2020","2015","22","27",""
"","Jurrell Casey","2019","DT","TEN","2011","$10,550,000","$1,600,000","$12,687,500","0.058","$11,087,500","$15,100,000","4","$60,400,000","$63,538,461","2023","2017","27","30",""
"","Jimmy Graham","2019","TE","GB","2010","$3,450,000","$3,666,666","$12,666,666","0.064","$9,000,000","$10,000,000","3","$30,000,000","$65,514,171","2021","2018","31","33",""
"","Tony Jefferson","2019","SS","BAL","-99","$8,000,000","$2,500,000","$12,656,666","0.067","$8,005,350","$8,500,000","4","$34,000,000","$30,664,603","2021","2017","24","27",""
"","Brandon Scherff","2019","G","WAS","2015","$12,525,000","$0","$12,525,000","0.065","$12,525,000","$5,303,910","4","$21,215,638","$33,777,708","2020","2015","23","28",""
"","Donovan Smith","2019","LT","TB","2015","$7,000,000","$0","$12,500,000","0.064","$7,500,000","$13,750,000","3","$41,250,000","$13,711,737","2022","2019","25","26",""
"","Stefon Diggs","2019","WR","MIN","2015","$8,900,000","$3,000,000","$12,500,000","0.065","$9,500,000","$14,400,000","5","$72,000,000","$28,686,038","2024","2018","24","26",""
"","Keenan Allen","2019","WR","LAC","2013","$10,000,000","$1,900,000","$12,150,000","0.065","$10,250,000","$11,250,000","4","$45,000,000","$42,214,590","2021","2016","23","27",""
"","Trumaine Johnson","2019","CB","NYJ","2012","$8,000,000","$4,000,000","$12,000,000","0.059","$8,000,000","$14,500,000","5","$72,500,000","$68,569,329","2023","2018","27","29",""
"","Nate Solder","2019","LT","NYG","2011","$5,400,000","$4,000,000","$12,000,000","0.061","$13,000,000","$15,500,000","4","$62,000,000","$70,995,004","2022","2018","29","31",""
"","Dante Fowler Jr.","2019","OLB","LAR","2015","$9,000,000","$0","$12,000,000","0.063","$12,000,000","$12,000,000","1","$12,000,000","$35,159,237","2020","2019","24","25",""
"","David DeCastro","2019","G","PIT","2012","$7,070,000","$3,200,000","$11,967,500","0.058","$7,070,000","$10,000,000","5","$50,000,000","$48,459,333","2022","2016","25","29",""
"","Chris Harris","2019","CB","DEN","-99","$9,800,000","$0","$11,916,668","0.061","$12,050,000","$12,050,000","1","$12,050,000","$50,256,948","2020","2019","29","30",""
"","Fletcher Cox","2019","DT","PHI","2012","$930,000","$5,200,000","$11,902,000","0.060","$15,600,000","$17,100,000","6","$102,600,000","$73,690,246","2023","2016","25","29",""
"","Ricky Wagner","2019","RT","DET","2013","$9,000,000","$2,900,000","$11,900,000","0.061","$9,000,000","$9,500,000","5","$47,500,000","$33,279,599","2022","2017","27","30",""
"","Khalil Mack","2019","OLB","CHI","2014","$2,300,000","$6,800,000","$11,900,000","0.061","$15,518,121","$23,500,000","6","$141,000,000","$75,229,075","2025","2018","26","28",""
"","Nick Foles","2019","QB","JAC","2012","$5,000,000","$6,250,000","$11,750,000","0.058","$30,500,000","$22,000,000","4","$88,000,000","$62,433,635","2023","2019","29","30",""
"","Alec Ogletree","2019","ILB","NYG","2013","$4,000,000","$0","$11,750,000","0.060","$10,000,000","$10,687,500","4","$42,750,000","$39,169,779","2022","2017","25","28",""
"","Larry Fitzgerald","2019","WR","ARI","2004","$11,000,000","$0","$11,750,000","0.061","$11,766,473","$11,000,000","1","$11,000,000","$169,062,860","2020","2019","35","36",""
"","Joe Haden","2019","CB","PIT","2010","$1,200,000","$7,516,668","$11,716,668","0.057","$15,400,000","$11,200,000","2","$22,400,000","$107,471,755","2022","2019","29","30",""
"","Riley Reiff","2019","LT","MIN","2012","$9,400,000","$2,200,000","$11,700,000","0.061","$9,500,000","$11,750,000","5","$58,750,000","$52,119,222","2022","2017","28","31",""
"","Dontari Poe","2019","DT","CAR","2012","$4,500,000","$3,333,333","$11,683,333","0.061","$8,361,458","$9,333,333","3","$28,000,000","$45,827,466","2021","2018","27","29",""
"","Star Lotulelei","2019","DT","BUF","2013","$7,150,000","$2,600,000","$11,500,000","0.057","$8,911,813","$10,000,000","5","$50,000,000","$42,373,313","2023","2018","28","30",""
"","Dont'a Hightower","2019","ILB","NE","2012","$7,000,000","$2,500,000","$11,445,305","0.057","$8,945,305","$8,875,000","4","$35,500,000","$44,030,980","2022","2017","26","29",""
"","Malcolm Jenkins","2019","FS","PHI","2009","$8,100,000","$1,500,000","$11,387,000","0.057","$8,350,000","$8,750,000","4","$35,000,000","$59,471,960","2021","2016","28","32",""
"","Kwon Alexander","2019","ILB","SF","2015","$1,417,000","$1,000,000","$11,358,705","0.049","$14,292,000","$13,500,000","4","$54,000,000","$18,411,365","2023","2019","24","25",""
"","Mitch Morse","2019","C","BUF","2015","$4,400,000","$2,750,000","$11,250,000","0.056","$19,520,515","$11,125,000","4","$44,500,000","$24,193,591","2023","2019","26","27",""
"","DeMarcus Lawrence","2019","DE","DAL","2014","$1,500,000","$5,000,000","$11,100,000","0.055","$31,116,747","$21,000,000","5","$105,000,000","$53,413,028","2024","2019","26","27",""
"","Alex Mack","2019","C","ATL","2009","$8,500,000","$2,300,000","$11,050,000","0.058","$8,522,748","$9,000,000","5","$45,000,000","$69,422,748","2021","2016","30","34",""
"","Anthony Castonzo","2019","LT","IND","2011","$6,250,000","$2,800,000","$11,050,000","0.047","$8,250,000","$10,953,000","4","$43,812,000","$59,251,096","2020","2015","26","31",""
"","Ali Marpet","2019","G","TB","2015","$3,125,000","$400,000","$11,025,000","0.057","$10,625,000","$10,825,000","5","$54,125,000","$16,571,910","2024","2019","25","26",""
"","Grady Jarrett","2019","DT","ATL","2015","$6,500,000","$4,500,000","$11,000,000","0.058","$24,518,433","$17,000,000","4","$68,000,000","$28,345,418","2023","2019","25","26",""
"","Travis Frederick","2019","C","DAL","2013","$6,000,000","$650,000","$10,975,000","0.055","$6,027,180","$9,400,010","6","$56,400,060","$39,718,268","2024","2016","24","28",""
"","Dre Kirkpatrick","2019","CB","CIN","2012","$9,150,000","$1,400,000","$10,843,750","0.055","$9,450,510","$10,500,000","5","$52,500,000","$48,702,381","2022","2017","27","30",""
"","Derek Wolfe","2019","DE","DEN","2012","$8,000,000","$1,875,000","$10,800,000","0.055","$8,425,000","$9,175,000","4","$36,700,000","$41,627,560","2020","2016","25","29",""
"","Harrison Smith","2019","FS","MIN","2012","$8,350,000","$2,000,000","$10,750,000","0.056","$8,750,000","$10,250,000","5","$51,250,000","$44,666,546","2022","2016","26","30",""
"","Michael Brockers","2019","DE","LAR","2012","$7,777,777","$750,000","$10,750,000","0.057","$10,000,000","$11,083,333","3","$33,250,000","$49,206,668","2020","2016","25","29",""
"","Davante Adams","2019","WR","GB","2014","$2,750,000","$3,600,000","$10,725,000","0.054","$7,125,000","$14,500,000","4","$58,000,000","$36,314,222","2022","2017","24","27",""
"","Duane Brown","2019","LT","SEA","2008","$8,000,000","$2,000,000","$10,725,000","0.055","$8,725,000","$11,500,000","3","$34,500,000","$60,271,116","2022","2018","32","34",""
"","Shaq Thompson","2019","OLB","CAR","2015","$7,525,000","$3,200,000","$10,725,000","0.056","$15,547,701","$13,608,250","4","$54,433,000","$24,356,425","2024","2019","24","25",""
"","Travis Kelce","2019","TE","KC","2013","$7,500,000","$1,968,400","$10,718,400","0.056","$8,750,000","$9,368,400","5","$46,842,000","$33,182,054","2022","2016","26","30",""
"","Logan Ryan","2019","CB","TEN","2013","$9,500,000","$666,668","$10,666,668","0.049","$10,000,000","$10,000,000","3","$30,000,000","$34,344,685","2020","2017","25","28",""
"","Linval Joseph","2019","DT","MIN","2010","$8,900,000","$1,200,000","$10,637,500","0.056","$9,437,500","$12,587,500","4","$50,350,000","$49,953,000","2023","2017","28","31",""
"","Mario Addison","2019","OLB","CAR","-99","$6,500,000","$2,666,668","$10,635,418","0.055","$7,484,316","$7,500,000","3","$22,500,000","$29,191,566","2020","2017","29","32",""
"","Jared Goff","2019","QB","LAR","2016","$1,000,000","$9,629,577","$10,629,577","0.056","$26,000,000","$33,500,000","4","$134,000,000","$49,677,990","2025","2019","24","25",""
"","Ronnie Stanley","2019","LT","BAL","2016","$3,243,318","$3,274,426","$10,517,744","0.056","$7,274,812","$5,121,083","4","$20,484,331","$24,515,825","2021","2016","21","25",""
"","Julio Jones","2019","WR","ATL","2011","$1,500,000","$7,400,000","$10,366,667","0.055","$26,516,985","$22,000,000","3","$66,000,000","$103,126,564","2024","2019","29","30",""
"","Xavien Howard","2019","CB","MIA","2016","$1,285,641","$2,064,189","$10,349,830","0.053","$15,285,641","$15,050,000","5","$75,250,000","$20,128,038","2025","2019","25","26",""
"","LaMarcus Joyner","2019","FS","OAK","2014","$4,700,000","$1,250,000","$10,300,000","0.053","$14,050,000","$10,500,000","4","$42,000,000","$30,468,789","2023","2019","28","29",""
"","Carlos Dunlap","2019","DE","CIN","2010","$3,100,000","$2,250,000","$10,287,500","0.052","$8,054,709","$13,550,000","3","$40,650,000","$63,692,709","2022","2018","28","30",""
"","Rodney Hudson","2019","C","OAK","2011","$8,250,000","$0","$10,117,000","0.052","$8,700,000","$11,250,000","3","$33,750,000","$48,414,448","2023","2019","29","30",""
"","Tyrone Crawford","2019","DT","DAL","2012","$7,000,000","$2,000,000","$10,100,000","0.050","$7,002,379","$9,000,000","5","$45,000,000","$39,742,631","2021","2015","25","30",""
"","Akiem Hicks","2019","DT","CHI","2012","$8,000,000","$1,500,000","$10,100,000","0.052","$8,604,324","$12,000,000","4","$48,000,000","$41,461,905","2022","2017","27","30",""
"","Tyrell Williams","2019","WR","OAK","-99","$5,000,000","$0","$10,100,000","0.052","$10,100,000","$11,075,000","4","$44,300,000","$14,448,701","2023","2019","26","27",""
"","Mike Pouncey","2019","C","LAC","2011","$6,000,000","$2,500,000","$10,070,000","0.054","$9,726,250","$9,000,000","1","$9,000,000","$54,985,945","2021","2019","29","30",""
"","Ryan Jensen","2019","C","TB","2013","$10,000,000","$0","$10,000,000","0.051","$10,000,000","$10,500,000","4","$42,000,000","$25,662,242","2022","2018","26","28",""
"","Casey Hayward","2019","CB","LAC","2012","$8,000,000","$2,000,000","$10,000,000","0.054","$8,000,000","$11,083,333","3","$33,250,000","$34,589,486","2022","2018","28","30",""
"","Devin Funchess","2019","WR","IND","2015","$3,000,000","$0","$10,000,000","0.042","$10,000,000","$10,000,000","1","$10,000,000","$15,520,890","2020","2019","24","25",""
"","Luke Kuechly","2019","ILB","CAR","2012","$950,059","$3,800,000","$9,962,573","0.052","$10,526,266","$12,360,313","5","$61,801,565","$63,862,986","2022","2015","23","28",""
"","Brandon Brooks","2019","G","PHI","2012","$5,088,822","$2,982,235","$9,849,454","0.050","$8,999,999","$14,087,500","4","$56,350,000","$38,469,233","2025","2019","29","30",""
"","Bradley Roby","2019","CB","HOU","2014","$5,000,000","$4,500,000","$9,812,500","0.046","$9,812,500","$10,000,000","1","$10,000,000","$25,326,745","2020","2019","26","27",""
"","Lavonte David","2019","OLB","TB","2012","$9,750,000","$0","$9,750,000","0.050","$9,750,000","$10,050,000","5","$50,250,000","$42,997,757","2021","2015","24","29",""
"","Stephon Tuitt","2019","DE","PIT","2014","$805,000","$2,600,000","$9,745,750","0.047","$9,000,000","$12,000,288","5","$60,001,439","$37,710,551","2023","2017","23","26",""
"","Sheldon Richardson","2019","DT","CLE","2013","$8,000,000","$1,666,667","$9,666,666","0.039","$13,019,253","$12,333,333","3","$37,000,000","$38,439,003","2022","2019","28","29",""
"","David Johnson","2019","RB","ARI","2015","$5,700,000","$3,000,000","$9,656,250","0.050","$6,666,120","$13,000,000","3","$39,000,000","$22,947,432","2022","2018","26","28",""
"","D.J. Humphries","2019","LT","ARI","2015","$9,625,000","$0","$9,625,000","0.050","$9,650,229","$2,228,028","4","$8,912,112","$18,562,341","2020","2015","21","26",""
"","Andrus Peat","2019","G","NO","2015","$9,625,000","$0","$9,625,000","0.051","$9,625,000","$2,848,374","4","$11,393,496","$21,109,208","2020","2015","21","26",""
"","Cameron Jordan","2019","DE","NO","2011","$935,000","$6,300,000","$9,547,000","0.050","$17,000,000","$17,500,000","3","$52,500,000","$67,982,467","2024","2019","29","30",""
"","Kelvin Beachum","2019","LT","NYJ","2012","$8,000,000","$1,500,000","$9,500,000","0.047","$8,000,000","$8,000,000","3","$24,000,000","$32,299,148","2020","2017","27","30",""
"","Prince Amukamara","2019","CB","CHI","2011","$8,500,000","$1,000,000","$9,500,000","0.049","$8,521,840","$9,000,000","3","$27,000,000","$45,803,787","2021","2018","28","30",""
"","Jordan Reed","2019","TE","WAS","2013","$7,671,000","$1,800,000","$9,471,000","0.049","$7,671,000","$9,350,000","5","$46,750,000","$32,694,529","2022","2016","25","29",""
"","Jacoby Brissett","2019","QB","IND","2016","$2,000,000","$5,500,000","$9,407,500","0.040","$14,907,500","$15,000,000","2","$30,000,000","$17,355,075","2021","2019","26","27",""
"","Nelson Agholor","2019","WR","PHI","2015","$9,387,000","$0","$9,387,000","0.047","$9,387,000","$2,344,344","4","$9,377,374","$18,832,302","2020","2015","21","26",""
"","Ron Leary","2019","G","DEN","-99","$8,150,000","$875,000","$9,312,500","0.048","$8,437,500","$9,000,000","4","$36,000,000","$32,019,486","2021","2017","27","30",""
"","Cordy Glenn","2019","LT","CIN","2012","$7,250,000","$0","$9,250,000","0.047","$8,830,795","$12,000,000","5","$60,000,000","$54,945,975","2021","2016","26","30",""
"","Ndamukong Suh","2019","DE","TB","2010","$5,250,000","$4,000,000","$9,250,000","0.047","$9,250,000","$9,250,000","1","$9,250,000","$147,965,157","2020","2019","31","32",""
"","Bud Dupree","2019","OLB","PIT","2015","$9,232,000","$0","$9,232,000","0.045","$9,232,000","$2,305,571","4","$9,222,282","$18,516,579","2020","2015","21","26",""
"","Todd Gurley","2019","RB","LAR","2015","$5,000,000","$4,200,000","$9,200,000","0.049","$5,000,000","$14,375,000","4","$57,500,000","$38,484,917","2024","2018","23","25",""
"","Marvin Jones","2019","WR","DET","2012","$6,500,000","$1,600,000","$9,183,333","0.047","$6,500,000","$8,000,000","5","$40,000,000","$36,024,257","2021","2016","25","29",""
"","Stephon Gilmore","2019","CB","NE","2012","$1,000,000","$3,600,000","$9,170,833","0.046","$10,000,000","$13,000,000","5","$65,000,000","$65,072,408","2022","2017","26","29",""
"","Marshal Yanda","2019","G","BAL","2007","$2,000,000","$5,800,000","$9,125,222","0.049","$10,021,774","$10,000,000","1","$10,000,000","$70,241,120","2021","2019","34","35",""
"","Damarious Randall","2019","FS","CLE","2015","$9,069,000","$0","$9,069,000","0.037","$9,087,471","$1,978,934","4","$7,915,734","$17,093,889","2020","2015","22","27",""
"","Trae Waynes","2019","CB","MIN","2015","$9,069,000","$0","$9,069,000","0.047","$9,069,000","$3,236,092","4","$12,944,368","$22,061,722","2020","2015","22","27",""
"","Arik Armstead","2019","DE","SF","2015","$9,046,000","$0","$9,046,000","0.039","$9,046,000","$2,460,658","4","$9,842,630","$18,923,611","2020","2015","21","26",""
"","Marqise Lee","2019","WR","JAC","2014","$7,250,000","$1,750,000","$9,000,000","0.045","$0","$8,500,000","4","$34,000,000","$14,424,022","2022","2018","26","28",""
"","Pierre Desir","2019","CB","IND","2014","$1,000,000","$0","$9,000,000","0.038","$9,000,000","$7,500,000","3","$22,500,000","$13,113,976","2022","2019","28","29",""
"","Kenny Moore","2019","CB","IND","-99","$1,000,000","$0","$9,000,000","0.038","$9,000,000","$8,325,000","4","$33,300,000","$10,318,620","2024","2019","23","24",""
"","Le'Veon Bell","2019","RB","NYJ","2013","$2,000,000","$2,000,000","$8,968,750","0.044","$14,968,750","$13,125,000","4","$52,500,000","$31,006,944","2023","2019","26","27",""
"","Travis Carrie","2019","CB","CLE","2014","$7,500,000","$900,000","$8,900,000","0.036","$8,018,675","$7,750,000","4","$31,000,000","$19,665,975","2022","2018","27","29",""
