"Rank","Player","Year","Pos","Team","Draft Year","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age",""
"","Matthew Stafford","2019","QB","DET","2009","$13,500,000","$10,000,000","$30,700,000","0.158","$32,700,000","$27,000,000","5","$135,000,000","$210,978,969","2023","2017","28","31",""
"","Aaron Rodgers","2019","QB","GB","2005","$1,100,000","$11,500,000","$29,672,000","0.151","$15,320,000","$33,500,000","4","$134,000,000","$219,364,529","2024","2018","34","36",""
"","Kirk Cousins","2019","QB","MIN","2012","$27,500,000","$1,000,000","$29,000,000","0.151","$28,000,000","$28,000,000","3","$84,000,000","$100,640,630","2021","2018","29","31",""
"","Russell Wilson","2019","QB","SEA","2012","$5,000,000","$19,200,000","$26,286,668","0.134","$35,000,000","$35,000,000","4","$140,000,000","$109,362,520","2024","2019","30","31",""
"","Ben Roethlisberger","2019","QB","PIT","2004","$2,500,000","$18,700,000","$26,200,000","0.127","$40,000,000","$34,000,000","2","$68,000,000","$227,286,864","2022","2019","36","37",""
"","Von Miller","2019","OLB","DEN","2011","$17,000,000","$3,400,000","$25,125,000","0.129","$17,500,000","$19,016,667","6","$114,100,000","$108,475,534","2022","2016","26","30",""
"","Eli Manning","2019","QB","NYG","2004","$11,500,000","$6,200,000","$23,200,000","0.118","$17,000,000","$21,000,000","4","$84,000,000","$252,280,004","2020","2015","33","38",""
"","Cam Newton","2019","QB","CAR","2011","$16,200,000","$4,500,000","$23,200,000","0.121","$16,701,357","$20,760,000","5","$103,800,000","$121,393,521","2021","2015","25","30",""
"","Philip Rivers","2019","QB","LAC","2004","$11,000,000","$4,500,000","$23,000,000","0.123","$16,000,000","$20,812,500","4","$83,250,000","$218,917,656","2020","2015","33","38",""
"","Drew Brees","2019","QB","NO","2001","$6,800,000","$10,500,000","$22,700,000","0.120","$23,000,000","$25,000,000","2","$50,000,000","$244,710,422","2020","2018","38","40",""
"","Derek Carr","2019","QB","OAK","2014","$19,900,000","$2,500,000","$22,500,000","0.117","$20,000,000","$25,000,000","5","$125,000,000","$72,010,601","2023","2017","25","28",""
"","Tom Brady","2019","QB","NE","2000","$1,750,000","$13,750,000","$21,500,000","0.107","$23,000,000","$23,000,000","1","$23,000,000","$235,166,804","2020","2019","41","42",""
"","Jameis Winston","2019","QB","TB","2015","$20,922,000","$0","$20,922,000","0.107","$20,922,000","$6,337,819","4","$25,351,277","$46,180,894","2020","2015","20","25",""
"","Marcus Mariota","2019","QB","TEN","2015","$20,922,000","$0","$20,922,000","0.096","$20,922,000","$6,053,494","4","$24,213,974","$45,161,134","2020","2015","21","26",""
"","Alex Smith","2019","QB","WAS","2005","$15,000,000","$5,400,000","$20,400,000","0.105","$15,000,000","$23,500,000","4","$94,000,000","$173,725,000","2023","2018","33","35",""
"","Jimmy Garoppolo","2019","QB","SF","2014","$17,200,000","$1,400,000","$20,000,000","0.087","$18,600,000","$27,500,000","5","$137,500,000","$64,058,637","2023","2018","26","28",""
"","Melvin Ingram","2019","DE","LAC","2012","$17,000,000","$2,625,000","$19,625,000","0.105","$17,000,000","$16,000,000","4","$64,000,000","$67,209,939","2021","2017","27","30",""
"","Sammy Watkins","2019","WR","KC","2014","$11,950,000","$7,000,000","$19,200,000","0.101","$12,200,000","$16,000,000","3","$48,000,000","$53,935,603","2021","2018","24","26",""
"","Kyle Fuller","2019","CB","CHI","2014","$1,000,000","$7,500,000","$18,000,000","0.092","$9,017,471","$13,500,000","2","$27,000,000","$38,837,730","2022","2020","27","27",""
"","Reshad Jones","2019","SS","MIA","2010","$13,015,000","$1,840,000","$17,191,250","0.087","$13,146,250","$12,000,000","5","$60,000,000","$56,137,432","2023","2017","28","31",""
"","Aaron Donald","2019","DT","LAR","2014","$9,108,000","$8,000,000","$17,108,000","0.090","$9,108,000","$22,500,000","6","$135,000,000","$60,202,010","2025","2018","26","28",""
"","Odell Beckham, Jr.","2019","WR","CLE","2014","$16,750,000","$0","$17,000,000","0.069","$17,013,388","$18,000,000","5","$90,000,000","$48,881,807","2024","2018","25","27",""
"","Andrew Whitworth","2019","LT","LAR","2006","$10,250,000","$1,666,668","$16,659,168","0.088","$11,500,000","$11,250,000","3","$33,750,000","$88,865,000","2020","2017","35","38",""
