"Rank","Player","Year","Pos","Team","Draft Year","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age",""
"","Dwight Freeney","2012","OLB","IND","2002","$14,035,000","$2,500,000","$19,035,000","0.158","$14,035,000","$12,000,000","6","$72,000,000","$86,172,572","2013","2007","26","32",""
"","Chris Long","2012","DE","STL","2008","$10,310,000","$0","$19,007,500","0.158","$8,457,500","$12,050,000","4","$48,200,000","$48,240,000","2017","2012","26","27",""
"","Peyton Manning","2012","QB","DEN","1998","$18,000,000","$0","$18,000,000","0.149","$18,000,000","$19,200,000","5","$96,000,000","$189,732,000","2017","2012","35","36",""
"","Patrick Willis","2012","ILB","SF","2007","$1,904,000","$13,113,332","$17,777,332","0.147","$1,700,000","$10,000,000","5","$50,000,000","$33,188,080","2017","2010","24","27",""
"","Elvis Dumervil","2012","OLB","DEN","2006","$14,000,000","$500,000","$15,623,000","0.130","$14,000,000","$10,250,000","6","$61,500,000","$39,259,000","2016","2010","25","28",""
"","Sam Bradford","2012","QB","STL","2010","$6,000,000","$3,595,000","$15,595,000","0.129","$12,000,000","$13,007,500","6","$78,045,000","$42,045,000","2016","2010","22","25",""
"","Vincent Jackson","2012","WR","TB","2005","$11,000,000","$0","$15,432,000","0.128","$25,160,000","$11,111,111","5","$55,555,555","$40,675,647","2017","2012","28","29",""
"","Philip Rivers","2012","QB","SD","2004","$10,200,000","$3,910,000","$15,310,000","0.127","$10,200,000","$15,300,000","6","$91,800,000","$94,110,000","0","2009","27","31",""
"","Carl Nicks","2012","G","TB","2008","$6,500,000","$0","$14,857,000","0.123","$12,500,000","$9,500,000","5","$47,500,000","$16,378,750","2017","2012","26","27",""
"","Larry Fitzgerald","2012","WR","ARI","2004","$5,000,000","$5,000,000","$14,500,000","0.120","$20,250,000","$16,142,857","7","$113,000,000","$94,032,500","2019","2011","27","29",""
"","Tamba Hali","2012","OLB","KC","2006","$11,250,000","$2,964,706","$14,464,706","0.120","$11,500,000","$11,500,000","5","$57,500,000","$37,773,530","2016","2011","27","29",""
"","Jared Allen","2012","DE","MIN","2004","$11,619,850","$2,583,344","$14,403,194","0.119","$11,819,850","$12,210,012","6","$73,260,069","$67,838,524","2014","2008","25","30",""
"","Michael Vick","2012","QB","PHI","2001","$12,500,000","$1,400,000","$13,900,000","0.115","$12,500,000","$16,000,000","5","$80,000,000","$98,735,000","2017","2011","30","32",""
