"Rank","Player","Year","Pos","Team","Draft Year","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age",""
"","Joe Thomas","2012","LT","CLE","2007","$10,500,000","$2,260,000","$13,560,000","0.112","$10,700,000","$11,500,000","7","$80,500,000","$68,550,000","2019","2011","26","28",""
"","Matt Ryan","2012","QB","ATL","2008","$11,500,000","$2,000,000","$13,500,000","0.112","$11,500,000","$11,250,000","6","$67,500,000","$54,950,000","2014","2008","22","27",""
"","Trent Williams","2012","LT","WAS","2010","$11,000,000","$500,000","$12,980,393","0.108","$11,000,000","$10,000,000","6","$60,000,000","$29,686,787","2016","2010","21","24",""
"","Jake Long","2012","LT","MIA","2008","$11,200,000","$0","$12,800,000","0.106","$11,200,000","$11,550,000","5","$57,750,000","$53,150,000","2013","2008","22","27",""
"","Adrian Peterson","2012","RB","MIN","2007","$8,000,000","$2,900,000","$12,705,000","0.105","$8,250,000","$14,380,000","6","$86,280,000","$48,280,000","2018","2011","25","27",""
"","Julius Peppers","2012","DE","CHI","2002","$8,900,000","$1,083,333","$12,183,333","0.101","$9,000,000","$14,000,000","6","$84,000,000","$116,728,000","2016","2010","29","32",""
"","David Harris","2012","ILB","NYJ","2007","$9,900,000","$2,000,000","$12,000,000","0.100","$10,000,000","$9,000,000","4","$36,000,000","$23,810,000","2015","2011","26","28",""
"","Darrelle Revis","2012","CB","NYJ","2007","$4,500,000","$783,416","$11,765,916","0.098","$7,500,000","$11,500,000","4","$46,000,000","$57,199,500","2017","2010","24","27",""
"","Calvin Johnson","2012","WR","DET","2007","$1,250,000","$6,000,000","$11,750,000","0.097","$20,150,000","$16,207,143","7","$113,450,000","$69,704,162","2020","2012","26","27",""
"","Terrell Suggs","2012","OLB","BAL","2003","$4,900,000","$2,020,000","$11,520,000","0.096","$4,900,000","$10,416,667","6","$62,500,000","$70,310,000","2015","2009","26","30",""
"","Jordan Gross","2012","LT","CAR","2003","$8,500,000","$1,000,000","$11,500,000","0.095","$0","$9,400,000","6","$56,400,000","$49,464,000","2014","2009","28","32",""
"","Chris Johnson","2012","RB","TEN","2008","$8,000,000","$2,050,002","$11,370,002","0.094","$8,000,000","$13,493,750","4","$53,975,000","$29,332,510","2017","2011","25","27",""
"","Karlos Dansby","2012","ILB","MIA","2004","$8,800,000","$800,000","$11,325,000","0.094","$9,000,000","$8,420,000","5","$42,100,000","$48,697,000","2015","2010","28","31",""
"","Champ Bailey","2012","CB","DEN","1999","$8,000,000","$0","$11,250,000","0.093","$11,250,000","$10,625,000","4","$42,500,000","$91,557,025","2015","2011","32","34",""
"","Matt Schaub","2012","QB","HOU","2004","$4,400,000","$4,250,000","$11,150,000","0.093","$21,900,000","$15,500,000","4","$62,000,000","$63,555,000","2016","2012","30","31",""
"","Charles Woodson","2012","SS","GB","1998","$6,500,000","$0","$11,062,500","0.092","$11,062,500","$11,000,000","5","$55,000,000","$86,418,000","2015","2010","33","36",""
"","Nnamdi Asomugha","2012","CB","PHI","2003","$11,000,000","$0","$11,000,000","0.091","$11,000,000","$12,000,000","5","$60,000,000","$65,857,000","2016","2011","29","31",""
"","Charles Johnson","2012","DE","CAR","2007","$4,750,000","$6,000,000","$11,000,000","0.091","$5,000,000","$12,666,667","6","$76,000,000","$41,926,000","2017","2011","24","26",""
"","Cliff Avril","2012","DE","DET","2008","$10,605,000","$0","$10,605,000","0.088","$10,605,000","$10,605,000","1","$10,605,000","$14,850,000","2013","2012","25","26",""
"","Kevin Kolb","2012","QB","ARI","2007","$1,000,000","$2,000,000","$10,500,000","0.087","$8,500,000","$10,351,333","6","$62,108,000","$26,003,708","2017","2011","26","28",""
"","Haloti Ngata","2012","DT","BAL","2006","$2,900,000","$5,000,000","$10,400,000","0.086","$19,900,000","$12,131,000","4","$48,524,000","$52,650,000","2016","2011","26","28",""
"","Drew Brees","2012","QB","NO","2001","$3,000,000","$7,400,000","$10,400,000","0.086","$40,000,000","$20,000,000","5","$100,000,000","$110,455,000","2017","2012","32","33",""
"","Brent Grimes","2012","CB","ATL","-99","$10,281,000","$0","$10,281,000","0.085","$10,281,000","$10,281,000","1","$10,281,000","$14,188,958","2013","2012","28","29",""
"","Chris Snee","2012","G","NYG","2004","$5,700,000","$2,250,000","$10,000,000","0.083","$10,250,000","$7,083,333","6","$42,500,000","$41,985,000","2015","2009","26","30",""
"","Joe Haden","2012","CB","CLE","2010","$5,680,718","$4,000,000","$9,987,280","0.083","$5,880,718","$8,011,348","5","$40,056,742","$22,157,133","0","2010","20","23",""
"","Corey Webster","2012","CB","NYG","2005","$7,000,000","$875,000","$9,845,000","0.082","$7,250,000","$7,250,000","6","$43,500,000","$39,125,000","2015","2009","26","30",""
"","Mario Williams","2012","DE","BUF","2006","$5,900,000","$3,800,000","$9,800,000","0.081","$25,000,000","$16,000,000","6","$96,000,000","$69,500,000","2018","2012","26","27",""
"","Chris Gamble","2012","CB","CAR","2004","$6,750,000","$1,000,000","$9,750,000","0.081","$6,750,000","$8,791,667","6","$52,750,000","$43,999,999","2015","2009","25","29",""
"","Brian Urlacher","2012","LB","CHI","2000","$7,500,000","$1,200,000","$9,700,000","0.080","$8,000,000","$8,710,000","5","$43,550,000","$80,174,999","2013","2008","29","34",""
"","Eli Manning","2012","QB","NYG","2004","$1,750,000","$2,600,000","$9,600,000","0.080","$11,250,000","$16,250,000","6","$97,500,000","$121,620,000","2016","2010","28","31",""
"","Jay Cutler","2012","QB","CHI","2006","$7,700,000","$1,400,000","$9,600,000","0.080","$8,200,000","$10,074,000","5","$50,370,000","$49,212,499","2014","2009","25","29",""
"","Ed Reed","2012","S","BAL","2002","$7,200,000","$1,071,428","$9,571,428","0.079","$7,200,000","$5,726,429","7","$40,085,000","$45,522,500","2013","2006","27","34",""
"","Dwayne Bowe","2012","WR","KC","2007","$9,515,000","$0","$9,515,000","0.079","$9,515,000","$9,515,000","1","$9,515,000","$20,590,000","2013","2012","27","28",""
"","Wes Welker","2012","WR","NE","-99","$9,515,000","$0","$9,515,000","0.079","$9,515,000","$9,515,000","1","$9,515,000","$28,575,000","2013","2012","30","31",""
"","Tyson Jackson","2012","DE","KC","2009","$4,250,000","$2,750,000","$9,500,000","0.079","$4,250,000","$10,985,000","2","$21,970,000","$29,525,000","2014","2012","25","26",""
"","Brandon Marshall","2012","WR","CHI","2006","$9,300,000","$0","$9,500,000","0.079","$9,500,000","$8,955,800","5","$44,779,000","$30,910,000","0","2011","26","28",""
"","Davin Joseph","2012","G","TB","2006","$9,500,000","$0","$9,500,000","0.079","$9,500,000","$7,500,000","7","$52,500,000","$29,450,000","2018","2011","27","29",""
"","Darren McFadden","2012","RB","OAK","2008","$5,650,000","$0","$9,478,833","0.079","$4,805,667","$7,007,292","6","$42,043,750","$37,051,834","2014","2008","20","25",""
"","Gerald McCoy","2012","DT","TB","2010","$6,547,500","$600,000","$9,442,500","0.078","$6,847,500","$11,000,000","5","$55,000,000","$36,083,750","2015","2010","21","24",""
"","Ahtyba Rubin","2012","DT","CLE","2008","$7,700,000","$1,375,000","$9,375,000","0.078","$8,000,000","$6,625,000","4","$26,500,000","$15,342,400","2015","2011","24","26",""
"","Steven Jackson","2012","RB","STL","2004","$7,000,000","$2,279,000","$9,279,000","0.077","$7,000,000","$7,467,500","6","$44,805,000","$45,075,000","2013","2008","24","29",""
"","Alex Smith","2012","QB","SF","2005","$5,000,000","$0","$9,250,000","0.077","$9,250,000","$9,258,333","3","$27,775,000","$50,475,000","2015","2012","27","28",""
"","Santonio Holmes","2012","WR","NYJ","2006","$7,750,000","$1,250,000","$9,250,000","0.077","$8,000,000","$9,000,000","5","$45,000,000","$26,281,764","2016","2011","26","28",""
"","Troy Polamalu","2012","S","PIT","2003","$6,250,000","$2,637,500","$9,137,500","0.076","$6,500,000","$9,866,667","3","$29,600,000","$55,847,000","0","2011","29","31",""
"","Jerod Mayo","2012","ILB","NE","2008","$1,250,000","$3,200,000","$9,125,000","0.076","$13,250,000","$7,121,429","7","$49,850,000","$63,800,000","2018","2011","24","26",""
"","James Harrison","2012","OLB","PIT","-99","$5,565,000","$2,000,000","$9,030,000","0.075","$5,627,500","$8,625,000","6","$51,750,000","$36,182,970","2015","2009","30","34",""
"","Antonio Smith","2012","DE","HOU","2004","$5,500,000","$2,500,000","$9,000,000","0.075","$5,500,000","$7,100,000","5","$35,500,000","$33,009,723","2014","2009","27","31",""
"","Antrel Rolle","2012","SS","NYG","2005","$6,750,000","$1,000,000","$9,000,000","0.075","$7,000,000","$7,420,000","5","$37,100,000","$42,965,000","2015","2010","27","30",""
"","Russell Okung","2012","LT","SEA","2010","$6,480,000","$280,000","$8,960,000","0.074","$6,680,000","$8,083,333","6","$48,500,000","$27,280,000","2016","2010","21","24",""
"","Matthew Stafford","2012","QB","DET","2009","$615,000","$0","$8,935,000","0.074","$11,500,000","$12,000,000","6","$72,000,000","$50,770,000","2016","2009","20","24",""
"","Ben Roethlisberger","2012","QB","PIT","2004","$900,000","$4,200,000","$8,895,000","0.074","$11,600,000","$14,664,417","6","$87,986,500","$81,579,382","2016","2008","25","30",""
"","Anthony Spencer","2012","OLB","DAL","2007","$8,856,000","$0","$8,856,000","0.073","$8,856,000","$8,856,000","1","$8,856,000","$17,709,000","2013","2012","27","28",""
"","Jason Peters","2012","LT","PHI","-99","$7,900,000","$292,000","$8,834,000","0.073","$350,000","$12,862,500","4","$51,450,000","$48,107,385","2015","2009","26","30",""
"","Richard Seymour","2012","DT","OAK","2001","$925,000","$0","$8,808,000","0.073","$15,000,000","$15,000,000","2","$30,000,000","$89,505,000","2013","2011","31","33",""
"","Glenn Dorsey","2012","DE","KC","2008","$6,431,000","$0","$8,768,000","0.073","$6,681,000","$10,085,000","5","$50,425,000","$34,500,000","2013","2008","22","27",""
"","Marcedes Lewis","2012","TE","JAC","2006","$4,200,000","$1,400,000","$8,750,000","0.073","$7,350,000","$6,800,000","5","$34,000,000","$24,630,000","2016","2011","26","28",""
"","DeAngelo Williams","2012","RB","CAR","2006","$5,250,000","$3,200,000","$8,700,000","0.072","$5,500,000","$8,600,000","5","$43,000,000","$35,125,000","2016","2011","27","29",""
"","Vince Wilfork","2012","DT","NE","2004","$4,500,000","$3,600,000","$8,600,000","0.071","$5,000,000","$8,000,000","5","$40,000,000","$36,145,000","2015","2010","28","31",""
"","Aaron Rodgers","2012","QB","GB","2005","$8,000,000","$0","$8,500,000","0.071","$8,500,000","$10,586,667","6","$63,520,000","$50,465,000","2015","2009","25","29",""
"","Leon Hall","2012","CB","CIN","2007","$1,600,000","$1,800,000","$8,500,000","0.071","$6,700,000","$9,750,000","4","$39,000,000","$31,842,500","2016","2011","26","28",""
"","Kevin Williams","2012","DT","MIN","2003","$7,000,000","$0","$8,416,666","0.070","$7,500,000","$5,721,750","8","$45,774,000","$45,279,000","2014","2008","27","32",""
"","Antonio Cromartie","2012","CB","NYJ","2006","$3,800,000","$1,250,000","$8,250,000","0.068","$7,000,000","$8,000,000","4","$32,000,000","$23,475,000","2015","2011","26","28",""
"","Sidney Rice","2012","WR","SEA","2007","$7,000,000","$1,200,000","$8,200,000","0.068","$7,000,000","$8,200,000","5","$41,000,000","$16,601,000","2016","2011","24","26",""
"","Darrius Heyward-Bey","2012","WR","OAK","2009","$5,279,000","$0","$8,159,000","0.068","$5,529,000","$7,650,000","5","$38,250,000","$30,279,000","2014","2009","21","25",""
"","Jason Witten","2012","TE","DAL","2003","$3,641,000","$2,500,000","$8,141,000","0.068","$4,641,000","$7,400,000","5","$37,000,000","$43,253,000","2018","2011","28","30",""
"","Tony Romo","2012","QB","DAL","-99","$825,000","$1,916,000","$8,060,499","0.067","$9,000,000","$11,250,000","6","$67,500,000","$61,920,000","2014","2008","27","32",""
"","Eric Berry","2012","FS","KC","2010","$4,842,800","$0","$8,045,500","0.067","$5,142,800","$8,340,717","6","$50,044,300","$28,563,300","2016","2010","21","24",""
"","Roddy White","2012","WR","ATL","2005","$5,500,000","$1,200,000","$8,025,000","0.067","$5,500,000","$7,120,000","6","$42,720,000","$88,391,000","0","2009","27","31",""
"","Joe Flacco","2012","QB","BAL","2008","$6,760,000","$0","$8,000,000","0.066","$6,760,000","$5,950,000","5","$29,750,000","$23,800,000","2013","2008","22","27",""
"","Arian Foster","2012","RB","HOU","-99","$5,000,000","$2,500,000","$8,000,000","0.066","$18,000,000","$8,700,000","5","$43,500,000","$19,305,000","2017","2012","25","26",""
"","Brandon Flowers","2012","CB","KC","2008","$5,750,000","$2,000,000","$8,000,000","0.066","$6,000,000","$8,225,000","6","$49,350,000","$42,134,000","2017","2011","24","26",""
"","Tom Brady","2012","QB","NE","2000","$950,000","$3,200,000","$8,000,000","0.066","$12,000,000","$18,000,000","4","$72,000,000","$122,381,840","2015","2010","32","35",""
"","Greg Jennings","2012","WR","GB","2006","$3,885,000","$2,812,500","$7,972,500","0.066","$5,160,000","$6,721,250","4","$26,885,000","$32,190,000","2013","2009","25","29",""
"","Chris Canty","2012","DE","NYG","2005","$6,000,000","$1,700,000","$7,950,000","0.066","$6,250,000","$7,000,000","6","$42,000,000","$32,278,000","2015","2009","26","30",""
"","Josh Freeman","2012","QB","TB","2009","$6,585,000","$0","$7,915,000","0.066","$6,585,000","$5,200,000","5","$26,000,000","$17,770,000","2014","2009","20","24",""
"","Mark Sanchez","2012","QB","NYJ","2009","$3,250,000","$1,600,000","$7,853,125","0.065","$11,750,000","$13,491,667","3","$40,475,000","$53,142,500","2017","2012","25","26",""
"","Chad Greenway","2012","OLB","MIN","2006","$5,900,000","$1,700,000","$7,700,000","0.064","$6,000,000","$8,120,000","5","$40,600,000","$32,640,000","2016","2011","27","29",""
"","Eric Weddle","2012","FS","SD","2007","$5,000,000","$2,600,000","$7,600,000","0.063","$5,000,000","$8,000,000","5","$40,000,000","$23,165,000","2016","2011","25","27",""
"","Matt Cassel","2012","QB","KC","2005","$5,250,000","$200,000","$7,575,000","0.063","$5,500,000","$10,500,000","6","$63,000,000","$47,589,000","2015","2009","26","30",""
"","Sedrick Ellis","2012","DT","NO","2008","$5,816,000","$0","$7,566,000","0.063","$6,066,000","$6,700,000","5","$33,500,000","$51,204,000","2013","2008","22","27",""
"","DeMarcus Ware","2012","OLB","DAL","2005","$825,000","$4,000,000","$7,546,750","0.063","$5,000,000","$11,142,857","7","$78,000,000","$57,150,000","2016","2009","26","30",""
"","Anquan Boldin","2012","WR","BAL","2003","$6,000,000","$1,531,250","$7,531,250","0.062","$6,000,000","$8,333,333","3","$25,000,000","$44,240,000","2014","2010","29","32",""
"","Ryan Mathews","2012","RB","SD","2010","$712,800","$500,000","$7,530,300","0.062","$5,896,550","$4,730,000","4","$18,920,000","$16,246,300","2015","2010","22","25",""
"","Steve Smith","2012","WR","CAR","2001","$1,000,000","$3,550,000","$7,513,111","0.062","$11,000,000","$7,500,000","4","$30,000,000","$127,581,490","2017","2012","32","33",""
"","Matt Hasselbeck","2012","QB","TEN","1998","$5,500,000","$2,000,000","$7,500,000","0.062","$5,500,000","$6,666,667","3","$20,000,000","$155,589,000","2014","2011","35","37",""
"","Andre Johnson","2012","WR","HOU","2003","$1,000,000","$2,611,335","$7,494,668","0.062","$8,583,333","$9,685,714","7","$67,800,000","$73,976,137","2017","2010","28","31",""
"","Tramon Williams","2012","CB","GB","-99","$2,300,000","$2,000,000","$7,400,000","0.061","$3,100,000","$8,250,000","4","$33,000,000","$23,614,000","2015","2010","26","29",""
"","Dunta Robinson","2012","CB","ATL","2004","$5,000,000","$1,400,000","$7,400,000","0.061","$5,000,000","$8,625,000","4","$34,500,000","$44,529,500","2016","2012","29","30",""
"","Calvin Pace","2012","OLB","NYJ","2003","$3,085,000","$1,833,333","$7,348,333","0.061","$4,335,000","$7,000,000","6","$42,000,000","$41,271,029","2014","2008","27","32",""
"","Michael Roos","2012","LT","TEN","2005","$5,500,000","$1,500,000","$7,250,000","0.060","$5,750,000","$7,166,667","6","$43,000,000","$34,319,600","2015","2008","25","30",""
"","Heath Miller","2012","TE","PIT","2005","$4,274,000","$850,000","$7,070,500","0.059","$4,274,000","$6,750,000","5","$33,750,000","$63,616,000","2017","2009","26","30",""
"","Paul Posluszny","2012","OLB","JAC","2007","$2,950,000","$2,000,000","$7,000,000","0.058","$5,000,000","$7,500,000","6","$45,000,000","$19,783,000","2018","2011","26","28",""
"","Zach Miller","2012","TE","SEA","2007","$6,000,000","$1,000,000","$7,000,000","0.058","$6,000,000","$6,800,000","5","$34,000,000","$18,152,000","2016","2011","25","27",""
"","Michael Turner","2012","RB","ATL","2004","$5,000,000","$2,000,000","$7,000,000","0.058","$5,000,000","$5,750,000","6","$34,500,000","$32,425,000","2014","2008","25","30",""
"","Logan Mankins","2012","G","NE","2005","$2,750,000","$4,000,000","$7,000,000","0.058","$3,000,000","$8,500,000","6","$51,000,000","$32,324,708","2017","2011","28","30",""
"","Jon Beason","2012","ILB","CAR","2007","$2,639,554","$4,000,000","$6,889,554","0.057","$2,889,554","$8,821,592","6","$52,929,554","$65,999,108","2015","2011","25","27",""
"","Vernon Davis","2012","TE","SF","2006","$4,271,062","$1,666,666","$6,876,478","0.057","$6,413,562","$7,350,000","5","$36,750,000","$44,690,562","2016","2010","25","28",""
"","Matt Forte","2012","RB","CHI","2008","$800,000","$1,000,000","$6,800,000","0.056","$9,800,000","$7,600,000","4","$30,400,000","$13,611,500","2016","2012","26","27",""
"","Jermon Bushrod","2012","G","NO","2007","$3,250,000","$1,750,000","$6,750,000","0.056","$5,000,000","$4,900,000","2","$9,800,000","$12,759,860","2013","2011","26","28",""
"","Andrew Whitworth","2012","LT","CIN","2006","$4,550,000","$2,000,000","$6,750,000","0.056","$4,750,000","$9,762,500","2","$19,525,000","$29,715,000","2016","2011","29","31",""
"","Darnell Dockett","2012","DE","ARI","2004","$3,400,000","$0","$6,650,000","0.055","$3,650,000","$8,825,000","4","$35,300,000","$83,180,000","2016","2010","28","31",""
"","Justin Smith","2012","DE","SF","2001","$5,875,000","$0","$6,575,000","0.055","$6,375,000","$7,500,000","6","$45,000,000","$65,394,000","2014","2008","28","33",""
"","Ndamukong Suh","2012","DT","DET","2010","$540,000","$0","$6,562,500","0.054","$10,375,000","$12,900,400","5","$64,502,000","$39,259,706","2015","2010","22","25",""
"","A.J. Hawk","2012","OLB","GB","2006","$4,400,000","$1,600,000","$6,550,000","0.054","$550,000","$6,750,000","5","$33,750,000","$27,041,250","2016","2011","26","28",""
"","Andre Smith","2012","G","CIN","2009","$4,500,000","$0","$6,508,000","0.054","$5,000,000","$7,000,000","6","$42,000,000","$23,177,500","2013","2009","21","25",""
"","D.J. Williams","2012","ILB","DEN","2004","$4,900,000","$250,000","$6,500,000","0.054","$6,600,000","$5,333,333","6","$32,000,000","$33,558,000","2014","2008","25","30",""
"","DeAngelo Hall","2012","CB","WAS","2004","$6,000,000","$0","$6,500,000","0.054","$6,500,000","$9,166,667","6","$55,000,000","$61,370,000","2015","2009","25","29",""
"","Donald Penn","2012","LT","TB","-99","$5,100,000","$333,333","$6,433,333","0.053","$6,100,000","$6,950,000","6","$41,700,000","$24,672,000","2016","2010","26","29",""
"","Antonio Gates","2012","TE","SD","-99","$4,000,000","$762,500","$6,362,500","0.053","$10,400,000","$7,235,000","5","$36,175,000","$43,437,294","2016","2010","29","32",""
"","Roman Harper","2012","SS","NO","2006","$4,500,000","$1,750,000","$6,350,000","0.053","$4,600,000","$6,250,000","4","$25,000,000","$19,630,500","2015","2011","28","30",""
"","Maurice Jones-Drew","2012","RB","JAC","2006","$4,450,000","$1,800,000","$6,300,000","0.052","$4,500,000","$6,220,000","5","$31,100,000","$28,805,000","2014","2009","23","27",""
"","Robert Geathers","2012","DE","CIN","2004","$4,200,000","$1,833,333","$6,233,333","0.052","$4,400,000","$5,625,000","6","$33,750,000","$32,916,000","2013","2007","23","29",""
"","Antoine Bethea","2012","SS","IND","2006","$5,025,000","$1,000,000","$6,225,000","0.052","$5,225,000","$6,500,000","4","$26,000,000","$22,934,000","2014","2010","25","28",""
"","Dashon Goldson","2012","FS","SF","2007","$6,212,000","$0","$6,212,000","0.052","$6,212,000","$6,212,000","1","$6,212,000","$10,289,878","2013","2012","27","28",""
"","D'Qwell Jackson","2012","ILB","CLE","2006","$3,400,000","$1,400,000","$6,200,000","0.051","$11,800,000","$7,700,000","5","$38,500,000","$21,999,000","2017","2012","28","29",""
"","Eric Wright","2012","CB","TB","2007","$5,544,117","$0","$6,044,117","0.050","$6,044,117","$7,500,000","5","$37,500,000","$12,408,617","2014","2012","26","27",""
"","Will Smith","2012","OLB","NO","2004","$825,000","$2,000,000","$6,033,333","0.050","$8,150,000","$10,233,333","6","$61,400,000","$49,030,000","2015","2008","26","31",""
"","Reggie Bush","2012","RB","MIA","2006","$4,500,000","$1,250,000","$6,025,000","0.050","$4,775,000","$4,875,000","2","$9,750,000","$50,775,000","2013","2011","25","27",""
"","Ryan Fitzpatrick","2012","QB","BUF","2005","$2,800,000","$2,000,000","$6,000,000","0.050","$8,000,000","$9,833,333","6","$59,000,000","$28,505,250","2018","2011","28","30",""
"","David Stewart","2012","RT","TEN","2005","$5,000,000","$1,000,000","$6,000,000","0.050","$0","$5,269,000","7","$36,883,000","$0","2015","2008","25","30",""
"","Johnathan Joseph","2012","CB","HOU","2006","$2,250,000","$2,500,000","$6,000,000","0.050","$7,250,000","$9,750,000","5","$48,750,000","$34,450,000","2016","2011","26","28",""
"","Cortland Finnegan","2012","CB","STL","2006","$5,000,000","$1,000,000","$6,000,000","0.050","$10,000,000","$10,000,000","5","$50,000,000","$26,520,875","2017","2012","27","28",""
"","Frank Gore","2012","RB","SF","2005","$2,000,000","$0","$6,000,000","0.050","$6,000,000","$6,404,183","3","$19,212,550","$34,194,625","2015","2011","27","29",""
"","Kyle Williams","2012","DT","BUF","2006","$3,000,000","$950,000","$5,950,000","0.049","$5,000,000","$7,287,500","4","$29,150,000","$21,023,000","2017","2011","27","29",""
"","Tony Gonzalez","2012","TE","ATL","1997","$3,900,000","$1,000,000","$5,915,625","0.049","$4,915,625","$6,325,000","2","$12,650,000","$65,677,935","2013","2011","34","36",""
"","Stanford Routt","2012","CB","KC","2005","$1,800,000","$0","$5,887,500","0.049","$5,887,500","$6,000,000","3","$18,000,000","$28,713,688","2015","2012","28","29",""
"","Trent Cole","2012","OLB","PHI","2005","$3,000,000","$1,600,000","$5,850,000","0.049","$12,250,000","$12,131,250","4","$48,525,000","$31,100,000","2018","2012","29","30",""
"","Ryan Clady","2012","LT","DEN","2008","$3,500,000","$0","$5,829,375","0.048","$3,500,000","$3,500,000","5","$17,500,000","$18,570,500","2013","2008","21","26",""
"","Jason Babin","2012","DE","JAC","2004","$5,575,000","$0","$5,750,000","0.048","$175,000","$5,780,000","5","$28,900,000","$15,295,015","2016","2011","30","32",""
"","Robert Mathis","2012","OLB","IND","2003","$2,000,000","$3,750,000","$5,750,000","0.048","$17,000,000","$9,000,000","4","$36,000,000","$47,876,750","2017","2012","30","31",""
"","Quincy Black","2012","LB","TB","2007","$5,500,000","$0","$5,750,000","0.048","$5,750,000","$5,800,000","5","$29,000,000","$14,689,068","2016","2011","26","28",""
"","Ryan Pickett","2012","DT","GB","2001","$4,500,000","$500,000","$5,737,500","0.048","$5,237,500","$6,187,500","4","$24,750,000","$38,582,500","2014","2010","30","33",""
"","Shaun Phillips","2012","DE","SD","2004","$4,400,000","$1,166,667","$5,666,667","0.047","$4,500,000","$5,266,667","6","$31,600,000","$32,868,000","2013","2007","25","31",""
"","Jay Ratliff","2012","DT","DAL","2005","$1,500,000","$3,600,000","$5,600,000","0.046","$2,000,000","$6,946,429","7","$48,625,000","$52,243,000","2018","2011","29","31",""
"","Daryl Smith","2012","ILB","JAC","2004","$4,700,000","$750,000","$5,500,000","0.046","$4,750,000","$4,723,333","6","$28,340,000","$29,372,000","2013","2007","24","30",""
"","Marshawn Lynch","2012","RB","SEA","2007","$4,000,000","$1,500,000","$5,500,000","0.046","$10,000,000","$7,500,000","4","$30,000,000","$24,203,823","2016","2012","25","26",""
"","Nate Clements","2012","CB","CIN","2001","$4,300,000","$1,000,000","$5,500,000","0.046","$0","$5,250,000","2","$10,500,000","$0","2013","2011","31","33",""
"","Sheldon Brown","2012","CB","CLE","2002","$3,700,000","$1,666,667","$5,466,667","0.045","$0","$5,083,333","3","$15,250,000","$0","2013","2010","30","33",""
"","B.J. Raji","2012","DT","GB","2009","$3,350,000","$480,000","$5,455,000","0.045","$3,575,000","$5,386,000","5","$26,930,000","$16,512,500","2014","2009","22","26",""
"","Michael Huff","2012","S","OAK","2006","$700,000","$3,288,750","$5,448,750","0.045","$8,000,000","$8,000,000","4","$32,000,000","$32,380,000","2015","2011","27","29",""
"","Fred Davis","2012","TE","WAS","2008","$5,446,000","$0","$5,446,000","0.045","$5,446,000","$5,446,000","1","$5,446,000","$9,008,000","2013","2012","25","26",""
"","Dominic Raiola","2012","C","DET","2001","$3,400,000","$700,000","$5,412,500","0.045","$3,400,000","$5,000,000","4","$20,000,000","$32,947,333","2014","2010","31","34",""
"","Michael Boley","2012","LB","NYG","2005","$4,000,000","$1,400,000","$5,400,000","0.045","$4,000,000","$5,000,000","5","$25,000,000","$31,384,000","2014","2009","26","30",""
