,Player,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
4014,Rodger Saffold,2013,G,Offense,LAR/STL,"$655,000","$580,000","$1,460,000",0.012,NFC,NFC West,7,9,0,0.4375,4,348,364,-16,0.446429,0.550781,No,No
4015,Steve McLendon,2013,DT,Defense,PIT,"$900,000","$558,333","$1,458,333",0.012,AFC,AFC North,8,8,0,0.5,2,379,370,9,0.441406,0.46875,No,No
4016,Perry Riley,2013,ILB,Defense,WAS,"$1,323,000","$132,500","$1,455,500",0.013,NFC,NFC East,3,13,0,0.1875,4,334,478,-144,0.4375,0.515625,No,No
4017,Alterraun Verner,2013,CB,Defense,TEN,"$1,323,000","$131,785","$1,454,785",0.011,AFC,AFC South,7,9,0,0.4375,2,362,381,-19,0.375,0.503906,No,No
4018,Jacoby Ford,2013,WR,Offense,LV/OAK,"$1,323,000","$128,871","$1,451,871",0.011,AFC,AFC West,4,12,0,0.25,4,322,453,-131,0.359375,0.523438,No,No
4019,Terrell Thomas,2013,CB,Defense,NYG,"$630,000","$785,000","$1,450,000",0.012,NFC,NFC East,7,9,0,0.4375,3,294,383,-89,0.366071,0.519531,No,No
4020,Corey Wootton,2013,DT,Defense,CHI,"$1,323,000","$126,793","$1,449,793",0.011,NFC,NFC North,8,8,0,0.5,2,445,478,-33,0.46875,0.464844,No,No
4021,Bjoern Werner,2013,OLB,Defense,IND,"$405,000","$1,030,708","$1,435,708",0.011,AFC,AFC South,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,Yes,No
4022,Aaron Williams,2013,SS,Defense,BUF,"$853,105","$581,029","$1,434,134",0.011,AFC,AFC East,6,10,0,0.375,4,339,388,-49,0.5,0.519531,No,No
4023,Andy Dalton,2013,QB,Offense,CIN,"$749,018","$573,036","$1,422,054",0.011,AFC,AFC North,11,5,0,0.6875,1,430,305,125,0.494318,0.480469,Yes,No
4024,Xavier Rhodes,2013,CB,Defense,MIN,"$405,000","$1,014,364","$1,419,364",0.011,NFC,NFC North,5,10,1,0.34375,4,391,480,-89,0.45,0.511719,No,No
4025,Eric Weems,2013,WR,Offense,CHI,"$865,000","$500,000","$1,415,000",0.011,NFC,NFC North,8,8,0,0.5,2,445,478,-33,0.46875,0.464844,No,No
4026,Kaluka Maiava,2013,ILB,Defense,LV/OAK,"$630,000","$678,333","$1,408,333",0.011,AFC,AFC West,4,12,0,0.25,4,322,453,-131,0.359375,0.523438,No,No
4027,Tracy Porter,2013,CB,Defense,LV/OAK,"$715,000","$135,000","$1,406,250",0.011,AFC,AFC West,4,12,0,0.25,4,322,453,-131,0.359375,0.523438,No,No
4028,Jon Ryan,2013,P,Special Teams,SEA,"$1,300,000","$105,000","$1,405,000",0.01,NFC,NFC West,13,3,0,0.8125,1,417,231,186,0.444712,0.490234,Yes,Yes
4029,Datone Jones,2013,DE,Defense,GB,"$405,000","$998,016","$1,403,016",0.011,NFC,NFC North,8,7,1,0.53125,1,417,428,-11,0.371094,0.453125,Yes,No
4030,Dexter McCluster,2013,RB,Offense,KC,"$630,000","$560,000","$1,400,000",0.01,AFC,AFC West,11,5,0,0.6875,2,430,305,125,0.335227,0.445312,Yes,No
4031,Jonathan Casillas,2013,OLB,Defense,TB,"$1,100,000",$0,"$1,400,000",0.01,NFC,NFC South,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,No,No
4032,Shaun Phillips,2013,DE,Defense,DEN,"$1,000,000",$0,"$1,400,000",0.01,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4033,Colin Kaepernick,2013,QB,Offense,SF,"$740,844","$556,691","$1,397,535",0.011,NFC,NFC West,12,4,0,0.75,2,406,272,134,0.414062,0.494141,Yes,No
4034,Jabaal Sheard,2013,OLB,Defense,CLE,"$762,750","$550,500","$1,388,250",0.01,AFC,AFC North,4,12,0,0.25,4,308,406,-98,0.476562,0.515625,No,No
4035,DeAndre Hopkins,2013,WR,Offense,HOU,"$405,000","$981,673","$1,386,673",0.011,AFC,AFC South,2,14,0,0.125,4,276,428,-152,0.5,0.558594,No,No
4036,Sylvester Williams,2013,DT,Defense,DEN,"$405,000","$973,500","$1,378,500",0.01,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4037,Chris Williams,2013,G,Offense,LAR/STL,"$925,000","$451,154","$1,376,154",0.011,NFC,NFC West,7,9,0,0.4375,4,348,364,-16,0.446429,0.550781,No,No
4038,Kendrick Lewis,2013,FS,Defense,KC,"$1,323,000","$51,725","$1,374,725",0.01,AFC,AFC West,11,5,0,0.6875,2,430,305,125,0.335227,0.445312,Yes,No
4039,Cam Thomas,2013,DT,Defense,LAC/SD,"$1,323,000","$47,825","$1,370,825",0.011,AFC,AFC West,9,7,0,0.5625,3,396,348,48,0.548611,0.496094,Yes,No
4040,Andrew Quarless,2013,TE,Offense,GB,"$1,323,000","$45,606","$1,368,606",0.01,NFC,NFC North,8,7,1,0.53125,1,417,428,-11,0.371094,0.453125,Yes,No
4041,Ryan Williams,2013,RB,Offense,ARI,"$780,221","$535,442","$1,365,663",0.011,NFC,NFC West,10,6,0,0.625,3,379,324,55,0.44375,0.53125,No,No
4042,Marshall Newhouse,2013,RT,Offense,GB,"$1,323,000","$37,462","$1,360,462",0.01,NFC,NFC North,8,7,1,0.53125,1,417,428,-11,0.371094,0.453125,Yes,No
4043,Jermey Parnell,2013,RT,Offense,DAL,"$1,023,088","$333,333","$1,356,421",0.011,NFC,NFC East,8,8,0,0.5,2,439,432,7,0.363281,0.484375,No,No
4044,Brett Kern,2013,P,Special Teams,TEN,"$821,500","$531,875","$1,353,375",0.01,AFC,AFC South,7,9,0,0.4375,2,362,381,-19,0.375,0.503906,No,No
4045,Arthur Moats,2013,OLB,Defense,BUF,"$1,323,000","$28,000","$1,351,000",0.01,AFC,AFC East,6,10,0,0.375,4,339,388,-49,0.5,0.519531,No,No
4046,Dan Skuta,2013,OLB,Defense,SF,"$1,000,000","$150,000","$1,350,000",0.011,NFC,NFC West,12,4,0,0.75,2,406,272,134,0.414062,0.494141,Yes,No
4047,Brice McCain,2013,CB,Defense,HOU,"$900,000","$450,000","$1,350,000",0.011,AFC,AFC South,2,14,0,0.125,4,276,428,-152,0.5,0.558594,No,No
4048,Akeem Ayers,2013,OLB,Defense,TEN,"$822,864","$520,731","$1,343,595",0.01,AFC,AFC South,7,9,0,0.4375,2,362,381,-19,0.375,0.503906,No,No
4049,Clark Harris,2013,LS,Special Teams,CIN,"$715,000",$0,"$1,340,000",0.01,AFC,AFC North,11,5,0,0.6875,1,430,305,125,0.494318,0.480469,Yes,No
4050,Shane Lechler,2013,P,Special Teams,HOU,"$1,000,000","$333,333","$1,333,333",0.011,AFC,AFC South,2,14,0,0.125,4,276,428,-152,0.5,0.558594,No,No
4051,Greg Hardy,2013,DE,Defense,CAR,"$1,300,000","$28,946","$1,328,946",0.01,NFC,NFC South,12,4,0,0.75,1,366,241,125,0.450521,0.494141,Yes,No
4052,D.J. Williams,2013,ILB,Defense,CHI,"$900,000",$0,"$1,328,125",0.01,NFC,NFC North,8,8,0,0.5,2,445,478,-33,0.46875,0.464844,No,No
4053,Bruce Carter,2013,ILB,Defense,DAL,"$766,327","$507,654","$1,323,981",0.011,NFC,NFC East,8,8,0,0.5,2,439,432,7,0.363281,0.484375,No,No
4054,Chris Baker,2013,DT,Defense,WAS,"$1,323,000",$0,"$1,323,000",0.012,NFC,NFC East,3,13,0,0.1875,4,334,478,-144,0.4375,0.515625,No,No
4055,J.D. Walton,2013,C,Offense,WAS,"$1,323,000",$0,"$1,323,000",0.012,NFC,NFC East,3,13,0,0.1875,4,334,478,-144,0.4375,0.515625,No,No
4056,Jeff Linkenbach,2013,RT,Offense,IND,"$1,323,000",$0,"$1,323,000",0.011,AFC,AFC South,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,Yes,No
4057,Cassius Vaughn,2013,CB,Defense,IND,"$1,323,000",$0,"$1,323,000",0.011,AFC,AFC South,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,Yes,No
4058,Ted Larsen,2013,G,Offense,TB,"$1,323,000",$0,"$1,323,000",0.01,NFC,NFC South,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,No,No
4059,Daniel Te'o-Nesheim,2013,DE,Defense,TB,"$1,323,000",$0,"$1,323,000",0.01,NFC,NFC South,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,No,No
4060,Jason Fox,2013,RT,Offense,DET,"$1,323,000",$0,"$1,323,000",0.011,NFC,NFC North,7,9,0,0.4375,3,395,376,19,0.401786,0.457031,No,No
4061,Evan Smith,2013,C,Offense,GB,"$1,323,000",$0,"$1,323,000",0.01,NFC,NFC North,8,7,1,0.53125,1,417,428,-11,0.371094,0.453125,Yes,No
4062,Barry Church,2013,SS,Defense,DAL,"$823,000","$500,000","$1,323,000",0.011,NFC,NFC East,8,8,0,0.5,2,439,432,7,0.363281,0.484375,No,No
4063,Ed Dickson,2013,TE,Offense,BAL,"$1,323,000",$0,"$1,323,000",0.011,AFC,AFC North,8,8,0,0.5,3,320,352,-32,0.417969,0.484375,No,No
4064,Jeff Cumberland,2013,TE,Offense,NYJ,"$1,323,000",$0,"$1,323,000",0.01,AFC,AFC East,8,8,0,0.5,2,290,387,-97,0.414062,0.488281,No,No
4065,Trent Richardson,2013,RB,Offense,IND,"$1,321,354",$0,"$1,321,354",0.011,AFC,AFC South,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,Yes,No
4066,John Phillips,2013,TE,Offense,LAC/SD,"$650,000","$666,666","$1,316,666",0.011,AFC,AFC West,9,7,0,0.5625,3,396,348,48,0.548611,0.496094,Yes,No
4067,Cordarrelle Patterson,2013,WR,Offense,MIN,"$405,000","$907,918","$1,312,918",0.01,NFC,NFC North,5,10,1,0.34375,4,391,480,-89,0.45,0.511719,No,No
4068,Chris Cook,2013,CB,Defense,MIN,"$630,000","$575,000","$1,305,000",0.01,NFC,NFC North,5,10,1,0.34375,4,391,480,-89,0.45,0.511719,No,No
4069,Jasper Brinkley,2013,ILB,Defense,ARI,"$1,050,000","$200,000","$1,300,000",0.01,NFC,NFC West,10,6,0,0.625,3,379,324,55,0.44375,0.53125,No,No
4070,Quentin Groves,2013,OLB,Defense,CLE,"$715,000",$0,"$1,300,000",0.009,AFC,AFC North,4,12,0,0.25,4,308,406,-98,0.476562,0.515625,No,No
4071,Connor Barwin,2013,OLB,Defense,PHI,"$700,000","$600,000","$1,300,000",0.009,NFC,NFC East,10,6,0,0.625,1,442,382,60,0.390625,0.453125,Yes,No
4072,Nate Allen,2013,FS,Defense,PHI,"$697,000","$600,000","$1,297,000",0.009,NFC,NFC East,10,6,0,0.625,1,442,382,60,0.390625,0.453125,Yes,No
4073,Bruce Gradkowski,2013,QB,Offense,PIT,"$1,000,000","$283,333","$1,283,333",0.01,AFC,AFC North,8,8,0,0.5,2,379,370,9,0.441406,0.46875,No,No
4074,Brooks Reed,2013,DE,Defense,HOU,"$802,000","$297,867","$1,281,867",0.01,AFC,AFC South,2,14,0,0.125,4,276,428,-152,0.5,0.558594,No,No
4075,Parys Haralson,2013,DE,Defense,NO,"$1,150,000",$0,"$1,281,250",0.01,NFC,NFC South,11,5,0,0.6875,2,414,304,110,0.454545,0.515625,Yes,No
4076,Alec Ogletree,2013,ILB,Defense,LAR/STL,"$405,000","$873,188","$1,278,188",0.01,NFC,NFC West,7,9,0,0.4375,4,348,364,-16,0.446429,0.550781,No,No
4077,Nate Garner,2013,RT,Offense,MIA,"$1,075,000","$166,666","$1,266,666",0.01,AFC,AFC East,8,8,0,0.5,3,317,335,-18,0.523438,0.523438,No,No
4078,Kyle Rudolph,2013,TE,Offense,MIN,"$745,896","$466,791","$1,262,687",0.01,NFC,NFC North,5,10,1,0.34375,4,391,480,-89,0.45,0.511719,No,No
4079,Garry Williams,2013,G,Offense,CAR,"$1,025,000","$133,333","$1,258,333",0.01,NFC,NFC South,12,4,0,0.75,1,366,241,125,0.450521,0.494141,Yes,No
4080,Adam Hayward,2013,OLB,Defense,TB,"$1,257,000",$0,"$1,257,000",0.009,NFC,NFC South,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,No,No
4081,DeAngelo Hall,2013,CB,Defense,WAS,"$1,000,000","$250,000","$1,250,000",0.011,NFC,NFC East,3,13,0,0.1875,4,334,478,-144,0.4375,0.515625,No,No
4082,Fili Moala,2013,DE,Defense,IND,"$850,000",$0,"$1,250,000",0.01,AFC,AFC South,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,Yes,No
4083,Erin Henderson,2013,ILB,Defense,MIN,"$950,000","$250,000","$1,250,000",0.01,NFC,NFC North,5,10,1,0.34375,4,391,480,-89,0.45,0.511719,No,No
4084,Derek Landri,2013,DT,Defense,TB,"$1,250,000",$0,"$1,250,000",0.009,NFC,NFC South,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,No,No
4085,Ryan Cook,2013,C,Offense,DAL,"$1,100,000","$150,000","$1,250,000",0.01,NFC,NFC East,8,8,0,0.5,2,439,432,7,0.363281,0.484375,No,No
4086,Danny Woodhead,2013,RB,Offense,LAC/SD,"$750,000","$500,000","$1,250,000",0.01,AFC,AFC West,9,7,0,0.5625,3,396,348,48,0.548611,0.496094,Yes,No
4087,Chad Rinehart,2013,G,Offense,LAC/SD,"$850,000","$400,000","$1,250,000",0.01,AFC,AFC West,9,7,0,0.5625,3,396,348,48,0.548611,0.496094,Yes,No
4088,James Anderson,2013,OLB,Defense,CHI,"$950,000","$200,000","$1,250,000",0.01,NFC,NFC North,8,8,0,0.5,2,445,478,-33,0.46875,0.464844,No,No
4089,Moise Fokou,2013,ILB,Defense,TEN,"$1,100,000","$150,000","$1,250,000",0.009,AFC,AFC South,7,9,0,0.4375,2,362,381,-19,0.375,0.503906,No,No
4090,Travis Frederick,2013,C,Offense,DAL,"$405,000","$844,096","$1,249,096",0.01,NFC,NFC East,8,8,0,0.5,2,439,432,7,0.363281,0.484375,No,No
4091,Manuel Ramirez,2013,G,Offense,DEN,"$815,000","$166,666","$1,231,666",0.009,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4092,Matt Elam,2013,SS,Defense,BAL,"$405,000","$825,364","$1,230,364",0.01,AFC,AFC North,8,8,0,0.5,3,320,352,-32,0.417969,0.484375,No,No
4093,Brian Quick,2013,WR,Offense,LAR/STL,"$634,845","$589,382","$1,224,227",0.01,NFC,NFC West,7,9,0,0.4375,4,348,364,-16,0.446429,0.550781,No,No
4094,Patrick Angerer,2013,ILB,Defense,IND,"$630,000","$252,500","$1,222,500",0.01,AFC,AFC South,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,Yes,No
4095,Louis Delmas,2013,FS,Defense,DET,"$715,000","$500,000","$1,215,000",0.01,NFC,NFC North,7,9,0,0.4375,3,395,376,19,0.401786,0.457031,No,No
4096,Coby Fleener,2013,TE,Offense,IND,"$632,802","$581,209","$1,214,011",0.01,AFC,AFC South,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,Yes,No
4097,Rahim Moore,2013,FS,Defense,DEN,"$779,375","$433,750","$1,213,125",0.009,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4098,Jason Snelling,2013,RB,Offense,ATL,"$850,000","$358,333","$1,208,333",0.01,NFC,NFC South,4,12,0,0.25,3,353,443,-90,0.3125,0.552734,No,No
4099,Courtney Upshaw,2013,DT,Defense,BAL,"$630,759","$573,036","$1,203,795",0.01,AFC,AFC North,8,8,0,0.5,3,320,352,-32,0.417969,0.484375,No,No
4100,David Bruton,2013,SS,Defense,DEN,"$800,000","$400,000","$1,200,000",0.009,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4101,Stewart Bradley,2013,ILB,Defense,DEN,"$900,000","$200,000","$1,200,000",0.009,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4102,T.J. Ward,2013,SS,Defense,CLE,"$630,000","$518,750","$1,198,750",0.009,AFC,AFC North,4,12,0,0.25,4,308,406,-98,0.476562,0.515625,No,No
4103,Orlando Franklin,2013,G,Offense,DEN,"$771,000","$417,000","$1,188,000",0.008,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4104,Derek Wolfe,2013,DE,Defense,DEN,"$480,000","$556,691","$1,183,363",0.008,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4105,Mitchell Schwartz,2013,RT,Offense,CLE,"$625,038","$550,153","$1,175,191",0.009,AFC,AFC North,4,12,0,0.25,4,308,406,-98,0.476562,0.515625,No,No
4106,Dawan Landry,2013,S,Defense,NYJ,"$850,000","$325,000","$1,175,000",0.009,AFC,AFC East,8,8,0,0.5,2,290,387,-97,0.414062,0.488281,No,No
4107,William Gay,2013,CB,Defense,PIT,"$1,000,000","$166,667","$1,166,667",0.009,AFC,AFC North,8,8,0,0.5,2,379,370,9,0.441406,0.46875,No,No
4108,Lorenzo Alexander,2013,OLB,Defense,ARI,"$715,000","$450,000","$1,165,000",0.009,NFC,NFC West,10,6,0,0.625,3,379,324,55,0.44375,0.53125,No,No
4109,Domenik Hixon,2013,WR,Offense,CAR,"$725,000","$250,000","$1,162,500",0.009,NFC,NFC South,12,4,0,0.75,1,366,241,125,0.450521,0.494141,Yes,No
4110,Willie Colon,2013,G,Offense,NYJ,"$1,000,000",$0,"$1,162,500",0.009,AFC,AFC East,8,8,0,0.5,2,290,387,-97,0.414062,0.488281,No,No
4111,Andre Branch,2013,DE,Defense,JAX,"$621,361","$535,442","$1,156,803",0.008,AFC,AFC South,4,12,0,0.25,3,247,449,-202,0.234375,0.503906,No,No
4112,Lance Kendricks,2013,TE,Offense,LAR/STL,"$759,118","$393,437","$1,152,555",0.009,NFC,NFC West,7,9,0,0.4375,4,348,364,-16,0.446429,0.550781,No,No
4113,Adam Snyder,2013,G,Offense,SF,"$893,000","$250,000","$1,143,000",0.009,NFC,NFC West,12,4,0,0.75,2,406,272,134,0.414062,0.494141,Yes,No
4114,Janoris Jenkins,2013,CB,Defense,LAR/STL,"$480,000","$517,331","$1,134,163",0.009,NFC,NFC West,7,9,0,0.4375,4,348,364,-16,0.446429,0.550781,No,No
4115,Rashad Johnson,2013,FS,Defense,ARI,"$800,000","$333,333","$1,133,333",0.009,NFC,NFC West,10,6,0,0.625,3,379,324,55,0.44375,0.53125,No,No
4116,Stefen Wisniewski,2013,C,Offense,LV/OAK,"$750,946","$376,891","$1,127,837",0.009,AFC,AFC West,4,12,0,0.25,4,322,453,-131,0.359375,0.523438,No,No
4117,Jon Condo,2013,LS,Special Teams,LV/OAK,"$840,000","$285,833","$1,125,833",0.009,AFC,AFC West,4,12,0,0.25,4,322,453,-131,0.359375,0.523438,No,No
4118,Brandon Myers,2013,TE,Offense,NYG,"$725,000","$375,000","$1,125,000",0.009,NFC,NFC East,7,9,0,0.4375,3,294,383,-89,0.366071,0.519531,No,No
4119,Victor Butler,2013,OLB,Defense,NO,"$750,000","$375,000","$1,125,000",0.009,NFC,NFC South,11,5,0,0.6875,2,414,304,110,0.454545,0.515625,Yes,No
4120,Nick Novak,2013,K,Special Teams,LAC/SD,"$750,000","$375,000","$1,125,000",0.009,AFC,AFC West,9,7,0,0.5625,3,396,348,48,0.548611,0.496094,Yes,No
4121,Daryl Smith,2013,ILB,Defense,BAL,"$840,000","$285,000","$1,125,000",0.009,AFC,AFC North,8,8,0,0.5,3,320,352,-32,0.417969,0.484375,No,No
4122,Amini Silatolu,2013,G,Offense,CAR,"$564,414","$507,655","$1,122,069",0.009,NFC,NFC South,12,4,0,0.75,1,366,241,125,0.450521,0.494141,Yes,No
4123,Cedric Peerman,2013,RB,Offense,CIN,"$715,000",$0,"$1,115,000",0.008,AFC,AFC North,11,5,0,0.6875,1,430,305,125,0.494318,0.480469,Yes,No
4124,Kurt Coleman,2013,FS,Defense,PHI,"$1,100,000","$10,842","$1,110,842",0.008,NFC,NFC East,10,6,0,0.625,1,442,382,60,0.390625,0.453125,Yes,No
4125,Cordy Glenn,2013,LT,Offense,BUF,"$561,145","$494,578","$1,105,723",0.008,AFC,AFC East,6,10,0,0.375,4,339,388,-49,0.5,0.519531,No,No
4126,Tim Masthay,2013,P,Special Teams,GB,"$765,000","$240,000","$1,105,000",0.008,NFC,NFC North,8,7,1,0.53125,1,417,428,-11,0.371094,0.453125,Yes,No
4127,Ted Ginn Jr.,2013,WR,Offense,CAR,"$750,000","$300,000","$1,100,000",0.009,NFC,NFC South,12,4,0,0.75,1,366,241,125,0.450521,0.494141,Yes,No
4128,Captain Munnerlyn,2013,CB,Defense,CAR,"$750,000","$300,000","$1,100,000",0.009,NFC,NFC South,12,4,0,0.75,1,366,241,125,0.450521,0.494141,Yes,No
4129,Travelle Wharton,2013,G,Offense,CAR,"$850,000","$250,000","$1,100,000",0.009,NFC,NFC South,12,4,0,0.75,1,366,241,125,0.450521,0.494141,Yes,No
4130,David Garrard,2013,QB,Offense,NYJ,"$1,000,000","$100,000","$1,100,000",0.009,AFC,AFC East,8,8,0,0.5,2,290,387,-97,0.414062,0.488281,No,No
4131,John Denney,2013,LS,Special Teams,MIA,"$840,000","$243,750","$1,093,750",0.009,AFC,AFC East,8,8,0,0.5,3,317,335,-18,0.523438,0.523438,No,No
4132,Mike Leach,2013,LS,Special Teams,ARI,"$1,000,000","$66,666","$1,091,666",0.009,NFC,NFC West,10,6,0,0.625,3,379,324,55,0.44375,0.53125,No,No
4133,Jonathan Martin,2013,RT,Offense,MIA,"$607,466","$479,867","$1,087,333",0.008,AFC,AFC East,8,8,0,0.5,3,317,335,-18,0.523438,0.523438,No,No
4134,Marcus Gilchrist,2013,SS,Defense,LAC/SD,"$734,600","$344,200","$1,078,800",0.009,AFC,AFC West,9,7,0,0.5625,3,396,348,48,0.548611,0.496094,Yes,No
4135,Lamarr Houston,2013,OLB,Defense,LV/OAK,"$630,000","$418,750","$1,078,750",0.008,AFC,AFC West,4,12,0,0.25,4,322,453,-131,0.359375,0.523438,No,No
4136,Joe Mays,2013,ILB,Defense,HOU,"$715,000","$285,000","$1,075,000",0.009,AFC,AFC South,2,14,0,0.125,4,276,428,-152,0.5,0.558594,No,No
4137,Stephen Hill,2013,WR,Offense,NYJ,"$554,197","$466,791","$1,070,988",0.008,AFC,AFC East,8,8,0,0.5,2,290,387,-97,0.414062,0.488281,No,No
4138,Garrett Reynolds,2013,G,Offense,ATL,"$715,000","$250,000","$1,065,000",0.009,NFC,NFC South,4,12,0,0.25,3,353,443,-90,0.3125,0.552734,No,No
4139,Garrison Sanborn,2013,LS,Special Teams,BUF,"$885,000","$176,667","$1,061,667",0.008,AFC,AFC East,6,10,0,0.375,4,339,388,-49,0.5,0.519531,No,No
4140,Jonathan Baldwin,2013,WR,Offense,SF,"$1,061,510",$0,"$1,061,510",0.008,NFC,NFC West,12,4,0,0.75,2,406,272,134,0.414062,0.494141,Yes,No
4141,Zane Beadles,2013,G,Offense,DEN,"$630,000","$430,000","$1,060,000",0.008,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4142,Rob Jackson,2013,OLB,Defense,WAS,"$715,000","$196,154","$1,056,919",0.01,NFC,NFC East,3,13,0,0.1875,4,334,478,-144,0.4375,0.515625,No,No
4143,Jeff Allen,2013,G,Offense,KC,"$591,083","$454,331","$1,055,414",0.008,AFC,AFC West,11,5,0,0.6875,2,430,305,125,0.335227,0.445312,Yes,No
4144,Christian Yount,2013,LS,Special Teams,CLE,"$555,000",$0,"$1,055,000",0.008,AFC,AFC North,4,12,0,0.25,4,308,406,-98,0.476562,0.515625,No,No
4145,Da'Quan Bowers,2013,DT,Defense,TB,"$725,512","$326,025","$1,051,537",0.008,NFC,NFC South,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,No,No
4146,Justin Forsett,2013,RB,Offense,JAX,"$900,000","$100,000","$1,050,000",0.007,AFC,AFC South,4,12,0,0.25,3,247,449,-202,0.234375,0.503906,No,No
4147,Cullen Loeffler,2013,LS,Special Teams,MIN,"$915,000","$125,000","$1,050,000",0.008,NFC,NFC North,5,10,1,0.34375,4,391,480,-89,0.45,0.511719,No,No
4148,Antwan Barnes,2013,OLB,Defense,NYJ,"$750,000","$300,000","$1,050,000",0.008,AFC,AFC East,8,8,0,0.5,2,290,387,-97,0.414062,0.488281,No,No
4149,Zak DeOssie,2013,LS,Special Teams,NYG,"$824,000","$200,000","$1,049,000",0.008,NFC,NFC East,7,9,0,0.4375,3,294,383,-89,0.366071,0.519531,No,No
4150,Jon Dorenbos,2013,LS,Special Teams,PHI,"$940,000","$100,000","$1,040,000",0.007,NFC,NFC East,10,6,0,0.625,1,442,382,60,0.390625,0.453125,Yes,No
4151,Alshon Jeffery,2013,WR,Offense,CHI,"$596,719","$436,879","$1,033,598",0.008,NFC,NFC North,8,8,0,0.5,2,445,478,-33,0.46875,0.464844,No,No
4152,C.J. Mosley,2013,DT,Defense,DET,"$850,000","$175,000","$1,025,000",0.008,NFC,NFC North,7,9,0,0.4375,3,395,376,19,0.401786,0.457031,No,No
4153,Gabe Carimi,2013,G,Offense,TB,"$1,016,458",$0,"$1,016,458",0.008,NFC,NFC South,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,No,No
4154,Ryan Wendell,2013,C,Offense,NE,"$815,000","$150,000","$1,015,000",0.008,AFC,AFC East,12,4,0,0.75,1,444,338,106,0.427083,0.472656,Yes,No
4155,Dan Koppen,2013,C,Offense,DEN,"$840,000","$75,000","$1,015,000",0.007,AFC,AFC West,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,Yes,No
4156,Toby Gerhart,2013,RB,Offense,MIN,"$630,000","$371,000","$1,013,500",0.008,NFC,NFC North,5,10,1,0.34375,4,391,480,-89,0.45,0.511719,No,No
4157,Linval Joseph,2013,DT,Defense,NYG,"$630,000","$382,000","$1,012,000",0.008,NFC,NFC East,7,9,0,0.4375,3,294,383,-89,0.366071,0.519531,No,No
4158,Mychal Kendricks,2013,OLB,Defense,PHI,"$542,020","$418,081","$1,010,101",0.007,NFC,NFC East,10,6,0,0.625,1,442,382,60,0.390625,0.453125,Yes,No
4159,Jarvis Jenkins,2013,DE,Defense,WAS,"$542,780","$465,483","$1,008,263",0.009,NFC,NFC East,3,13,0,0.1875,4,334,478,-144,0.4375,0.515625,No,No
4160,Stephen Paea,2013,DT,Defense,CHI,"$660,082","$295,164","$1,005,246",0.008,NFC,NFC North,8,8,0,0.5,2,445,478,-33,0.46875,0.464844,No,No
4161,Aubrayo Franklin,2013,DT,Defense,IND,"$940,000","$65,000","$1,005,000",0.008,AFC,AFC South,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,Yes,No
4162,Darian Stewart,2013,FS,Defense,LAR/STL,"$700,000","$300,000","$1,000,000",0.008,NFC,NFC West,7,9,0,0.4375,4,348,364,-16,0.446429,0.550781,No,No
4163,Will Svitek,2013,LT,Offense,NE,"$715,000",$0,"$1,000,000",0.008,AFC,AFC East,12,4,0,0.75,1,444,338,106,0.427083,0.472656,Yes,No
4164,Greg Jones,2013,FB,Offense,HOU,"$840,000","$160,000","$1,000,000",0.008,AFC,AFC South,2,14,0,0.125,4,276,428,-152,0.5,0.558594,No,No
4165,Erik Lorig,2013,FB,Offense,TB,"$1,000,000",$0,"$1,000,000",0.007,NFC,NFC South,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,No,No
