,Player,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
33,Charles Johnson,2011,DE,Defense,CAR,"$4,000,000","$6,000,000","$10,000,000",0.081,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
34,Jordan Gross,2011,LT,Offense,CAR,"$6,000,000","$1,000,000","$10,000,000",0.081,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
35,Terence Newman,2011,CB,Defense,DAL,"$8,000,000","$2,000,000","$10,000,000",0.073,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
36,Nnamdi Asomugha,2011,CB,Defense,PHI,"$1,000,000",$0,"$10,000,000",0.076,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
37,Steve Smith,2011,WR,Offense,CAR,"$7,000,000","$1,550,000","$9,993,750",0.081,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
38,D'Brickashaw Ferguson,2011,LT,Offense,NYJ,"$5,615,000","$266,666","$9,859,166",0.077,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
39,Jay Cutler,2011,QB,Offense,CHI,"$7,600,000","$1,400,000","$9,500,000",0.074,NFC,NFC North,8,8,0,0.5,3,353,341,12,0.40625,0.527344,No,No
40,Davin Joseph,2011,G,Offense,TB,"$9,500,000",$0,"$9,500,000",0.066,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
41,Chris Long,2011,DE,Defense,LAR/STL,"$1,235,000",$0,"$9,482,500",0.077,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
42,Steven Jackson,2011,RB,Offense,LAR/STL,"$7,200,000","$2,279,000","$9,479,000",0.077,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
