,Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
11504,Cordy Glenn,28,2017,LT,Offense,BUF,9000000,3200000,14200000,0.085,AFC,AFC East,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,Yes,No
11505,Tom Brady,40,2017,QB,Offense,NE,1000000,13000000,14000000,0.084,AFC,AFC East,13,3,0,0.8125,1,458,296,162,0.466346,0.484375,Yes,No
11506,Mike Glennon,28,2017,QB,Offense,CHI,8000000,1000000,14000000,0.08,NFC,NFC North,5,11,0,0.3125,4,264,320,-56,0.5,0.558594,No,No
11507,Julio Jones,28,2017,WR,Offense,ATL,11500000,2400000,13900000,0.083,NFC,NFC South,10,6,0,0.625,3,353,315,38,0.475,0.542969,Yes,No
11508,Gerald McCoy,29,2017,DT,Defense,TB,13250000,500000,13750000,0.08,NFC,NFC South,5,11,0,0.3125,4,335,382,-47,0.375,0.554688,No,No
11509,Joe Thomas,33,2017,LT,Offense,CLE,8800000,0,13750000,0.064,AFC,AFC North,0,16,0,0.0,4,234,410,-176,0.0,0.519531,No,No
11510,Patrick Peterson,27,2017,CB,Defense,ARI,9750000,3072377,13706965,0.08,NFC,NFC West,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,No,No
11511,Richard Sherman,29,2017,CB,Defense,SEA,11431000,2200000,13631000,0.081,NFC,NFC West,9,7,0,0.5625,2,366,332,34,0.444444,0.492188,No,No
11512,Antonio Brown,29,2017,WR,Offense,PIT,910000,3800000,13618333,0.081,AFC,AFC North,13,3,0,0.8125,1,406,308,98,0.423077,0.453125,Yes,No
11513,A.J. Green,29,2017,WR,Offense,CIN,10300000,3000000,13500000,0.078,AFC,AFC North,7,9,0,0.4375,3,290,349,-59,0.321429,0.464844,No,No
11514,Kelechi Osemele,28,2017,G,Offense,LV/OAK,6700000,0,13500000,0.078,AFC,AFC West,6,10,0,0.375,3,301,373,-72,0.395833,0.511719,No,No
11515,Anthony Castonzo,29,2017,LT,Offense,IND,1000000,2800000,12800000,0.073,AFC,AFC South,4,12,0,0.25,3,263,404,-141,0.21875,0.480469,No,No
11516,Luke Kuechly,26,2017,ILB,Defense,CAR,7363324,3800000,12763324,0.071,NFC,NFC South,11,5,0,0.6875,2,363,327,36,0.5,0.539062,Yes,No
11517,Ezekiel Ansah,28,2017,DE,Defense,DET,12734000,0,12734000,0.076,NFC,NFC North,9,7,0,0.5625,2,410,376,34,0.368056,0.496094,No,No
11518,Randall Cobb,27,2017,WR,Offense,GB,8600000,3250000,12656250,0.072,NFC,NFC North,7,9,0,0.4375,3,320,384,-64,0.357143,0.539062,No,No
11519,DeSean Jackson,31,2017,WR,Offense,TB,6500000,0,12500000,0.072,NFC,NFC South,5,11,0,0.3125,4,335,382,-47,0.375,0.554688,No,No
11520,Jason Witten,35,2017,TE,Offense,DAL,7400000,0,12262000,0.073,NFC,NFC East,9,7,0,0.5625,2,354,332,22,0.4375,0.496094,No,No
11521,Joel Bitonio,26,2017,G,Offense,CLE,3164777,573036,12237813,0.057,AFC,AFC North,0,16,0,0.0,4,234,410,-176,0.0,0.519531,No,No
11522,Le'Veon Bell,25,2017,RB,Offense,PIT,12120000,0,12120000,0.072,AFC,AFC North,13,3,0,0.8125,1,406,308,98,0.423077,0.453125,Yes,No
11523,Greg Olsen,32,2017,TE,Offense,CAR,6500000,3000000,12100000,0.067,NFC,NFC South,11,5,0,0.6875,2,363,327,36,0.5,0.539062,Yes,No
11524,Jamie Collins,28,2017,OLB,Defense,CLE,4750000,1250000,12100000,0.056,AFC,AFC North,0,16,0,0.0,4,234,410,-176,0.0,0.519531,No,No
11525,Cameron Jordan,28,2017,DE,Defense,NO,7000000,3200000,12047000,0.074,NFC,NFC South,11,5,0,0.6875,1,448,326,122,0.482955,0.535156,Yes,No
11526,Demaryius Thomas,30,2017,WR,Offense,DEN,8500000,2200000,12033333,0.072,AFC,AFC West,5,11,0,0.3125,4,289,382,-93,0.4125,0.492188,No,No
11527,Ryan Kerrigan,29,2017,OLB,Defense,WAS,8250000,3200000,11700000,0.066,NFC,NFC East,7,9,0,0.4375,3,342,388,-46,0.428571,0.539062,No,No
11528,Jordy Nelson,32,2017,WR,Offense,GB,8250000,2300000,11550000,0.066,NFC,NFC North,7,9,0,0.4375,3,320,384,-64,0.357143,0.539062,No,No
11529,Aqib Talib,31,2017,CB,Defense,DEN,10352941,1000000,11352941,0.068,AFC,AFC West,5,11,0,0.3125,4,289,382,-93,0.4125,0.492188,No,No
11530,Jurrell Casey,28,2017,DT,Defense,TEN,3000000,3720000,11288750,0.059,AFC,AFC South,9,7,0,0.5625,2,334,356,-22,0.395833,0.433594,Yes,No
11531,Nate Solder,29,2017,LT,Offense,NE,6500000,4166668,11166418,0.067,AFC,AFC East,13,3,0,0.8125,1,458,296,162,0.466346,0.484375,Yes,No
11532,Brandon Linder,25,2017,C,Offense,JAX,5500000,133400,11070900,0.054,AFC,AFC South,10,6,0,0.625,1,417,268,149,0.39375,0.433594,Yes,No
11533,Joe Staley,33,2017,LT,Offense,SF,8250000,0,11056250,0.054,NFC,NFC West,6,10,0,0.375,4,331,383,-52,0.4375,0.511719,No,No
11534,Maurkice Pouncey,28,2017,C,Offense,PIT,7500000,2600000,11051000,0.065,AFC,AFC North,13,3,0,0.8125,1,406,308,98,0.423077,0.453125,Yes,No
11535,David DeCastro,27,2017,G,Offense,PIT,1100000,3200000,11050000,0.065,AFC,AFC North,13,3,0,0.8125,1,406,308,98,0.423077,0.453125,Yes,No
11536,Mark Barron,28,2017,ILB,Defense,LAR/STL,5000000,1000000,11000000,0.068,NFC,NFC West,11,5,0,0.6875,1,478,329,149,0.460227,0.503906,Yes,No
11537,Michael Brockers,27,2017,DT,Defense,LAR/STL,1250000,750000,11000000,0.068,NFC,NFC West,11,5,0,0.6875,1,478,329,149,0.460227,0.503906,Yes,No
11538,Devin McCourty,30,2017,FS,Defense,NE,6500000,3000000,10935000,0.065,AFC,AFC East,13,3,0,0.8125,1,458,296,162,0.466346,0.484375,Yes,No
11539,Michael Bennett,32,2017,DE,Defense,SEA,6000000,3737500,10768750,0.064,NFC,NFC West,9,7,0,0.5625,2,366,332,34,0.444444,0.492188,No,No
11540,Robert Quinn,27,2017,OLB,Defense,LAR/STL,6161616,955355,10750334,0.066,NFC,NFC West,11,5,0,0.6875,1,478,329,149,0.460227,0.503906,Yes,No
11541,Alshon Jeffery,27,2017,WR,Offense,PHI,1000000,9000000,10750000,0.061,NFC,NFC East,13,3,0,0.8125,1,457,295,162,0.432692,0.460938,Yes,Yes
11542,Akiem Hicks,28,2017,DE,Defense,CHI,7000000,2000000,10700000,0.061,NFC,NFC North,5,11,0,0.3125,4,264,320,-56,0.5,0.558594,No,No
11543,Darius Slay,26,2017,CB,Defense,DET,4100000,2900000,10681250,0.063,NFC,NFC North,9,7,0,0.5625,2,410,376,34,0.368056,0.496094,No,No
11544,Gabe Jackson,26,2017,G,Offense,LV/OAK,5250000,147844,10647844,0.061,AFC,AFC West,6,10,0,0.375,3,301,373,-72,0.395833,0.511719,No,No
11545,Geno Atkins,29,2017,DT,Defense,CIN,7300000,3000000,10600000,0.061,AFC,AFC North,7,9,0,0.4375,3,290,349,-59,0.321429,0.464844,No,No
11546,Damon Harrison,29,2017,DT,Defense,NYG,8750000,1600000,10600000,0.063,NFC,NFC East,3,13,0,0.1875,4,246,388,-142,0.458333,0.53125,No,No
11547,Johnathan Hankins,25,2017,DT,Defense,IND,3000000,0,10500000,0.06,AFC,AFC South,4,12,0,0.25,3,263,404,-141,0.21875,0.480469,No,No
11548,Calais Campbell,31,2017,DE,Defense,JAX,9000000,1500000,10500000,0.051,AFC,AFC South,10,6,0,0.625,1,417,268,149,0.39375,0.433594,Yes,No
11549,Jerry Hughes,29,2017,DE,Defense,BUF,5400000,1400000,10450000,0.063,AFC,AFC East,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,Yes,No
11550,Xavier Rhodes,27,2017,CB,Defense,MIN,8026000,2400000,10426000,0.061,NFC,NFC North,13,3,0,0.8125,1,382,252,130,0.447115,0.492188,Yes,No
11551,Earl Thomas,28,2017,FS,Defense,SEA,8500000,1900000,10400000,0.062,NFC,NFC West,9,7,0,0.5625,2,366,332,34,0.444444,0.492188,No,No
11552,Mike Daniels,28,2017,DT,Defense,GB,2100000,2400000,10400000,0.059,NFC,NFC North,7,9,0,0.4375,3,320,384,-64,0.357143,0.539062,No,No
11553,LeSean McCoy,29,2017,RB,Offense,BUF,6000000,2625000,10375000,0.062,AFC,AFC East,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,Yes,No
11554,Tyrone Crawford,28,2017,DE,Defense,DAL,7250000,2000000,10350000,0.061,NFC,NFC East,9,7,0,0.5625,2,354,332,22,0.4375,0.496094,No,No
11555,Thomas Davis,34,2017,OLB,Defense,CAR,3058824,2250000,10058824,0.056,NFC,NFC South,11,5,0,0.6875,2,363,327,36,0.5,0.539062,Yes,No
11556,T.Y. Hilton,28,2017,WR,Offense,IND,8000000,2000000,10000000,0.057,AFC,AFC South,4,12,0,0.25,3,263,404,-141,0.21875,0.480469,No,No
11557,Chandler Jones,27,2017,OLB,Defense,ARI,7000000,3000000,10000000,0.058,NFC,NFC West,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,No,No
11558,Jared Veldheer,30,2017,RT,Offense,ARI,6500000,1250000,10000000,0.058,NFC,NFC West,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,No,No
11559,Jimmy Graham,31,2017,TE,Offense,SEA,7900000,0,10000000,0.059,NFC,NFC West,9,7,0,0.5625,2,366,332,34,0.444444,0.492188,No,No
11560,Jay Cutler,34,2017,QB,Offense,MIA,5000000,0,10000000,0.058,AFC,AFC East,6,10,0,0.375,3,281,393,-112,0.53125,0.542969,No,No
11561,Kawann Short,28,2017,DT,Defense,CAR,6000000,4000000,10000000,0.056,NFC,NFC South,11,5,0,0.6875,2,363,327,36,0.5,0.539062,Yes,No
11562,Jabaal Sheard,28,2017,OLB,Defense,IND,2500000,0,9968750,0.057,AFC,AFC South,4,12,0,0.25,3,263,404,-141,0.21875,0.480469,No,No
11563,Chris Harris,28,2017,CB,Defense,DEN,7400000,2000000,9866666,0.059,AFC,AFC West,5,11,0,0.3125,4,289,382,-93,0.4125,0.492188,No,No
11564,Lane Johnson,27,2017,RT,Offense,PHI,7750000,2000000,9843750,0.056,NFC,NFC East,13,3,0,0.8125,1,457,295,162,0.432692,0.460938,Yes,Yes
11565,Tyrod Taylor,28,2017,QB,Offense,BUF,7500000,2213334,9713334,0.058,AFC,AFC East,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,Yes,No
11566,Mike Iupati,30,2017,G,Offense,ARI,8000000,1200000,9700000,0.057,NFC,NFC West,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,No,No
