"Rank","Player","Year","Pos","Team","Draft Year","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age",""
"","Malcolm Butler","2020","CB","TEN","-99","$11,000,000","$2,000,000","$13,600,000","0.062","$11,600,000","$12,250,000","5","$61,250,000","$42,609,413","2023","2018","27","30",""
"","Preston Smith","2020","OLB","GB","2015","$4,350,000","$4,000,000","$13,500,000","0.066","$9,537,330","$13,000,000","4","$52,000,000","$33,494,090","2023","2019","26","28",""
"","Xavien Howard","2020","CB","MIA","2016","$11,900,000","$1,400,000","$13,325,000","0.061","$11,970,823","$15,050,000","5","$75,250,000","$32,098,861","2025","2019","25","27",""
"","Patrick Peterson","2020","CB","ARI","2011","$12,050,000","$0","$13,184,588","0.067","$12,603,421","$14,010,000","5","$70,050,000","$94,757,324","2021","2016","25","30",""
"","Russell Okung","2020","LT","CAR","2010","$13,000,000","$0","$13,031,250","0.063","$13,045,904","$13,250,000","4","$53,000,000","$108,873,265","2021","2017","28","32",""
"","Ronnie Stanley","2020","LT","BAL","2016","$8,366,000","$4,500,000","$12,866,000","0.065","$30,879,358","$19,750,000","5","$98,750,000","$55,395,183","2026","2020","25","26",""
"","Jason Pierre-Paul","2020","OLB","TB","2010","$6,500,000","$0","$12,800,000","0.063","$12,800,000","$12,500,000","2","$25,000,000","$89,742,245","2022","2020","30","31",""
"","Adam Thielen","2020","WR","MIN","-99","$4,800,000","$2,800,000","$12,793,750","0.065","$10,034,374","$16,050,000","4","$64,200,000","$39,196,069","2025","2019","28","30",""
"","Jadeveon Clowney","2020","DE","TEN","2014","$5,250,000","$6,250,000","$12,718,750","0.058","$12,718,750","$13,000,000","1","$13,000,000","$63,302,748","2021","2020","26","27",""
"","Anthony Barr","2020","OLB","MIN","2014","$10,000,000","$2,600,000","$12,700,000","0.064","$10,104,454","$13,500,000","5","$67,500,000","$51,213,757","2024","2019","26","28",""
"","Anthony Hitchens","2020","ILB","KC","2014","$7,800,000","$2,800,000","$12,692,500","0.057","$8,497,357","$9,000,000","5","$45,000,000","$33,925,918","2023","2018","25","28",""
"","Duane Brown","2020","LT","SEA","2008","$8,750,000","$2,000,000","$12,562,500","0.063","$10,562,500","$11,500,000","3","$34,500,000","$70,833,616","2022","2018","32","35",""
"","Kevin Zeitler","2020","G","NYG","2012","$10,000,000","$2,500,000","$12,500,000","0.063","$10,000,000","$10,666,667","3","$32,000,000","$63,614,200","2022","2019","28","30",""
"","Trent Williams","2020","LT","SF","2010","$12,500,000","$0","$12,500,000","0.061","$12,500,000","$13,600,000","5","$68,000,000","$108,305,694","2021","2015","26","32",""
"","Zach Ertz","2020","TE","PHI","2013","$6,660,000","$1,600,000","$12,481,500","0.056","$6,660,000","$8,500,000","5","$42,500,000","$42,921,405","2022","2016","25","30",""
"","Tyler Lockett","2020","WR","SEA","2015","$8,500,000","$2,250,000","$12,450,000","0.062","$10,200,000","$10,250,000","3","$30,750,000","$29,399,057","2022","2018","25","28",""
"","Rodger Saffold","2020","G","TEN","2010","$9,500,000","$2,375,000","$12,343,750","0.056","$9,968,750","$11,000,000","4","$44,000,000","$60,909,908","2023","2019","30","32",""
"","Grady Jarrett","2020","DT","ATL","2015","$5,001,000","$4,500,000","$12,334,000","0.061","$13,544,257","$17,000,000","4","$68,000,000","$41,889,675","2023","2019","25","27",""
"","Amari Cooper","2020","WR","DAL","2015","$10,000,000","$2,000,000","$12,000,000","0.055","$20,038,777","$20,000,000","5","$100,000,000","$56,672,334","2025","2020","25","26",""
"","Whitney Mercilus","2020","OLB","HOU","2012","$10,500,000","$1,500,000","$12,000,000","0.055","$10,532,392","$13,500,000","4","$54,000,000","$51,307,105","2022","2019","28","30",""
"","Andrew Norwell","2020","G","JAC","-99","$9,000,000","$3,000,000","$12,000,000","0.058","$9,033,012","$13,300,000","5","$66,500,000","$43,564,631","2022","2018","26","29",""
"","Akiem Hicks","2020","DT","CHI","2012","$10,200,000","$1,500,000","$11,800,000","0.056","$10,340,442","$12,000,000","4","$48,000,000","$51,802,347","2022","2017","27","31",""
"","Casey Hayward","2020","CB","LAC","2012","$9,750,000","$2,000,000","$11,750,000","0.058","$9,791,319","$11,083,333","3","$33,250,000","$44,380,805","2022","2018","28","31",""
"","Tre'Davious White","2020","CB","BUF","2017","$8,250,000","$3,469,748","$11,719,748","0.053","$18,805,740","$17,250,000","4","$69,000,000","$27,151,814","2026","2020","24","25",""
"","Ryan Kerrigan","2020","DE","WAS","2011","$11,500,000","$0","$11,687,500","0.056","$11,687,500","$11,500,000","5","$57,500,000","$73,152,470","2021","2015","26","32",""
"","Larry Fitzgerald","2020","WR","ARI","2004","$11,000,000","$0","$11,656,250","0.059","$11,694,379","$11,500,000","1","$11,500,000","$180,757,239","2021","2020","36","37",""
"","Mitch Morse","2020","C","BUF","2015","$6,775,000","$2,750,000","$11,562,500","0.052","$8,866,837","$11,125,000","4","$44,500,000","$33,060,428","2023","2019","26","28",""
"","Kyle Fuller","2020","CB","CHI","2014","$4,500,000","$4,500,000","$11,500,000","0.054","$13,059,818","$13,500,000","2","$27,000,000","$51,897,548","2022","2020","27","28",""
"","Jurrell Casey","2020","DE","DEN","2011","$11,250,000","$0","$11,443,750","0.054","$11,449,611","$15,100,000","4","$60,400,000","$74,988,072","2023","2017","27","31",""
"","Justin Simmons","2020","FS","DEN","2016","$11,441,000","$0","$11,441,000","0.054","$11,492,808","$11,441,000","1","$11,441,000","$16,202,947","2021","2020","26","27",""
"","Anthony Harris","2020","FS","MIN","-99","$11,441,000","$0","$11,441,000","0.058","$11,498,358","$11,441,000","1","$11,441,000","$16,829,936","2021","2020","28","29",""
"","Travis Kelce","2020","TE","KC","2013","$8,500,000","$1,968,400","$11,218,400","0.051","$9,294,294","$14,312,500","4","$57,250,000","$42,476,348","2026","2020","30","31",""
"","Brandon Williams","2020","DT","BAL","2013","$4,250,000","$2,500,000","$11,174,000","0.057","$8,269,662","$10,500,000","5","$52,500,000","$45,966,723","2022","2017","27","31",""
"","Tyrell Williams","2020","WR","LV","-99","$11,000,000","$0","$11,100,000","0.051","$11,100,000","$11,075,000","4","$44,300,000","$25,548,701","2023","2019","26","28",""
"","David Johnson","2020","RB","HOU","2015","$10,200,000","$0","$11,062,500","0.051","$11,083,275","$13,000,000","3","$39,000,000","$34,030,707","2022","2018","26","29",""
"","Olivier Vernon","2020","OLB","CLE","2012","$6,750,000","$4,000,000","$11,000,000","0.048","$11,046,040","$11,000,000","1","$11,000,000","$84,420,072","2021","2020","29","30",""
"","Ezekiel Elliott","2020","RB","DAL","2016","$6,800,000","$1,500,000","$10,900,000","0.050","$19,835,587","$15,000,000","6","$90,000,000","$48,668,561","2027","2019","23","25",""
"","Kyle Van Noy","2020","OLB","MIA","2014","$3,000,000","$1,375,000","$10,900,000","0.050","$15,073,613","$12,750,000","4","$51,000,000","$31,364,584","2024","2020","28","29",""
"","Shaq Lawson","2020","DE","MIA","2016","$6,400,000","$1,333,333","$10,833,333","0.050","$13,538,910","$10,000,000","3","$30,000,000","$23,858,162","2023","2020","25","26",""
"","Mitchell Schwartz","2020","RT","KC","2012","$5,320,000","$5,150,000","$10,820,000","0.049","$5,689,623","$8,151,667","3","$24,455,000","$43,190,463","2022","2019","29","31",""
"","Jake Matthews","2020","LT","ATL","2014","$3,550,000","$2,789,200","$10,764,200","0.053","$10,616,423","$14,500,000","5","$72,500,000","$62,071,297","2024","2018","25","28",""
"","Lavonte David","2020","ILB","TB","2012","$10,750,000","$0","$10,750,000","0.053","$10,750,000","$10,050,000","5","$50,250,000","$53,747,757","2021","2015","24","30",""
"","Harrison Smith","2020","SS","MIN","2012","$8,350,000","$2,000,000","$10,750,000","0.055","$8,807,828","$10,250,000","5","$51,250,000","$53,474,374","2022","2016","26","31",""
"","Hunter Henry","2020","TE","LAC","2016","$10,607,000","$0","$10,607,000","0.052","$10,656,241","$10,607,000","1","$10,607,000","$17,036,548","2021","2020","25","26",""
"","Alex Mack","2020","C","ATL","2009","$8,000,000","$2,300,000","$10,550,000","0.052","$8,055,320","$9,000,000","5","$45,000,000","$77,478,068","2021","2016","30","35",""
"","Jordan Hicks","2020","ILB","ARI","2015","$6,000,000","$3,000,000","$10,500,000","0.053","$7,562,890","$8,500,000","4","$34,000,000","$27,348,472","2023","2019","27","29",""
"","Corey Linsley","2020","C","GB","2014","$7,650,000","$2,000,000","$10,500,000","0.052","$8,543,192","$8,500,000","3","$25,500,000","$29,601,658","2021","2017","25","29",""
"","Justin Pugh","2020","G","ARI","2013","$7,250,000","$2,000,000","$10,421,875","0.053","$8,480,455","$8,955,000","5","$44,775,000","$42,734,256","2023","2018","27","30",""
"","Golden Tate","2020","WR","NYG","2010","$7,975,000","$2,352,942","$10,352,942","0.052","$8,000,000","$9,375,000","4","$37,500,000","$56,337,672","2023","2019","30","32",""
"","Keenan Allen","2020","WR","LAC","2013","$5,500,000","$4,600,000","$10,350,000","0.051","$19,297,527","$20,025,000","4","$80,100,000","$61,512,117","2025","2020","27","28",""
"","Deion Jones","2020","ILB","ATL","2016","$5,850,000","$2,200,000","$10,320,000","0.051","$13,436,199","$14,250,000","4","$57,000,000","$30,409,908","2024","2019","24","26",""
"","Lane Johnson","2020","RT","PHI","2013","$1,050,000","$2,600,000","$10,298,206","0.046","$12,435,000","$18,000,000","4","$72,000,000","$71,526,625","2026","2019","28","30",""
"","Charles Leno","2020","LT","CHI","2014","$7,900,000","$900,000","$10,294,000","0.048","$8,066,146","$9,250,000","4","$37,000,000","$31,818,610","2022","2017","25","29",""
"","Riley Reiff","2020","LT","MIN","2012","$5,900,000","$2,200,000","$10,200,000","0.052","$8,064,710","$11,750,000","5","$58,750,000","$60,183,932","2022","2017","28","32",""
"","Will Fuller","2020","WR","HOU","2016","$10,162,000","$0","$10,162,000","0.047","$10,198,192","$2,541,078","4","$10,164,313","$24,301,582","2021","2016","21","26",""
"","A.J. Bouye","2020","CB","DEN","-99","$9,941,176","$0","$10,159,926","0.048","$10,171,930","$13,500,000","5","$67,500,000","$53,931,634","2022","2017","25","29",""
"","Myles Garrett","2020","DE","CLE","2017","$862,126","$9,264,501","$10,126,627","0.044","$21,914,442","$25,000,000","5","$125,000,000","$46,590,426","2027","2020","24","25",""
"","D.J. Reader","2020","DT","CIN","2016","$2,000,000","$4,062,500","$10,062,500","0.048","$22,265,588","$13,250,000","4","$53,000,000","$26,284,968","2024","2020","25","26",""
"","Ryan Jensen","2020","C","TB","2013","$10,000,000","$0","$10,000,000","0.049","$10,000,000","$10,500,000","4","$42,000,000","$35,662,242","2022","2018","26","29",""
"","Calais Campbell","2020","DE","BAL","2008","$5,000,000","$5,000,000","$10,000,000","0.051","$15,022,565","$12,500,000","2","$25,000,000","$118,091,393","2022","2020","33","34",""
"","C.J. Mosley","2020","ILB","NYJ","2014","$0","$0","$10,000,000","0.048","$10,150,000","$17,000,000","5","$85,000,000","$46,656,002","2025","2019","26","28",""
"","K.J. Wright","2020","OLB","SEA","2011","$5,000,000","$2,500,000","$10,000,000","0.050","$7,500,000","$7,000,000","2","$14,000,000","$45,846,594","2021","2019","29","31",""
"","James Bradberry","2020","CB","NYG","2016","$3,900,000","$3,000,000","$10,000,000","0.051","$16,250,000","$14,500,000","3","$43,500,000","$20,762,060","2023","2020","26","27",""
"","Blake Martinez","2020","ILB","NYG","2016","$4,000,000","$2,000,000","$10,000,000","0.051","$14,000,000","$10,250,000","3","$30,750,000","$18,412,783","2023","2020","25","26",""
"","Trae Waynes","2020","CB","CIN","2015","$5,000,000","$5,000,000","$10,000,000","0.048","$20,000,000","$14,000,000","3","$42,000,000","$42,061,722","2023","2020","27","28",""
"","J.C. Tretter","2020","C","CLE","2013","$4,000,000","$1,625,000","$9,975,000","0.044","$8,421,488","$10,850,000","3","$32,550,000","$35,402,333","2023","2019","27","29",""
"","Mario Addison","2020","DE","BUF","-99","$5,250,000","$2,000,000","$9,968,750","0.045","$14,010,396","$10,150,000","3","$30,450,000","$43,201,962","2022","2020","32","33",""
"","William Jackson","2020","CB","CIN","2016","$9,954,000","$0","$9,954,000","0.048","$10,006,945","$2,426,411","4","$9,705,644","$19,771,339","2021","2016","23","28",""
"","DeMarcus Lawrence","2020","DE","DAL","2014","$1,900,000","$5,000,000","$9,900,000","0.046","$16,936,491","$21,000,000","5","$105,000,000","$70,349,519","2024","2019","26","28",""
"","Jamison Crowder","2020","WR","NYJ","2015","$8,500,000","$1,000,000","$9,875,000","0.048","$8,875,000","$9,500,000","3","$28,500,000","$22,272,595","2022","2019","25","27",""
"","Deshaun Watson","2020","QB","HOU","2017","$1,177,123","$7,453,961","$9,808,207","0.045","$29,417,363","$39,000,000","4","$156,000,000","$40,855,478","2026","2020","24","25",""
"","David DeCastro","2020","G","PIT","2012","$1,050,000","$3,200,000","$9,797,500","0.049","$8,750,000","$10,000,000","5","$50,000,000","$57,209,333","2022","2016","25","30",""
"","Trent Murphy","2020","DE","BUF","2014","$6,425,000","$1,750,000","$9,775,000","0.044","$8,056,897","$7,500,000","3","$22,500,000","$27,989,478","2021","2018","27","30",""
"","Adam Humphries","2020","WR","TEN","-99","$7,000,000","$2,500,000","$9,718,750","0.044","$7,218,750","$9,000,000","4","$36,000,000","$24,175,238","2023","2019","25","27",""
"","Adrian Amos","2020","FS","GB","2015","$1,750,000","$2,750,000","$9,650,000","0.047","$6,966,502","$9,000,000","4","$36,000,000","$25,112,940","2023","2019","25","27",""
"","Joe Haden","2020","CB","PIT","2010","$1,050,000","$5,600,000","$9,625,000","0.048","$7,000,000","$11,200,000","2","$22,400,000","$114,471,755","2022","2019","29","31",""
"","Gabe Jackson","2020","G","LV","2014","$9,350,000","$0","$9,600,000","0.044","$9,678,288","$11,000,000","5","$55,000,000","$40,153,407","2023","2017","25","29",""
"","John Brown","2020","WR","BUF","2014","$7,050,000","$1,600,000","$9,531,250","0.043","$7,965,332","$9,000,000","3","$27,000,000","$27,749,321","2022","2019","28","30",""
"","Jerry Hughes","2020","DE","BUF","2010","$6,650,000","$2,100,000","$9,500,000","0.043","$7,447,797","$10,750,000","2","$21,500,000","$72,163,810","2022","2019","30","32",""
"","Jarran Reed","2020","DT","SEA","2016","$4,100,000","$5,000,000","$9,350,000","0.047","$14,350,000","$11,500,000","2","$23,000,000","$18,845,482","2022","2020","27","28",""
"","Mitchell Trubisky","2020","QB","CHI","2017","$825,000","$4,813,624","$9,327,591","0.044","$4,550,980","$7,258,106","4","$29,032,424","$29,186,690","2021","2017","22","26",""
"","Cameron Heyward","2020","DT","PIT","2011","$1,500,000","$4,050,000","$9,301,250","0.046","$21,750,000","$16,400,000","4","$65,600,000","$78,232,735","2025","2020","30","31",""
"","Rob Gronkowski","2020","TE","TB","2010","$9,000,000","$0","$9,250,000","0.045","$9,250,000","$9,000,000","6","$54,000,000","$62,629,507","2021","2012","22","31",""
"","LaMarcus Joyner","2020","FS","LV","2014","$4,600,000","$1,250,000","$9,200,000","0.042","$7,997,928","$10,500,000","4","$42,000,000","$38,466,717","2023","2019","28","30",""
"","Marvin Jones","2020","WR","DET","2012","$6,500,000","$1,600,000","$9,183,334","0.043","$6,560,963","$8,000,000","5","$40,000,000","$42,585,220","2021","2016","25","30",""
