"Rank","Player","Year","Pos","Team","Draft Year","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age",""
"","Dak Prescott","2020","QB","DAL","2016","$31,409,000","$0","$31,409,000","0.144","$31,414,653","$31,409,000","1","$31,409,000","$36,317,825","2021","2020","26","27",""
"","Russell Wilson","2020","QB","SEA","2012","$18,000,000","$13,000,000","$31,000,000","0.155","$53,000,000","$35,000,000","4","$140,000,000","$162,362,520","2024","2019","30","32",""
"","Jared Goff","2020","QB","LAR","2016","$1,042,682","$5,000,000","$28,842,682","0.142","$31,063,078","$33,500,000","4","$134,000,000","$80,741,068","2025","2019","24","26",""
"","Khalil Mack","2020","OLB","CHI","2014","$13,300,000","$6,800,000","$26,600,000","0.125","$17,220,423","$23,500,000","6","$141,000,000","$92,449,498","2025","2018","26","29",""
"","Jimmy Garoppolo","2020","QB","SF","2014","$23,800,000","$1,400,000","$26,100,000","0.126","$24,700,000","$27,500,000","5","$137,500,000","$88,758,637","2023","2018","26","29",""
"","Von Miller","2020","OLB","DEN","2011","$17,500,000","$3,400,000","$25,625,000","0.120","$18,000,000","$19,016,667","6","$114,100,000","$126,475,534","2022","2016","26","31",""
"","Philip Rivers","2020","QB","IND","2004","$13,000,000","$12,000,000","$25,000,000","0.104","$25,026,666","$25,000,000","1","$25,000,000","$243,944,322","2021","2020","38","39",""
"","Tom Brady","2020","QB","TB","2000","$15,000,000","$0","$25,000,000","0.123","$28,375,000","$25,000,000","2","$50,000,000","$263,541,804","2022","2020","42","43",""
"","Aaron Donald","2020","DT","LAR","2014","$17,000,000","$8,000,000","$25,000,000","0.123","$17,020,228","$22,500,000","6","$135,000,000","$77,222,238","2025","2018","26","29",""
"","Ben Roethlisberger","2020","QB","PIT","2004","$1,500,000","$12,500,000","$23,750,000","0.118","$26,000,000","$34,000,000","2","$68,000,000","$253,286,864","2022","2019","36","38",""
"","Drew Brees","2020","QB","NO","2001","$2,000,000","$16,250,000","$23,650,000","0.119","$25,000,000","$25,000,000","2","$50,000,000","$269,710,422","2022","2020","40","41",""
"","Stephon Gilmore","2020","CB","NE","2012","$13,000,000","$3,600,000","$23,639,584","0.112","$14,736,972","$13,000,000","5","$65,000,000","$79,809,380","2022","2017","26","30",""
"","DeForest Buckner","2020","DT","IND","2016","$12,378,000","$0","$23,378,000","0.097","$23,401,981","$21,000,000","4","$84,000,000","$41,592,973","2025","2022","27","26",""
"","Ryan Tannehill","2020","QB","TEN","2012","$17,500,000","$5,000,000","$22,500,000","0.102","$37,500,000","$29,500,000","4","$118,000,000","$115,475,979","2024","2020","31","32",""
"","Aaron Rodgers","2020","QB","GB","2005","$1,550,000","$11,500,000","$21,642,000","0.106","$21,578,775","$33,500,000","4","$134,000,000","$240,943,304","2024","2018","34","37",""
"","Derek Carr","2020","QB","LV","2014","$18,900,000","$2,500,000","$21,500,000","0.098","$19,030,794","$25,000,000","5","$125,000,000","$91,041,395","2023","2017","25","29",""
"","Trenton Brown","2020","RT","LV","2015","$21,250,000","$0","$21,500,000","0.098","$21,509,336","$16,500,000","4","$66,000,000","$40,358,348","2023","2019","25","27",""
"","Alex Smith","2020","QB","WAS","2005","$16,000,000","$5,400,000","$21,400,000","0.102","$16,000,000","$23,500,000","4","$94,000,000","$189,725,000","2023","2018","33","36",""
"","Jacoby Brissett","2020","QB","IND","2016","$6,000,000","$5,500,000","$21,375,000","0.089","$15,876,400","$15,000,000","2","$30,000,000","$33,231,475","2021","2019","26","28",""
"","Chandler Jones","2020","OLB","ARI","2012","$16,000,000","$3,000,000","$21,333,333","0.109","$16,008,056","$16,500,000","5","$82,500,000","$82,995,510","2022","2017","26","30",""
"","Matthew Stafford","2020","QB","DET","2009","$7,800,000","$10,000,000","$21,300,000","0.099","$8,327,068","$27,000,000","5","$135,000,000","$219,306,037","2023","2017","28","32",""
"","Kirk Cousins","2020","QB","MIN","2012","$9,500,000","$11,000,000","$21,000,000","0.106","$40,028,856","$33,000,000","2","$66,000,000","$140,669,486","2023","2020","31","32",""
"","Julio Jones","2020","WR","ATL","2011","$11,200,000","$5,000,000","$20,416,668","0.101","$22,213,963","$22,000,000","3","$66,000,000","$125,340,527","2024","2019","29","31",""
"","Kawann Short","2020","DE","CAR","2013","$12,500,000","$4,000,000","$19,464,000","0.093","$13,191,402","$16,100,000","5","$80,500,000","$69,824,220","2022","2017","27","31",""
"","Frank Clark","2020","DE","KC","2015","$12,000,000","$5,200,000","$19,300,000","0.087","$28,417,047","$20,800,000","5","$104,000,000","$50,027,184","2024","2019","25","27",""
"","Matt Ryan","2020","QB","ATL","2008","$1,050,000","$9,300,000","$18,962,500","0.094","$20,535,214","$30,000,000","5","$150,000,000","$244,007,749","2024","2018","32","35",""
"","Carson Wentz","2020","QB","PHI","2016","$1,383,000","$3,273,536","$18,656,536","0.084","$39,383,000","$32,000,000","4","$128,000,000","$79,059,339","2025","2019","26","28",""
"","A.J. Green","2020","WR","CIN","2011","$17,971,000","$0","$18,171,000","0.087","$18,196,490","$18,171,000","1","$18,171,000","$108,060,588","2021","2020","31","32",""
"","Fletcher Cox","2020","DT","PHI","2012","$4,035,000","$5,200,000","$18,115,000","0.082","$12,200,000","$17,100,000","6","$102,600,000","$85,890,246","2023","2016","25","30",""
"","Taylor Lewan","2020","LT","TEN","2014","$16,000,000","$2,096,471","$18,096,471","0.082","$16,000,000","$16,000,000","5","$80,000,000","$57,608,813","2024","2018","26","29",""
"","Tyreek Hill","2020","WR","KC","2016","$910,000","$1,450,000","$17,740,000","0.080","$16,317,915","$18,000,000","3","$54,000,000","$24,653,671","2023","2019","24","26",""
"","Byron Jones","2020","CB","MIA","2015","$11,000,000","$2,100,000","$17,600,000","0.081","$26,032,092","$16,500,000","5","$82,500,000","$41,050,400","2025","2020","27","28",""
"","Za'Darius Smith","2020","OLB","GB","2015","$2,000,000","$5,000,000","$17,250,000","0.085","$12,281,239","$16,500,000","4","$66,000,000","$38,614,615","2023","2019","26","28",""
"","Anthony Castonzo","2020","LT","IND","2011","$7,000,000","$0","$17,000,000","0.071","$17,030,131","$16,500,000","2","$33,000,000","$76,281,227","2022","2020","31","32",""
"","Matt Judon","2020","OLB","BAL","2016","$16,808,000","$0","$16,808,000","0.085","$16,827,928","$16,808,000","1","$16,808,000","$20,822,220","2021","2020","27","28",""
"","Trey Flowers","2020","DE","DET","2015","$11,125,000","$5,614,000","$16,739,000","0.078","$11,136,607","$18,000,000","5","$90,000,000","$44,163,964","2024","2019","25","27",""
"","Melvin Ingram","2020","DE","LAC","2012","$14,000,000","$2,625,000","$16,625,000","0.082","$14,012,399","$16,000,000","4","$64,000,000","$81,222,338","2021","2017","27","31",""
"","Davante Adams","2020","WR","GB","2014","$12,000,000","$3,600,000","$16,537,500","0.081","$12,966,419","$14,500,000","4","$58,000,000","$49,280,641","2022","2017","24","28",""
"","Tyrann Mathieu","2020","FS","KC","2013","$11,150,000","$4,933,333","$16,333,333","0.074","$11,433,161","$14,000,000","3","$42,000,000","$58,294,901","2022","2019","26","28",""
"","David Bakhtiari","2020","LT","GB","2013","$6,052,941","$9,200,000","$16,127,941","0.079","$36,956,797","$23,000,000","4","$92,000,000","$77,835,911","2025","2020","28","29",""
"","Leonard Williams","2020","DE","NYG","2015","$16,126,000","$0","$16,126,000","0.082","$16,126,000","$16,126,000","1","$16,126,000","$49,008,445","2021","2020","25","26",""
"","Sammy Watkins","2020","WR","KC","2014","$7,000,000","$8,000,000","$15,875,000","0.072","$8,893,617","$9,000,000","1","$9,000,000","$62,829,220","2021","2020","26","27",""
"","Shaquil Barrett","2020","OLB","TB","-99","$15,828,000","$0","$15,828,000","0.078","$15,828,000","$15,828,000","1","$15,828,000","$25,774,611","2021","2020","27","28",""
"","Bud Dupree","2020","OLB","PIT","2015","$15,828,000","$0","$15,828,000","0.079","$15,828,000","$15,828,000","1","$15,828,000","$34,344,579","2021","2020","26","27",""
"","J.J. Watt","2020","DE","HOU","2011","$15,500,000","$0","$15,500,000","0.071","$15,541,502","$16,667,571","6","$100,005,425","$100,748,000","2022","2014","24","31",""
"","Myles Jack","2020","ILB","JAC","2016","$12,750,000","$2,400,000","$15,400,000","0.074","$13,029,401","$14,250,000","4","$57,000,000","$31,363,841","2024","2019","23","25",""
"","Alshon Jeffery","2020","WR","PHI","2012","$9,910,000","$1,250,000","$15,396,500","0.069","$11,500,000","$13,000,000","4","$52,000,000","$63,001,459","2022","2017","26","30",""
"","Ryan Kelly","2020","C","IND","2016","$5,350,000","$0","$15,355,640","0.064","$12,897,524","$12,500,000","4","$50,000,000","$23,348,507","2025","2020","26","27",""
"","Eric Fisher","2020","LT","KC","2013","$8,750,000","$2,550,000","$15,231,666","0.069","$9,540,961","$12,000,000","4","$48,000,000","$70,883,459","2022","2016","24","29",""
"","Brandon Scherff","2020","G","WAS","2015","$15,030,000","$0","$15,030,000","0.072","$15,030,000","$15,030,000","1","$15,030,000","$48,807,708","2021","2020","28","29",""
"","Chris Jones","2020","DT","KC","2016","$14,626,000","$0","$15,001,000","0.068","$16,151,062","$20,000,000","4","$80,000,000","$22,382,291","2024","2020","25","26",""
"","Marcus Peters","2020","CB","BAL","2015","$10,000,000","$2,000,000","$15,000,000","0.076","$13,033,421","$14,000,000","3","$42,000,000","$39,135,831","2023","2019","25","27",""
"","Allen Robinson","2020","WR","CHI","2014","$10,900,000","$2,000,000","$15,000,000","0.071","$13,036,536","$14,000,000","3","$42,000,000","$46,550,505","2021","2018","24","27",""
"","Joey Bosa","2020","DE","LAC","2016","$1,000,000","$7,000,000","$15,000,000","0.074","$43,020,731","$27,000,000","5","$135,000,000","$68,894,417","2026","2020","24","25",""
"","Stephon Tuitt","2020","DE","PIT","2014","$9,000,000","$2,600,000","$14,940,750","0.074","$9,000,000","$12,000,288","5","$60,001,439","$46,710,551","2023","2017","23","27",""
"","Stefon Diggs","2020","WR","BUF","2015","$14,200,000","$0","$14,800,000","0.067","$14,831,050","$14,400,000","5","$72,000,000","$43,517,088","2024","2018","24","27",""
"","Joe Thuney","2020","G","NE","2016","$14,781,000","$0","$14,781,000","0.070","$14,824,653","$14,781,000","1","$14,781,000","$19,991,395","2021","2020","27","28",""
"","Bobby Wagner","2020","ILB","SEA","2012","$10,750,000","$3,750,000","$14,750,000","0.074","$19,000,000","$18,000,000","3","$54,000,000","$71,358,441","2023","2019","28","30",""
"","Jarvis Landry","2020","WR","CLE","2014","$13,000,000","$1,500,000","$14,550,000","0.064","$13,081,779","$15,100,000","5","$75,500,000","$50,824,347","2023","2018","25","28",""
"","T.Y. Hilton","2020","WR","IND","2012","$14,542,000","$0","$14,542,000","0.061","$14,572,249","$13,000,000","5","$65,000,000","$68,549,649","2021","2015","25","31",""
"","Donovan Smith","2020","LT","TB","2015","$14,500,000","$0","$14,500,000","0.071","$16,500,000","$13,750,000","3","$41,250,000","$30,211,737","2022","2019","25","27",""
"","Odell Beckham, Jr.","2020","WR","CLE","2014","$14,000,000","$0","$14,250,000","0.062","$14,264,669","$18,000,000","5","$90,000,000","$63,146,476","2024","2018","25","28",""
"","Landon Collins","2020","SS","WAS","2015","$10,000,000","$3,000,000","$14,200,000","0.068","$16,000,000","$14,000,000","6","$84,000,000","$38,077,949","2025","2019","24","26",""
"","Laremy Tunsil","2020","LT","HOU","2016","$10,850,000","$3,250,000","$14,100,000","0.065","$23,889,155","$22,000,000","3","$66,000,000","$36,346,805","2024","2020","25","26",""
"","Geno Atkins","2020","DT","CIN","2010","$11,100,000","$2,600,000","$14,100,000","0.068","$11,504,754","$16,300,000","4","$65,200,000","$95,999,495","2023","2018","29","32",""
"","Richard Sherman","2020","CB","SF","2011","$8,000,000","$2,000,000","$13,987,500","0.068","$12,987,500","$9,050,000","3","$27,150,000","$82,735,115","2021","2018","29","32",""
"","Teddy Bridgewater","2020","QB","CAR","2014","$8,000,000","$5,000,000","$13,953,125","0.067","$23,982,702","$21,000,000","3","$63,000,000","$44,082,985","2022","2020","27","28",""
"","Kareem Jackson","2020","SS","DEN","2010","$11,000,000","$2,882,353","$13,882,353","0.065","$11,038,807","$11,000,000","3","$33,000,000","$69,695,057","2022","2019","30","32",""
"","Sheldon Richardson","2020","DT","CLE","2013","$11,900,000","$1,666,667","$13,666,666","0.060","$12,041,833","$12,333,333","3","$37,000,000","$50,480,836","2022","2019","28","30",""
