Year,Conf,Division,Team,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
2020,NFC,NFC South,ATL,4,12,0,0.25,4,396,414,-18,0.390625,0.550781,No,No
2020,NFC,NFC South,CAR,5,11,0,0.3125,3,350,402,-52,0.3875,0.53125,No,No
2020,NFC,NFC South,NO,12,4,0,0.75,1,482,337,145,0.40625,0.458984,Yes,No
2020,NFC,NFC South,TB,11,5,0,0.6875,2,492,355,137,0.392045,0.488281,Yes,Yes
2020,NFC,NFC West,ARI,8,8,0,0.5,3,410,367,43,0.441406,0.474609,No,No
2020,NFC,NFC West,LAR/STL,10,6,0,0.625,2,372,296,76,0.484375,0.494141,Yes,No
2020,NFC,NFC West,SEA,12,4,0,0.75,1,459,371,88,0.403646,0.447266,Yes,No
2020,NFC,NFC West,SF,6,10,0,0.375,4,376,390,-14,0.447917,0.548828,No,No
2019,AFC,AFC East,BUF,10,6,0,0.625,2,314,259,55,0.3625,0.460938,Yes,No
2019,AFC,AFC East,MIA,5,11,0,0.3125,4,306,494,-188,0.4625,0.484375,No,No
2019,AFC,AFC East,NE,12,4,0,0.75,1,420,225,195,0.411458,0.46875,Yes,No
2019,AFC,AFC East,NYJ,7,9,0,0.4375,3,276,359,-83,0.401786,0.472656,No,No
2019,AFC,AFC North,BAL,14,2,0,0.875,1,531,282,249,0.482143,0.492188,Yes,No
2019,AFC,AFC North,CIN,2,14,0,0.125,4,279,420,-141,0.40625,0.550781,No,No
2019,AFC,AFC North,CLE,6,10,0,0.375,3,335,393,-58,0.479167,0.53125,No,No
2019,AFC,AFC North,PIT,8,8,0,0.5,2,289,303,-14,0.320312,0.5,No,No
2019,AFC,AFC South,HOU,10,6,0,0.625,1,378,385,-7,0.4875,0.519531,Yes,No
2019,AFC,AFC South,IND,7,9,0,0.4375,3,361,373,-12,0.5,0.492188,No,No
2019,AFC,AFC South,JAX,6,10,0,0.375,4,300,397,-97,0.40625,0.484375,No,No
2019,AFC,AFC South,TEN,9,7,0,0.5625,2,402,331,71,0.465278,0.488281,Yes,No
2019,AFC,AFC West,DEN,7,9,0,0.4375,2,282,316,-34,0.401786,0.507812,No,No
2019,AFC,AFC West,KC,12,4,0,0.75,1,451,308,143,0.473958,0.507812,Yes,Yes
2019,AFC,AFC West,LAC/SD,5,11,0,0.3125,4,337,345,-8,0.4875,0.511719,No,No
2019,AFC,AFC West,LV/OAK,7,9,0,0.4375,3,313,419,-106,0.330357,0.480469,No,No
