Year,Conf,Division,Team,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
2013,NFC,NFC East,DAL,8,8,0,0.5,2,439,432,7,0.363281,0.484375,No,No
2013,NFC,NFC East,NYG,7,9,0,0.4375,3,294,383,-89,0.366071,0.519531,No,No
2013,NFC,NFC East,PHI,10,6,0,0.625,1,442,382,60,0.390625,0.453125,Yes,No
2013,NFC,NFC East,WAS,3,13,0,0.1875,4,334,478,-144,0.4375,0.515625,No,No
2013,NFC,NFC North,CHI,8,8,0,0.5,2,445,478,-33,0.46875,0.464844,No,No
2013,NFC,NFC North,DET,7,9,0,0.4375,3,395,376,19,0.401786,0.457031,No,No
2013,NFC,NFC North,GB,8,7,1,0.53125,1,417,428,-11,0.371094,0.453125,Yes,No
2013,NFC,NFC North,MIN,5,10,1,0.34375,4,391,480,-89,0.45,0.511719,No,No
2013,NFC,NFC South,ATL,4,12,0,0.25,3,353,443,-90,0.3125,0.552734,No,No
2013,NFC,NFC South,CAR,12,4,0,0.75,1,366,241,125,0.450521,0.494141,Yes,No
2013,NFC,NFC South,NO,11,5,0,0.6875,2,414,304,110,0.454545,0.515625,Yes,No
2013,NFC,NFC South,TB,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,No,No
2013,NFC,NFC West,ARI,10,6,0,0.625,3,379,324,55,0.44375,0.53125,No,No
2013,NFC,NFC West,SEA,13,3,0,0.8125,1,417,231,186,0.444712,0.490234,Yes,Yes
2013,NFC,NFC West,SF,12,4,0,0.75,2,406,272,134,0.414062,0.494141,Yes,No
2013,NFC,NFC West,LAR/STL,7,9,0,0.4375,4,348,364,-16,0.446429,0.550781,No,No
2012,AFC,AFC East,BUF,6,10,0,0.375,4,344,435,-91,0.28125,0.476562,No,No
2012,AFC,AFC East,MIA,7,9,0,0.4375,2,288,317,-29,0.410714,0.496094,No,No
2012,AFC,AFC East,NE,12,4,0,0.75,1,557,331,226,0.463542,0.492188,Yes,No
2012,AFC,AFC East,NYJ,6,10,0,0.375,3,281,375,-94,0.395833,0.507812,No,No
2012,AFC,AFC North,BAL,10,6,0,0.625,1,398,344,54,0.4375,0.496094,Yes,Yes
2012,AFC,AFC North,CIN,10,6,0,0.625,2,391,320,71,0.38125,0.4375,Yes,No
2012,AFC,AFC North,CLE,5,11,0,0.3125,4,302,368,-66,0.3875,0.507812,No,No
2012,AFC,AFC North,PIT,8,8,0,0.5,3,336,314,22,0.4375,0.464844,No,No
2012,AFC,AFC South,HOU,12,4,0,0.75,1,416,331,85,0.432292,0.496094,Yes,No
2012,AFC,AFC South,IND,11,5,0,0.6875,2,357,387,-30,0.403409,0.441406,Yes,No
2012,AFC,AFC South,JAX,2,14,0,0.125,4,255,444,-189,0.53125,0.539062,No,No
2012,AFC,AFC South,TEN,6,10,0,0.375,3,330,471,-141,0.34375,0.511719,No,No
2012,AFC,AFC West,DEN,13,3,0,0.8125,1,481,289,192,0.384615,0.457031,Yes,No
2012,AFC,AFC West,KC,2,14,0,0.125,4,211,425,-214,0.4375,0.515625,No,No
2012,AFC,AFC West,LV/OAK,4,12,0,0.25,3,290,443,-153,0.21875,0.46875,No,No
2012,AFC,AFC West,LAC/SD,7,9,0,0.4375,2,350,350,0,0.285714,0.457031,No,No
2012,NFC,NFC East,DAL,8,8,0,0.5,3,376,400,-24,0.421875,0.523438,No,No
2012,NFC,NFC East,NYG,9,7,0,0.5625,2,429,344,85,0.486111,0.519531,No,No
2012,NFC,NFC East,PHI,4,12,0,0.25,4,280,444,-164,0.484375,0.507812,No,No
2012,NFC,NFC East,WAS,10,6,0,0.625,1,436,388,48,0.45,0.492188,Yes,No
2012,NFC,NFC North,CHI,10,6,0,0.625,3,375,277,98,0.4,0.507812,No,No
2012,NFC,NFC North,DET,4,12,0,0.25,4,372,437,-65,0.375,0.5625,No,No
2012,NFC,NFC North,GB,11,5,0,0.6875,1,433,336,97,0.4375,0.503906,Yes,No
2012,NFC,NFC North,MIN,10,6,0,0.625,2,379,348,31,0.45,0.515625,Yes,No
2012,NFC,NFC South,ATL,13,3,0,0.8125,1,419,299,120,0.418269,0.421875,Yes,No
2012,NFC,NFC South,CAR,7,9,0,0.4375,2,357,363,-6,0.464286,0.515625,No,No
2012,NFC,NFC South,NO,7,9,0,0.4375,3,461,454,7,0.446429,0.519531,No,No
2012,NFC,NFC South,TB,7,9,0,0.4375,4,389,394,-5,0.446429,0.5,No,No
2012,NFC,NFC West,ARI,5,11,0,0.3125,4,250,357,-107,0.475,0.550781,No,No
2012,NFC,NFC West,SEA,11,5,0,0.6875,2,412,245,167,0.528409,0.496094,Yes,No
2012,NFC,NFC West,SF,11,4,1,0.71875,1,397,273,124,0.477273,0.5,Yes,No
2012,NFC,NFC West,LAR/STL,7,8,1,0.46875,3,299,348,-49,0.491071,0.535156,No,No
2011,AFC,AFC East,BUF,6,10,0,0.375,4,372,434,-62,0.510417,0.519531,No,No
2011,AFC,AFC East,MIA,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
2011,AFC,AFC East,NE,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
2011,AFC,AFC East,NYJ,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
2011,AFC,AFC North,BAL,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
2011,AFC,AFC North,CIN,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
2011,AFC,AFC North,CLE,4,12,0,0.25,4,218,307,-89,0.3125,0.53125,No,No
2011,AFC,AFC North,PIT,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
2011,AFC,AFC South,HOU,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
2011,AFC,AFC South,IND,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
2011,AFC,AFC South,JAX,5,11,0,0.3125,3,243,329,-86,0.3625,0.5,No,No
2011,AFC,AFC South,TEN,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
2011,AFC,AFC West,DEN,8,8,0,0.5,1,309,390,-81,0.445312,0.519531,Yes,No
2011,AFC,AFC West,KC,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
2011,AFC,AFC West,LV/OAK,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,No,No
2011,AFC,AFC West,LAC/SD,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
2011,NFC,NFC East,DAL,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
2011,NFC,NFC East,NYG,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
2011,NFC,NFC East,PHI,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
2011,NFC,NFC East,WAS,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
2011,NFC,NFC North,CHI,8,8,0,0.5,3,353,341,12,0.40625,0.527344,No,No
2011,NFC,NFC North,DET,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
2011,NFC,NFC North,GB,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
2011,NFC,NFC North,MIN,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
2011,NFC,NFC South,ATL,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
2011,NFC,NFC South,CAR,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
2011,NFC,NFC South,NO,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
2011,NFC,NFC South,TB,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
2011,NFC,NFC West,ARI,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
2011,NFC,NFC West,SEA,7,9,0,0.4375,3,321,315,6,0.4375,0.511719,No,No
2011,NFC,NFC West,SF,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
2011,NFC,NFC West,LAR/STL,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
