Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap_Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
Steve Smith,32,2011,WR,Offense,CAR,7000000,1550000,9993750,0.081,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
D'Brickashaw Ferguson,28,2011,LT,Offense,NYJ,5615000,266666,9859166,0.077,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
Jay Cutler,28,2011,QB,Offense,CHI,7600000,1400000,9500000,0.074,NFC,NFC North,8,8,0,0.5,3,353,341,12,0.40625,0.527344,No,No
Davin Joseph,28,2011,G,Offense,TB,9500000,0,9500000,0.066,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
Chris Long,26,2011,DE,Defense,LAR/STL,1235000,0,9482500,0.077,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
Steven Jackson,28,2011,RB,Offense,LAR/STL,7200000,2279000,9479000,0.077,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
Levi Brown,27,2011,LT,Offense,ARI,6777500,0,9420000,0.077,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
Chris Gamble,28,2011,CB,Defense,CAR,6244117,1000000,9244117,0.075,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
Matt Schaub,30,2011,QB,Offense,HOU,5700000,750000,9000000,0.075,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
Russell Okung,23,2011,LT,Offense,SEA,1400000,280000,8880000,0.063,NFC,NFC West,7,9,0,0.4375,3,321,315,6,0.4375,0.511719,No,No
Kyle Orton,29,2011,QB,Offense,KC,7379000,0,8879000,0.062,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
Ed Reed,33,2011,S,Defense,BAL,6500000,1071428,8871428,0.07,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
Charles Woodson,35,2011,SS,Defense,GB,7850000,0,8787500,0.07,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
Tony Gonzalez,35,2011,TE,Offense,ATL,5750000,1000000,8734375,0.073,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
Andre Smith,24,2011,G,Offense,CIN,1677500,0,8686750,0.064,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
Jason Witten,29,2011,TE,Offense,DAL,3391000,3700000,8591000,0.063,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
Donald Penn,28,2011,LT,Offense,TB,7200000,333333,8533333,0.059,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
Eric Steinbach,31,2011,G,Offense,CLE,6250000,1666667,8516667,0.066,AFC,AFC North,4,12,0,0.25,4,218,307,-89,0.3125,0.53125,No,No
Justin Smith,32,2011,DE,Defense,SF,5000000,2750000,8450000,0.062,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
Andrew Whitworth,30,2011,LT,Offense,CIN,3690000,2000000,8390000,0.062,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
Kellen Winslow,28,2011,TE,Offense,TB,8290000,0,8290000,0.058,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
Troy Polamalu,30,2011,S,Defense,PIT,3450000,4832500,8282500,0.069,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
Reggie Wayne,33,2011,WR,Offense,IND,5950000,2083333,8273333,0.067,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
Will Smith,30,2011,OLB,Defense,NO,6000000,2000000,8150000,0.065,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
Oshiomogho Atogwe,30,2011,S,Defense,WAS,900000,0,8000000,0.06,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
Johnathan Joseph,27,2011,CB,Defense,HOU,5500000,2500000,8000000,0.067,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
Chris Hope,31,2011,S,Defense,TEN,6500000,0,8000000,0.062,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
Trent Williams,23,2011,LT,Offense,WAS,6004470,500000,7984863,0.06,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
Dunta Robinson,29,2011,CB,Defense,ATL,5500000,1400000,7900000,0.066,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
Greg Jennings,28,2011,WR,Offense,GB,3950000,2812500,7827500,0.062,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
Jonathan Vilma,29,2011,ILB,Defense,NO,5130000,2082500,7812500,0.063,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
LaRon Landry,27,2011,S,Defense,WAS,5215000,833333,7804333,0.058,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
Aaron Rodgers,28,2011,QB,Offense,GB,7250000,0,7750000,0.062,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
Dallas Clark,32,2011,TE,Offense,IND,4200000,1833333,7723333,0.063,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
DeAngelo Williams,28,2011,RB,Offense,CAR,4500000,3200000,7700000,0.063,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
LaMarr Woodley,27,2011,OLB,Defense,PIT,1100000,2600000,7700000,0.064,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
Eric Berry,23,2011,FS,Defense,KC,450000,0,7652700,0.053,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
Anquan Boldin,31,2011,WR,Offense,BAL,6000000,1531250,7531250,0.06,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
Michael Turner,29,2011,RB,Offense,ATL,5000000,2500000,7500000,0.062,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
Richard Seymour,32,2011,DT,Defense,LV/OAK,910000,0,7478000,0.061,AFC,AFC West,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,No,No
