Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap_Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
Damion Square,25,2014,DT,Defense,LAC/SD,495000,0,232941,0.002,AFC,AFC West,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,No,No
Nick Becton,24,2014,LT,Offense,NO,232941,0,232941,0.002,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
Rashaan Melvin,25,2014,CB,Defense,BAL,495000,0,232941,0.002,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
Jordan Kovacs,24,2014,SS,Defense,MIA,232941,0,232941,0.002,AFC,AFC East,8,8,0,0.5,3,388,373,15,0.40625,0.511719,No,No
David Bass,24,2014,DE,Defense,CHI,232941,0,232941,0.002,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
Marcus Williams,23,2014,CB,Defense,NYJ,420000,0,222352,0.002,AFC,AFC East,4,12,0,0.25,4,283,401,-118,0.375,0.542969,No,No
Korey Toomer,26,2014,ILB,Defense,LAR/STL,420000,0,222352,0.002,NFC,NFC West,6,10,0,0.375,4,324,354,-30,0.427083,0.53125,No,No
Phillip Thomas,25,2014,SS,Defense,WAS,222352,0,222352,0.002,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
Daniel Sorensen,24,2014,SS,Defense,KC,222352,0,222352,0.002,AFC,AFC West,9,7,0,0.5625,2,353,281,72,0.5,0.511719,No,No
Frank Alexander,25,2014,DE,Defense,CAR,100588,117563,218151,0.002,NFC,NFC South,7,8,1,0.46875,1,339,374,-35,0.357143,0.488281,Yes,No
R.J. Stanford,26,2014,CB,Defense,MIA,570000,0,214706,0.001,AFC,AFC East,8,8,0,0.5,3,388,373,15,0.40625,0.511719,No,No
Connor Barth,28,2014,K,Special Teams,DEN,730000,0,214706,0.002,AFC,AFC West,12,4,0,0.75,1,482,354,128,0.484375,0.519531,Yes,No
Moise Fokou,29,2014,ILB,Defense,NO,570000,0,201176,0.002,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
Marc Mariani,27,2014,WR,Offense,CHI,570000,0,201176,0.002,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
Jeremy Stewart,25,2014,RB,Offense,DEN,570000,0,201176,0.002,AFC,AFC West,12,4,0,0.75,1,482,354,128,0.484375,0.519531,Yes,No
Blake Annen,23,2014,TE,Offense,CHI,420000,0,197647,0.002,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
Thaddeus Lewis,27,2014,QB,Offense,HOU,645000,0,189705,0.001,AFC,AFC South,9,7,0,0.5625,2,372,307,65,0.298611,0.445312,No,No
Eric Olsen,26,2014,C,Offense,TEN,645000,0,189705,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Jalil Brown,27,2014,CB,Defense,IND,645000,0,189705,0.001,AFC,AFC South,11,5,0,0.6875,1,458,369,89,0.369318,0.476562,Yes,No
Khairi Fortt,22,2014,OLB,Defense,JAX,183882,0,183882,0.001,AFC,AFC South,3,13,0,0.1875,3,249,412,-163,0.3125,0.511719,No,No
Brett Brackett,27,2014,TE,Offense,TEN,197647,0,183882,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Bacarri Rambo,24,2014,SS,Defense,BUF,495000,0,174706,0.001,AFC,AFC East,9,7,0,0.5625,2,343,289,54,0.486111,0.515625,No,No
De'Andre Presley,24,2014,WR,Offense,CAR,495000,0,174705,0.001,NFC,NFC South,7,8,1,0.46875,1,339,374,-35,0.357143,0.488281,Yes,No
MarQueis Gray,25,2014,TE,Offense,BUF,495000,0,174705,0.001,AFC,AFC East,9,7,0,0.5625,2,343,289,54,0.486111,0.515625,No,No
Orleans Darkwa,22,2014,RB,Offense,NYG,420000,0,172941,0.001,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
Josh Mauro,23,2014,DT,Defense,ARI,420000,0,172941,0.001,NFC,NFC West,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,Yes,No
Max Bullough,22,2014,ILB,Defense,HOU,420000,0,172941,0.001,AFC,AFC South,9,7,0,0.5625,2,372,307,65,0.298611,0.445312,No,No
Ryan Groy,24,2014,G,Offense,CHI,420000,0,172941,0.001,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
Justin Perillo,23,2014,TE,Offense,GB,420000,0,172941,0.001,NFC,NFC North,12,4,0,0.75,1,486,348,138,0.4375,0.480469,Yes,No
Todd Davis,24,2014,ILB,Defense,DEN,420000,0,172941,0.001,AFC,AFC West,12,4,0,0.75,1,482,354,128,0.484375,0.519531,Yes,No
Charcandrick West,23,2014,RB,Offense,KC,420000,0,172941,0.001,AFC,AFC West,9,7,0,0.5625,2,353,281,72,0.5,0.511719,No,No
Clifton Geathers,27,2014,DE,Defense,PIT,730000,0,171765,0.001,AFC,AFC North,11,5,0,0.6875,1,436,368,68,0.477273,0.445312,Yes,No
Tramain Jacobs,22,2014,CB,Defense,BAL,197647,0,170118,0.001,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
Kaelin Burnett,25,2014,OLB,Defense,TEN,570000,0,167647,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Dontay Moch,26,2014,DE,Defense,TEN,570000,0,167647,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Marcus Thigpen,28,2014,WR,Offense,BUF,570000,0,167647,0.001,AFC,AFC East,9,7,0,0.5625,2,343,289,54,0.486111,0.515625,No,No
Richard Gordon,27,2014,TE,Offense,KC,645000,0,151764,0.001,AFC,AFC West,9,7,0,0.5625,2,353,281,72,0.5,0.511719,No,No
Chris Carter,25,2014,ILB,Defense,CIN,645000,0,151764,0.001,AFC,AFC North,10,5,1,0.65625,2,365,344,21,0.425,0.496094,Yes,No
Josh Harris,23,2014,RB,Offense,PIT,420000,0,148235,0.001,AFC,AFC North,11,5,0,0.6875,1,436,368,68,0.477273,0.445312,Yes,No
Terrence Frederick,24,2014,CB,Defense,NO,420000,0,148235,0.001,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
Jalen Saunders,22,2014,WR,Offense,NO,420000,0,148235,0.001,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
Pierre Warren,22,2014,FS,Defense,NO,420000,0,148235,0.001,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
Justin Staples,25,2014,OLB,Defense,TEN,420000,0,148235,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Zurlon Tipton,24,2014,RB,Offense,IND,420000,0,148235,0.001,AFC,AFC South,11,5,0,0.6875,1,458,369,89,0.369318,0.476562,Yes,No
Ricky Lumpkin,26,2014,DT,Defense,LV/OAK,495000,0,145588,0.001,AFC,AFC West,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,No,No
Chris Pantale,24,2014,TE,Offense,NYJ,495000,0,145588,0.001,AFC,AFC East,4,12,0,0.25,4,283,401,-118,0.375,0.542969,No,No
Don Jones,24,2014,FS,Defense,MIA,495000,0,145588,0.001,AFC,AFC East,8,8,0,0.5,3,388,373,15,0.40625,0.511719,No,No
Chris Ogbonnaya,28,2014,RB,Offense,NYG,730000,0,134118,0.001,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
Eric Winston,31,2014,RT,Offense,CIN,855000,0,134118,0.001,AFC,AFC North,10,5,1,0.65625,2,365,344,21,0.425,0.496094,Yes,No
Jay Feely,38,2014,K,Special Teams,CHI,955000,0,134118,0.001,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
Chris Owusu,24,2014,WR,Offense,NYJ,570000,0,134117,0.001,AFC,AFC East,4,12,0,0.25,4,283,401,-118,0.375,0.542969,No,No
Justin Trattou,26,2014,DE,Defense,MIN,570000,0,134117,0.001,NFC,NFC North,7,9,0,0.4375,3,325,343,-18,0.303571,0.472656,No,No
Shaun Draughn,27,2014,RB,Offense,CLE,570000,0,134117,0.001,AFC,AFC North,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,No,No
Chris Clemons,29,2014,FS,Defense,ARI,730000,0,128824,0.001,NFC,NFC West,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,Yes,No
Jamon Meredith,28,2014,RT,Offense,TEN,730000,0,128823,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Nick Williams,24,2014,DE,Defense,KC,420000,0,123529,0.001,AFC,AFC West,9,7,0,0.5625,2,353,281,72,0.5,0.511719,No,No
Cordarro Law,26,2014,OLB,Defense,LAC/SD,420000,0,123529,0.001,AFC,AFC West,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,No,No
Jeremiah Sirles,23,2014,G,Offense,LAC/SD,420000,0,123529,0.001,AFC,AFC West,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,No,No
George Atkinson,22,2014,RB,Offense,LV/OAK,420000,0,123529,0.001,AFC,AFC West,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,No,No
Lawrence Virgil,23,2014,DE,Defense,NO,420000,0,123529,0.001,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
Asante Cleveland,22,2014,TE,Offense,SF,420000,0,123529,0.001,NFC,NFC West,8,8,0,0.5,3,306,340,-34,0.507812,0.527344,No,No
Keith Smith,22,2014,FB,Offense,DAL,420000,0,123529,0.001,NFC,NFC East,12,4,0,0.75,1,467,352,115,0.421875,0.445312,Yes,No
Justice Cunningham,23,2014,TE,Offense,LAR/STL,420000,0,123529,0.001,NFC,NFC West,6,10,0,0.375,4,324,354,-30,0.427083,0.53125,No,No
Josh Allen,23,2014,C,Offense,TB,420000,0,123529,0.001,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
Cameron Brate,23,2014,TE,Offense,TB,420000,0,123529,0.001,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
Tommy Streeter,25,2014,WR,Offense,JAX,420000,0,123529,0.001,AFC,AFC South,3,13,0,0.1875,3,249,412,-163,0.3125,0.511719,No,No
Brandon Dunn,22,2014,DE,Defense,CHI,420000,0,123529,0.001,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
A.J. Edds,27,2014,OLB,Defense,JAX,495000,0,116471,0.001,AFC,AFC South,3,13,0,0.1875,3,249,412,-163,0.3125,0.511719,No,No
Jemea Thomas,24,2014,CB,Defense,TEN,495000,0,116471,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Darius Fleming,25,2014,OLB,Defense,NE,495000,0,116471,0.001,AFC,AFC East,12,4,0,0.75,1,468,313,155,0.484375,0.511719,Yes,Yes
Paul Hazel,24,2014,DE,Defense,NYG,495000,0,116470,0.001,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
Terren Jones,23,2014,LT,Offense,TEN,495000,0,116470,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Justin Rogers,26,2014,CB,Defense,WAS,645000,0,113823,0.001,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
Terrell Manning,24,2014,ILB,Defense,NYG,570000,0,111882,0.001,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
Ras-I Dowling,26,2014,CB,Defense,LV/OAK,570000,0,100588,0.001,AFC,AFC West,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,No,No
Antoine Cason,28,2014,CB,Defense,BAL,730000,0,100588,0.001,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
Kellen Davis,29,2014,TE,Offense,DET,730000,0,100588,0.001,NFC,NFC North,11,5,0,0.6875,2,321,282,39,0.392045,0.46875,Yes,No
Jason Williams,28,2014,OLB,Defense,TB,730000,0,100588,0.001,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
Josh Bellamy,25,2014,WR,Offense,CHI,570000,0,100588,0.001,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
Deonte Thompson,25,2014,WR,Offense,BUF,570000,0,100588,0.001,AFC,AFC East,9,7,0,0.5625,2,343,289,54,0.486111,0.515625,No,No
Kenny Okoro,25,2014,CB,Defense,WAS,420000,0,98824,0.001,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
Bruce Gaston,23,2014,DT,Defense,GB,420000,0,98824,0.001,NFC,NFC North,12,4,0,0.75,1,486,348,138,0.4375,0.480469,Yes,No
Scott Simonson,22,2014,TE,Offense,LV/OAK,420000,0,98823,0.001,AFC,AFC West,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,No,No
James Davidson,24,2014,DE,Defense,NYG,420000,0,98823,0.001,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
Eric Herman,25,2014,RT,Offense,NYG,420000,0,98823,0.001,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
Anthony Steen,24,2014,G,Offense,ARI,420000,0,98823,0.001,NFC,NFC West,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,Yes,No
Kerwynn Williams,23,2014,RB,Offense,ARI,420000,0,98823,0.001,NFC,NFC West,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,Yes,No
Anthony Denham,23,2014,TE,Offense,HOU,420000,0,98823,0.001,AFC,AFC South,9,7,0,0.5625,2,372,307,65,0.298611,0.445312,No,No
Carrington Byndom,22,2014,CB,Defense,CAR,420000,0,98823,0.001,NFC,NFC South,7,8,1,0.46875,1,339,374,-35,0.357143,0.488281,Yes,No
Chris Matthews,25,2014,WR,Offense,SEA,420000,0,98823,0.001,NFC,NFC West,12,4,0,0.75,1,394,254,140,0.510417,0.523438,Yes,No
Solomon Patton,24,2014,WR,Offense,TB,420000,0,98823,0.001,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
Gabe Miller,27,2014,TE,Offense,WAS,420000,0,98823,0.001,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
Brandon McManus,23,2014,K,Special Teams,DEN,420000,0,98823,0.001,AFC,AFC West,12,4,0,0.75,1,482,354,128,0.484375,0.519531,Yes,No
Craig Watts,23,2014,G,Offense,LAC/SD,420000,0,94500,0.001,AFC,AFC West,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,No,No
Chris Thompson,24,2014,RB,Offense,WAS,495000,0,87353,0.001,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
Chris Banjo,24,2014,SS,Defense,GB,495000,0,87353,0.001,NFC,NFC North,12,4,0,0.75,1,486,348,138,0.4375,0.480469,Yes,No
Kevin Reddick,25,2014,ILB,Defense,CAR,495000,0,87352,0.001,NFC,NFC South,7,8,1,0.46875,1,339,374,-35,0.357143,0.488281,Yes,No
Kyle Love,28,2014,DT,Defense,CAR,730000,0,85882,0.001,NFC,NFC South,7,8,1,0.46875,1,339,374,-35,0.357143,0.488281,Yes,No
Joshua Thomas,25,2014,CB,Defense,DET,645000,0,75882,0.001,NFC,NFC North,11,5,0,0.6875,2,321,282,39,0.392045,0.46875,Yes,No
David King,25,2014,DE,Defense,SEA,420000,0,74118,0.001,NFC,NFC West,12,4,0,0.75,1,394,254,140,0.510417,0.523438,Yes,No
Seantavius Jones,22,2014,WR,Offense,NO,420000,0,74117,0.001,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
Bojay Filimoeatu,25,2014,ILB,Defense,LV/OAK,420000,0,74117,0.001,AFC,AFC West,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,No,No
Fitz Toussaint,24,2014,RB,Offense,BAL,420000,0,74117,0.001,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
Marcus Cromartie,24,2014,CB,Defense,SF,420000,0,74117,0.001,NFC,NFC West,8,8,0,0.5,3,306,340,-34,0.507812,0.527344,No,No
Andrew Tiller,24,2014,G,Offense,SF,420000,0,74117,0.001,NFC,NFC West,8,8,0,0.5,3,306,340,-34,0.507812,0.527344,No,No
Jason Ankrah,23,2014,DE,Defense,HOU,420000,0,74117,0.001,AFC,AFC South,9,7,0,0.5625,2,372,307,65,0.298611,0.445312,No,No
Khalid Wooten,24,2014,FS,Defense,TEN,420000,0,74117,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Ja'Gared Davis,24,2014,ILB,Defense,WAS,420000,0,74117,0.001,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
Trevardo Williams,24,2014,DE,Defense,WAS,420000,0,74117,0.001,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
Carter Bykowski,24,2014,LT,Offense,MIN,420000,0,74117,0.001,NFC,NFC North,7,9,0,0.4375,3,325,343,-18,0.303571,0.472656,No,No
David Fales,24,2014,QB,Offense,CHI,420000,0,74117,0.001,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
Dominique Jones,27,2014,TE,Offense,DEN,570000,0,67059,0.001,AFC,AFC West,12,4,0,0.75,1,482,354,128,0.484375,0.519531,Yes,No
Adam Gettis,26,2014,G,Offense,NYG,570000,0,67058,0.001,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
Chris Greenwood,25,2014,CB,Defense,BAL,570000,0,67058,0.001,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
Desmond Bishop,30,2014,OLB,Defense,SF,730000,0,67058,0.001,NFC,NFC West,8,8,0,0.5,3,306,340,-34,0.507812,0.527344,No,No
Lawrence Sidbury,28,2014,OLB,Defense,TB,730000,0,67058,0.001,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
Evan Rodriguez,26,2014,FB,Offense,TB,570000,0,67058,0.001,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
Jordan Palmer,30,2014,QB,Offense,TEN,730000,0,67058,0.001,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Scott Solomon,26,2014,OLB,Defense,CLE,570000,0,67058,0.0,AFC,AFC North,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,No,No
Josh Bush,25,2014,SS,Defense,DEN,570000,0,67058,0.001,AFC,AFC West,12,4,0,0.75,1,482,354,128,0.484375,0.519531,Yes,No
Chance Casey,23,2014,CB,Defense,LV/OAK,495000,0,58235,0.0,AFC,AFC West,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,No,No
Brittan Golden,26,2014,WR,Offense,ARI,495000,0,58235,0.0,NFC,NFC West,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,Yes,No
Ryan Jensen,23,2014,C,Offense,BAL,495000,0,58235,0.0,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
Case Keenum,26,2014,QB,Offense,HOU,495000,0,58235,0.0,AFC,AFC South,9,7,0,0.5625,2,372,307,65,0.298611,0.445312,No,No
Keavon Milton,24,2014,T,Offense,SEA,495000,0,58235,0.0,NFC,NFC West,12,4,0,0.75,1,394,254,140,0.510417,0.523438,Yes,No
Matt Daniels,25,2014,FS,Defense,JAX,495000,0,58235,0.0,AFC,AFC South,3,13,0,0.1875,3,249,412,-163,0.3125,0.511719,No,No
Tavarres King,24,2014,WR,Offense,TB,495000,0,58235,0.0,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
C.J. Wilson,25,2014,CB,Defense,TB,495000,0,58235,0.0,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
Steve Beauharnais,24,2014,ILB,Defense,WAS,495000,0,58235,0.0,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
Andrew McDonald,26,2014,RT,Offense,CLE,420000,0,49412,0.0,AFC,AFC North,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,No,No
Sheldon Price,23,2014,CB,Defense,IND,420000,0,49412,0.0,AFC,AFC South,11,5,0,0.6875,1,458,369,89,0.369318,0.476562,Yes,No
Rontez Miles,26,2014,FS,Defense,NYJ,420000,0,49411,0.0,AFC,AFC East,4,12,0,0.25,4,283,401,-118,0.375,0.542969,No,No
Spencer Hadley,25,2014,OLB,Defense,LV/OAK,420000,0,49411,0.0,AFC,AFC West,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,No,No
Greg Ducre,22,2014,CB,Defense,LAC/SD,420000,0,49411,0.0,AFC,AFC West,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,No,No
Jerome Cunningham,23,2014,TE,Offense,NYG,420000,0,49411,0.0,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
Dominique Hamilton,25,2014,DE,Defense,NYG,420000,0,49411,0.0,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
Patrick Scales,26,2014,LS,Special Teams,BAL,420000,0,49411,0.0,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
Casey Walker,25,2014,DT,Defense,BAL,420000,0,49411,0.0,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
Mike Purcell,23,2014,DT,Defense,SF,420000,0,49411,0.0,NFC,NFC West,8,8,0,0.5,3,306,340,-34,0.507812,0.527344,No,No
Chase Thomas,25,2014,OLB,Defense,SF,420000,0,49411,0.0,NFC,NFC West,8,8,0,0.5,3,306,340,-34,0.507812,0.527344,No,No
Stephen Morris,22,2014,QB,Offense,JAX,420000,0,49411,0.0,AFC,AFC South,3,13,0,0.1875,3,249,412,-163,0.3125,0.511719,No,No
George Uko,22,2014,DT,Defense,TB,420000,0,49411,0.0,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
Matt Hazel,22,2014,WR,Offense,MIA,420000,0,49411,0.0,AFC,AFC East,8,8,0,0.5,3,388,373,15,0.40625,0.511719,No,No
Gerell Robinson,25,2014,WR,Offense,MIA,420000,0,49411,0.0,AFC,AFC East,8,8,0,0.5,3,388,373,15,0.40625,0.511719,No,No
Rico Richardson,23,2014,WR,Offense,TEN,420000,0,49411,0.0,AFC,AFC South,2,14,0,0.125,4,254,438,-184,0.375,0.503906,No,No
Jackson Jeffcoat,23,2014,OLB,Defense,WAS,420000,0,49411,0.0,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
Ricardo Allen,23,2014,SS,Defense,ATL,420000,0,49411,0.0,NFC,NFC South,6,10,0,0.375,3,381,417,-36,0.375,0.476562,No,No
Ahmad Dixon,23,2014,S,Defense,MIN,420000,0,49411,0.0,NFC,NFC North,7,9,0,0.4375,3,325,343,-18,0.303571,0.472656,No,No
Jerry Franklin,26,2014,OLB,Defense,NO,570000,0,33529,0.0,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
James Anderson,31,2014,OLB,Defense,DAL,730000,0,33529,0.0,NFC,NFC East,12,4,0,0.75,1,467,352,115,0.421875,0.445312,Yes,No
Tyler Thigpen,30,2014,QB,Offense,CLE,730000,0,33529,0.0,AFC,AFC North,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,No,No
Josh Kaddu,24,2014,OLB,Defense,MIN,570000,0,33529,0.0,NFC,NFC North,7,9,0,0.4375,3,325,343,-18,0.303571,0.472656,No,No
Austen Lane,27,2014,DE,Defense,CHI,730000,0,33529,0.0,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
Kenny Wiggins,26,2014,G,Offense,LAC/SD,495000,0,29118,0.0,AFC,AFC West,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,No,No
Steven Means,24,2014,DE,Defense,BAL,495000,0,29118,0.0,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
Sam Brenner,24,2014,C,Offense,MIA,495000,0,29118,0.0,AFC,AFC East,8,8,0,0.5,3,388,373,15,0.40625,0.511719,No,No
Josh Boyce,23,2014,WR,Offense,NE,420000,0,24705,0.0,AFC,AFC East,12,4,0,0.75,1,468,313,155,0.484375,0.511719,Yes,Yes
Quincy Enunwa,22,2014,WR,Offense,NYJ,420000,0,24705,0.0,AFC,AFC East,4,12,0,0.25,4,283,401,-118,0.375,0.542969,No,No
Brandon Coleman,22,2014,WR,Offense,NO,420000,0,24705,0.0,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
Shelby Harris,23,2014,DE,Defense,LV/OAK,420000,0,24705,0.0,AFC,AFC West,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,No,No
Jeff Baca,24,2014,G,Offense,LAC/SD,420000,0,24705,0.0,AFC,AFC West,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,No,No
DeAndre Coleman,23,2014,DT,Defense,MIA,420000,0,24705,0.0,AFC,AFC East,8,8,0,0.5,3,388,373,15,0.40625,0.511719,No,No
Sean Baker,26,2014,FS,Defense,ATL,420000,0,24705,0.0,NFC,NFC South,6,10,0,0.375,3,381,417,-36,0.375,0.476562,No,No
Jerome Smith,23,2014,RB,Offense,ATL,420000,0,24705,0.0,NFC,NFC South,6,10,0,0.375,3,381,417,-36,0.375,0.476562,No,No
Charley Hughlett,24,2014,LS,Special Teams,CLE,420000,0,24705,0.0,AFC,AFC North,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,No,No
Connor Shaw,23,2014,QB,Offense,CLE,420000,0,24705,0.0,AFC,AFC North,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,No,No
Henry Josey,23,2014,RB,Offense,MIN,420000,0,24705,0.0,NFC,NFC North,7,9,0,0.4375,3,325,343,-18,0.303571,0.472656,No,No
Chris Whaley,24,2014,DT,Defense,DAL,0,1666,1666,0.0,NFC,NFC East,12,4,0,0.75,1,467,352,115,0.421875,0.445312,Yes,No
Drew Brees,36,2015,QB,Offense,NO,13550000,7400000,23800000,0.164,NFC,NFC South,7,9,0,0.4375,3,408,476,-68,0.401786,0.503906,No,No
Philip Rivers,34,2015,QB,Offense,LAC/SD,15000000,4500000,21166668,0.148,AFC,AFC West,4,12,0,0.25,4,320,398,-78,0.328125,0.527344,No,No
Calvin Johnson,30,2015,WR,Offense,DET,12500000,3200000,20558000,0.142,NFC,NFC North,7,9,0,0.4375,3,358,400,-42,0.428571,0.535156,No,No
Charles Johnson,29,2015,DE,Defense,CAR,9750000,6000000,20020000,0.134,NFC,NFC South,15,1,0,0.9375,1,500,308,192,0.4375,0.441406,Yes,No
Matt Ryan,30,2015,QB,Offense,ATL,11500000,5600000,19500000,0.133,NFC,NFC South,8,8,0,0.5,2,339,345,-6,0.453125,0.480469,No,No
Mario Williams,30,2015,DE,Defense,BUF,12100000,3800000,19400000,0.133,AFC,AFC East,8,8,0,0.5,3,379,359,20,0.4375,0.507812,No,No
Aaron Rodgers,32,2015,QB,Offense,GB,1000000,6650000,18250000,0.121,NFC,NFC North,10,6,0,0.625,2,368,323,45,0.45,0.53125,Yes,No
