"Rank","Player","Year","Pos","Team","Draft Year","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age",""
"","Jimmy Garoppolo","2018","QB","SF","2014","$6,200,000","$1,400,000","$37,000,000","0.159","$41,950,000","$27,500,000","5","$137,500,000","$45,458,637","2023","2018","26","27",""
"","Matthew Stafford","2018","QB","DET","2009","$9,500,000","$10,000,000","$26,500,000","0.146","$16,500,000","$27,000,000","5","$135,000,000","$178,278,969","2023","2017","28","30",""
"","Derek Carr","2018","QB","OAK","2014","$7,400,000","$2,500,000","$25,000,000","0.135","$22,500,000","$25,000,000","5","$125,000,000","$52,010,601","2023","2017","25","27",""
"","Joe Flacco","2018","QB","BAL","2008","$12,000,000","$8,000,000","$24,750,000","0.137","$12,000,000","$22,133,333","3","$66,400,000","$147,800,000","2022","2016","30","33",""
"","Andrew Luck","2018","QB","IND","2012","$12,000,000","$6,400,000","$24,400,000","0.126","$18,000,000","$24,594,000","5","$122,970,000","$97,107,998","2022","2016","26","29",""
"","Drew Brees","2018","QB","NO","2001","$10,200,000","$10,500,000","$24,000,000","0.135","$27,000,000","$25,000,000","2","$50,000,000","$221,710,422","2020","2018","38","39",""
"","Kirk Cousins","2018","QB","MIN","2012","$22,500,000","$1,000,000","$24,000,000","0.126","$26,000,000","$28,000,000","3","$84,000,000","$72,640,630","2021","2018","29","30",""
"","Russell Wilson","2018","QB","SEA","2012","$15,500,000","$6,200,000","$23,786,666","0.134","$15,500,000","$21,900,000","4","$87,600,000","$74,362,520","2020","2015","26","30",""
"","Ben Roethlisberger","2018","QB","PIT","2004","$12,000,000","$6,200,000","$23,200,000","0.128","$17,000,000","$21,850,000","4","$87,400,000","$187,286,864","2020","2015","32","36",""
"","Eli Manning","2018","QB","NYG","2004","$10,500,000","$6,200,000","$22,200,000","0.125","$16,000,000","$21,000,000","4","$84,000,000","$235,280,004","2020","2015","33","37",""
"","Tom Brady","2018","QB","NE","2000","$4,000,000","$7,000,000","$22,000,000","0.122","$15,000,000","$15,000,000","2","$30,000,000","$212,166,804","2020","2018","40","41",""
"","Philip Rivers","2018","QB","LAC","2004","$10,000,000","$4,500,000","$22,000,000","0.122","$15,000,000","$20,812,500","4","$83,250,000","$202,917,656","2020","2015","33","37",""
"","Cam Newton","2018","QB","CAR","2011","$14,500,000","$4,500,000","$21,500,000","0.118","$15,000,000","$20,760,000","5","$103,800,000","$104,692,164","2021","2015","25","29",""
"","Aaron Rodgers","2018","QB","GB","2005","$1,100,000","$11,500,000","$20,900,000","0.115","$66,900,000","$33,500,000","4","$134,000,000","$204,044,529","2024","2018","34","35",""
"","Justin Houston","2018","OLB","KC","2011","$14,750,000","$4,100,000","$20,600,000","0.115","$15,000,000","$16,833,333","6","$101,000,000","$71,547,248","2021","2015","25","29",""
"","Alex Smith","2018","QB","WAS","2005","$13,000,000","$5,400,000","$18,400,000","0.103","$40,000,000","$23,500,000","4","$94,000,000","$158,725,000","2023","2018","33","34",""
"","Mike Evans","2018","WR","TB","2014","$8,258,000","$0","$18,258,000","0.095","$18,258,000","$16,500,000","5","$82,500,000","$32,924,588","2024","2018","24","25",""
"","Matt Ryan","2018","QB","ATL","2008","$6,000,000","$9,300,000","$17,700,000","0.099","$29,250,000","$30,000,000","5","$150,000,000","$178,707,925","2024","2018","32","33",""
"","Tyron Smith","2018","LT","DAL","2011","$10,000,000","$2,000,000","$17,545,000","0.095","$11,745,000","$12,200,000","8","$97,600,000","$66,025,098","2024","2016","25","28",""
"","Calais Campbell","2018","DE","JAC","2008","$15,000,000","$1,500,000","$17,500,000","0.085","$15,000,000","$15,000,000","4","$60,000,000","$88,068,828","2021","2017","30","32",""
"","Ezekiel Ansah","2018","DE","DET","2013","$17,143,000","$0","$17,143,000","0.095","$17,143,000","$17,143,000","1","$17,143,000","$48,492,656","2019","2018","28","29",""
"","DeMarcus Lawrence","2018","DE","DAL","2014","$17,143,000","$0","$17,143,000","0.093","$17,143,000","$17,143,000","1","$17,143,000","$22,296,281","2019","2018","25","26",""
"","Olivier Vernon","2018","OLB","NYG","2012","$12,750,000","$4,000,000","$17,000,000","0.096","$13,000,000","$17,000,000","5","$85,000,000","$57,866,080","2021","2016","25","28",""
"","Kawann Short","2018","DT","CAR","2013","$12,500,000","$4,000,000","$17,000,000","0.094","$19,000,000","$16,100,000","5","$80,500,000","$43,630,174","2022","2017","27","29",""
"","Larry Fitzgerald","2018","WR","ARI","2004","$11,000,000","$2,500,000","$16,850,000","0.094","$12,000,000","$11,000,000","1","$11,000,000","$157,296,387","0","2017","33","35",""
"","Josh Norman","2018","CB","WAS","2012","$13,300,000","$3,000,000","$16,800,000","0.094","$13,800,000","$15,000,000","5","$75,000,000","$54,021,948","2021","2016","28","31",""
"","Andy Dalton","2018","QB","CIN","2011","$13,700,000","$2,400,000","$16,300,000","0.086","$13,900,000","$16,000,000","6","$96,000,000","$67,314,198","2021","2014","26","31",""
"","Tyrod Taylor","2018","QB","CLE","2011","$10,000,000","$0","$16,000,000","0.068","$16,000,000","$15,250,000","2","$30,500,000","$43,301,548","2019","2017","27","29",""
"","Malik Jackson","2018","DT","JAC","2012","$13,500,000","$2,000,000","$15,500,000","0.076","$13,500,000","$14,250,000","6","$85,500,000","$48,346,457","2022","2016","25","28",""
"","Jarvis Landry","2018","WR","CLE","2014","$3,500,000","$1,500,000","$15,500,000","0.066","$21,500,000","$15,100,000","5","$75,500,000","$25,176,490","2023","2018","25","26",""
"","Chandler Jones","2018","DE","ARI","2012","$12,500,000","$3,000,000","$15,500,000","0.087","$12,500,000","$16,500,000","5","$82,500,000","$50,472,499","2022","2017","26","28",""
"","A.J. Bouye","2018","CB","JAC","-99","$13,000,000","$2,000,000","$15,406,250","0.075","$13,406,250","$13,500,000","5","$67,500,000","$30,322,204","2022","2017","25","27",""
"","Geno Atkins","2018","DT","CIN","2010","$8,000,000","$2,600,000","$15,100,000","0.080","$25,500,000","$16,300,000","4","$65,200,000","$72,482,450","2023","2018","29","30",""
"","J.J. Watt","2018","DE","HOU","2011","$11,000,000","$2,000,000","$15,000,000","0.080","$11,000,000","$16,667,571","6","$100,005,425","$72,206,498","2022","2014","24","29",""
"","Case Keenum","2018","QB","DEN","-99","$8,000,000","$3,000,000","$15,000,000","0.080","$18,023,476","$18,000,000","2","$36,000,000","$25,181,151","2020","2018","29","30",""
"","Russell Okung","2018","LT","LAC","2010","$12,000,000","$2,500,000","$14,968,750","0.083","$12,468,750","$13,250,000","4","$53,000,000","$82,456,338","2021","2017","28","30",""
