,Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
5301,Ndamukong Suh,27,2014,DT,Defense,DET,12550000,0,22412500,0.17,NFC,NFC North,11,5,0,0.6875,2,321,282,39,0.392045,0.46875,Yes,No
5302,Gerald McCoy,26,2014,DT,Defense,TB,17500000,1100000,21295000,0.153,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
5303,Eli Manning,33,2014,QB,Offense,NYG,15150000,0,20400000,0.155,NFC,NFC East,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,No,No
5304,Ben Roethlisberger,32,2014,QB,Offense,PIT,12100000,0,18895000,0.141,AFC,AFC North,11,5,0,0.6875,1,436,368,68,0.477273,0.445312,Yes,No
5305,Mario Williams,29,2014,DE,Defense,BUF,1900000,3800000,18800000,0.125,AFC,AFC East,9,7,0,0.5625,2,343,289,54,0.486111,0.515625,No,No
5306,Jay Cutler,31,2014,QB,Offense,CHI,17500000,0,18500000,0.139,NFC,NFC North,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,No,No
5307,Drew Brees,35,2014,QB,Offense,NO,10750000,7400000,18400000,0.139,NFC,NFC South,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,No,No
5308,Sam Bradford,27,2014,QB,Offense,LAR/STL,14015000,3595000,17610000,0.134,NFC,NFC West,6,10,0,0.375,4,324,354,-30,0.427083,0.53125,No,No
5309,Aaron Rodgers,31,2014,QB,Offense,GB,900000,6650000,17550000,0.124,NFC,NFC North,12,4,0,0.75,1,486,348,138,0.4375,0.480469,Yes,No
5310,Matt Ryan,29,2014,QB,Offense,ATL,9500000,5600000,17500000,0.129,NFC,NFC South,6,10,0,0.375,3,381,417,-36,0.375,0.476562,No,No
5311,Peyton Manning,38,2014,QB,Offense,DEN,15000000,0,17500000,0.128,AFC,AFC West,12,4,0,0.75,1,482,354,128,0.484375,0.519531,Yes,No
5312,Mike Wallace,28,2014,WR,Offense,MIA,15000000,2200000,17250000,0.115,AFC,AFC East,8,8,0,0.5,3,388,373,15,0.40625,0.511719,No,No
5313,Philip Rivers,33,2014,QB,Offense,LAC/SD,13800000,0,16666666,0.123,AFC,AFC West,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,No,No
5314,Matthew Stafford,26,2014,QB,Offense,DET,2000000,5500000,15820000,0.12,NFC,NFC North,11,5,0,0.6875,2,321,282,39,0.392045,0.46875,Yes,No
5315,Andre Johnson,33,2014,WR,Offense,HOU,10000000,469583,15644583,0.116,AFC,AFC South,9,7,0,0.5625,2,372,307,65,0.298611,0.445312,No,No
5316,Joe Flacco,29,2014,QB,Offense,BAL,6000000,5800000,14800000,0.113,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
5317,Tom Brady,37,2014,QB,Offense,NE,2000000,9200000,14800000,0.106,AFC,AFC East,12,4,0,0.75,1,468,313,155,0.484375,0.511719,Yes,Yes
5318,Adrian Peterson,29,2014,RB,Offense,MIN,11750000,2400000,14400000,0.108,NFC,NFC North,7,9,0,0.4375,3,325,343,-18,0.303571,0.472656,No,No
5319,Haloti Ngata,30,2014,DT,Defense,BAL,8500000,5000000,14000000,0.106,AFC,AFC North,10,6,0,0.625,3,409,302,107,0.375,0.46875,Yes,No
5320,Greg Hardy,26,2014,DE,Defense,CAR,13116000,0,13116000,0.095,NFC,NFC South,7,8,1,0.46875,1,339,374,-35,0.357143,0.488281,Yes,No
5321,Calvin Johnson,29,2014,WR,Offense,DET,5000000,3200000,13058000,0.099,NFC,NFC North,11,5,0,0.6875,2,321,282,39,0.392045,0.46875,Yes,No
5322,Carson Palmer,35,2014,QB,Offense,ARI,9000000,4000000,13000000,0.096,NFC,NFC West,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,Yes,No
5323,Chris Long,29,2014,DE,Defense,LAR/STL,10200000,0,12900000,0.098,NFC,NFC West,6,10,0,0.375,4,324,354,-30,0.427083,0.53125,No,No
5324,Vincent Jackson,31,2014,WR,Offense,TB,10000000,0,12432000,0.089,NFC,NFC South,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,No,No
5325,Joe Thomas,30,2014,LT,Offense,CLE,10900000,1200000,12300000,0.078,AFC,AFC North,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,No,No
5326,Brandon Carr,28,2014,CB,Defense,DAL,7500000,2000000,12217000,0.091,NFC,NFC East,12,4,0,0.75,1,467,352,115,0.421875,0.445312,Yes,No
5327,Joe Haden,25,2014,CB,Defense,CLE,6678193,5043140,12127895,0.077,AFC,AFC North,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,No,No
5328,Lawrence Timmons,28,2014,ILB,Defense,PIT,6750000,2000000,11816250,0.088,AFC,AFC North,11,5,0,0.6875,1,436,368,68,0.477273,0.445312,Yes,No
5329,Tony Romo,34,2014,QB,Offense,DAL,1000000,5000000,11773000,0.088,NFC,NFC East,12,4,0,0.75,1,467,352,115,0.421875,0.445312,Yes,No
5330,D'Brickashaw Ferguson,31,2014,LT,Offense,NYJ,5950000,266666,11698666,0.087,AFC,AFC East,4,12,0,0.25,4,283,401,-118,0.375,0.542969,No,No
5331,Eric Berry,26,2014,FS,Defense,KC,8417000,0,11619700,0.086,AFC,AFC West,9,7,0,0.5625,2,353,281,72,0.5,0.511719,No,No
5332,Dwayne Bowe,30,2014,WR,Offense,KC,8235294,3000000,11485294,0.085,AFC,AFC West,9,7,0,0.5625,2,353,281,72,0.5,0.511719,No,No
5333,Tamba Hali,31,2014,OLB,Defense,KC,6250000,2964706,11464706,0.085,AFC,AFC West,9,7,0,0.5625,2,353,281,72,0.5,0.511719,No,No
5334,Brian Orakpo,28,2014,OLB,Defense,WAS,11455000,0,11455000,0.087,NFC,NFC East,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,No,No
5335,Johnathan Joseph,30,2014,CB,Defense,HOU,7500000,2500000,11250000,0.084,AFC,AFC South,9,7,0,0.5625,2,372,307,65,0.298611,0.445312,No,No
5336,Calais Campbell,28,2014,DE,Defense,ARI,5500000,3000000,11250000,0.083,NFC,NFC West,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,Yes,No
5337,Russell Okung,26,2014,LT,Offense,SEA,8760000,280000,11240000,0.083,NFC,NFC West,12,4,0,0.75,1,394,254,140,0.510417,0.523438,Yes,No
5338,Charles Johnson,28,2014,DE,Defense,CAR,950000,6000000,11220000,0.081,NFC,NFC South,7,8,1,0.46875,1,339,374,-35,0.357143,0.488281,Yes,No
5339,Clay Matthews Jr.,28,2014,OLB,Defense,GB,1000000,4100000,11006250,0.078,NFC,NFC North,12,4,0,0.75,1,486,348,138,0.4375,0.480469,Yes,No
